frag_id,fragment,count
0,CO,213
1,CC,178
2,CN,88
3,C1CCOC1,86
4,C,80
5,OP,71
6,C1=CC=CC=C1,69
7,C=O,63
8,C1=CNCNC1,60
9,P,41
10,O=P,11
11,CF,8
12,C=N,6
13,CBr,4
14,CS,4
15,C1=NCCN1,3
16,C1=COCO1,2
17,C1=CN=CN=C1,2
