CID	nearest_neighbors
2484101	88609211: 0.9514802906719566; 91580483: 0.951284200945547; 88777608: 0.9508988165016411; 18913896: 0.9487304602599003; 89764627: 0.9479989387674902; 88776548: 0.9456248266010284; 54296766: 0.9456248266010284; 54511503: 0.9449556191239514; 25025067: 0.9427884236381705; 53845860: 0.9424607764277269
985	89720822: 0.9977878528020773; 44343998: 0.9977578770372801; 89720806: 0.9977418778972076; 44344035: 0.9977107036135953; 44344000: 0.9976387931541393; 87728505: 0.9974803111659223; 87721355: 0.9974728501834699; 87728115: 0.9974699470331146; 88182687: 0.9974363494136091; 44343718: 0.9974131891094888
128684640	71490090: 0.9855369485275517; 16089605: 0.9843112366830622; 90946853: 0.9841087780769349; 66657196: 0.9832358699399515; 24775135: 0.9827569018998821; 11457274: 0.9823038907659445; 67960923: 0.9822047675476501; 77439048: 0.9822047675476501; 101752682: 0.9821481838691993; 101752683: 0.9818509644523853
12983003	80026208: 0.9996973954891771; 80015505: 0.9996034999941513; 80018679: 0.9994940707804412; 80019452: 0.9994162654230679; 123935516: 0.9992778673667234; 80025838: 0.9992095202759702; 80025117: 0.9992095202759702; 107024607: 0.9991902348606018; 25087104: 0.9991633559264215; 23325654: 0.9991357030498452
90996299	89359332: 0.9984099362086643; 54106145: 0.9972162947713484; 13042103: 0.9972072158658779; 57679708: 0.9972072158658779; 22219102: 0.9970986062736363; 350498: 0.9970986062736363; 87787807: 0.9970986062736363; 131994812: 0.9970303420073374; 90464692: 0.9969554973680147; 11769137: 0.9968366255917721
91345429	108122519: 0.9940090352523957; 80019851: 0.993071922760561; 63877188: 0.9926499409264307; 67536474: 0.9924292209645567; 119704446: 0.9923692915701301; 88113452: 0.9922083899916713; 21191045: 0.9920349276624916; 120635077: 0.9919608437224068; 111106351: 0.991726894165064; 114949190: 0.9916507858339491
91549607	69035512: 0.9945825192198675; 118252676: 0.9944819723104751; 87667013: 0.99429628262648; 87667012: 0.99429628262648; 87668115: 0.99429628262648; 67281619: 0.9938538036383338; 67476400: 0.9938538036383338; 118088915: 0.9935916368839003; 118089767: 0.9935452914985109; 69035491: 0.9934341301774586
91804113	544143: 0.9991184608119852; 129659344: 0.9982010225928719; 121232970: 0.9975438213277137; 79447231: 0.9971735702257588; 79446938: 0.9969743342064692; 87154267: 0.9968949593388072; 15205580: 0.9968919229262853; 12663580: 0.9967321521531476; 13193: 0.9966022083541826; 21200724: 0.9965831469030271
87644329	130352456: 0.9944871373859456; 85737925: 0.9912861742708052; 2062373: 0.9904802882747783; 808788: 0.9904802882747783; 129317779: 0.9901236650857552; 3774463: 0.9896765099338439; 67696: 0.9896765099338439; 2774537: 0.9896765099338439; 2734872: 0.9896765099338439; 2734943: 0.9896765099338439
79674156	11457274: 0.9845305299984064; 102021984: 0.9822835845019396; 102021983: 0.9822835845019396; 10996145: 0.9817693445834605; 71490090: 0.9807564688492498; 15355488: 0.980249459702392; 102317182: 0.979728911545658; 24775135: 0.9795866264066262; 57160137: 0.979561673636007; 87633547: 0.9791194010398332
102751421	114804301: 0.992612858886725; 114813645: 0.9904510678158865; 112573710: 0.9903201592457339; 127505925: 0.9891037054884539; 127506052: 0.9891037054884539; 127505553: 0.9890211042440162; 108206904: 0.9877883754772724; 61294614: 0.9876859191960652; 132544566: 0.9874243582148721; 112573251: 0.9870791344568528
