cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"50239112"	"CC1=C(C=CC(=C1)C(=O)NC2=C(C=CC=C2F)F)NC(=O)C(C)N3CCC(CC3)C(=O)NC(C(C)C)C(=O)NC4=CC(=C(C=C4)NC(=O)C5=CC=C(C=C5)Cl)C"	{"1": "CC", "2": "CC", "3": "C=O", "4": "CN", "5": "CN", "6": "CF", "7": "CF", "8": "CN", "9": "CN", "10": "C=O", "11": "CC", "12": "CC", "13": "CN", "14": "CC", "15": "C=O", "16": "CN", "17": "CN", "18": "CC", "19": "CC", "20": "CC", "21": "CC", "22": "C=O", "23": "CN", "24": "CN", "25": "CN", "26": "CN", "27": "C=O", "28": "CC", "29": "CCl", "30": "CC", "31": "C1=CC=CC=C1", "32": "C1=CC=CC=C1", "33": "C1CCNCC1", "34": "C1=CC=CC=C1", "35": "C1=CC=CC=C1", "36": "C", "37": "C", "38": "C", "39": "C", "40": "C", "41": "C", "42": "C", "43": "C"}	{"1": [31], "2": [31, 36], "3": [36], "4": [5, 36], "5": [4, 32], "6": [32], "7": [32], "8": [9, 31], "9": [8, 37], "10": [37], "11": [37, 38], "12": [38], "13": [33, 38], "14": [33, 39], "15": [39], "16": [17, 39], "17": [16, 40], "18": [40, 41], "19": [41], "20": [41], "21": [40, 42], "22": [42], "23": [24, 42], "24": [23, 34], "25": [26, 34], "26": [25, 43], "27": [43], "28": [35, 43], "29": [35], "30": [34], "31": [1, 2, 8], "32": [5, 6, 7], "33": [13, 14], "34": [24, 25, 30], "35": [28, 29], "36": [2, 3, 4], "37": [9, 10, 11], "38": [11, 12, 13], "39": [14, 15, 16], "40": [17, 18, 21], "41": [18, 19, 20], "42": [21, 22, 23], "43": [26, 27, 28]}	{"1": [0, 1], "2": [5, 7], "3": [7, 8], "4": [7, 9], "5": [9, 10], "6": [15, 16], "7": [11, 17], "8": [2, 18], "9": [18, 19], "10": [19, 20], "11": [19, 21], "12": [21, 22], "13": [21, 23], "14": [26, 29], "15": [29, 30], "16": [29, 31], "17": [31, 32], "18": [32, 33], "19": [33, 34], "20": [33, 35], "21": [32, 36], "22": [36, 37], "23": [36, 38], "24": [38, 39], "25": [42, 45], "26": [45, 46], "27": [46, 47], "28": [46, 48], "29": [51, 54], "30": [41, 55], "31": [1, 6, 5, 4, 3, 2], "32": [11, 12, 13, 14, 15, 10], "33": [24, 25, 26, 27, 28, 23], "34": [40, 41, 42, 43, 44, 39], "35": [49, 50, 51, 52, 53, 48], "36": [7], "37": [19], "38": [21], "39": [29], "40": [32], "41": [33], "42": [36], "43": [46]}
"2484101"	"CC1CCC2=C(C1)SC3=NC=NC(=C23)OCC(=O)OC"	{"1": "CC", "2": "CO", "3": "CO", "4": "CC", "5": "C=O", "6": "CO", "7": "CO", "8": "C1=CCCCC1", "9": "C1=CSCC1", "10": "C1=CN=CN=C1", "11": "C"}	{"1": [8], "2": [3, 10], "3": [2, 4], "4": [3, 11], "5": [11], "6": [7, 11], "7": [6], "8": [1, 9], "9": [8, 10], "10": [2, 9], "11": [4, 5, 6]}	{"1": [0, 1], "2": [12, 14], "3": [14, 15], "4": [15, 16], "5": [16, 17], "6": [16, 18], "7": [18, 19], "8": [1, 6, 5, 4, 3, 2], "9": [7, 5, 4, 13, 8], "10": [9, 10, 11, 12, 13, 8], "11": [16]}
"985"	"CCCCCCCCCCCCCCCC(=O)O"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "CC", "7": "CC", "8": "CC", "9": "CC", "10": "CC", "11": "CC", "12": "CC", "13": "CC", "14": "CC", "15": "CC", "16": "C=O", "17": "CO", "18": "C"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7, 9], "9": [8, 10], "10": [9, 11], "11": [10, 12], "12": [11, 13], "13": [12, 14], "14": [13, 15], "15": [14, 18], "16": [18], "17": [18], "18": [15, 16, 17]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [8, 9], "10": [9, 10], "11": [10, 11], "12": [11, 12], "13": [12, 13], "14": [13, 14], "15": [14, 15], "16": [15, 16], "17": [15, 17], "18": [15]}
"128684640"	"CCC1C(CCO1)NC(=O)NCC2CCCC2(C)C"	{"1": "CC", "2": "CC", "3": "CN", "4": "CN", "5": "C=O", "6": "CN", "7": "CN", "8": "CC", "9": "CC", "10": "CC", "11": "C1CCOC1", "12": "C1CCCC1", "13": "C", "14": "C"}	{"1": [2], "2": [1, 11], "3": [4, 11], "4": [3, 13], "5": [13], "6": [7, 13], "7": [6, 8], "8": [7, 12], "9": [14], "10": [14], "11": [2, 3], "12": [8, 14], "13": [4, 5, 6], "14": [9, 10, 12]}	{"1": [0, 1], "2": [1, 2], "3": [3, 7], "4": [7, 8], "5": [8, 9], "6": [8, 10], "7": [10, 11], "8": [11, 12], "9": [16, 17], "10": [16, 18], "11": [2, 3, 4, 5, 6], "12": [13, 12, 16, 15, 14], "13": [8], "14": [16]}
"12983003"	"CCCCCCCCCCCC(=O)NCCCCC(C(=O)OCCC(C)CC(C)(C)C)NC(=O)C(=O)NC(CCCCNC(=O)CCCCCCCCCCC)C(=O)OCCC(C)CC(C)(C)C"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "CC", "7": "CC", "8": "CC", "9": "CC", "10": "CC", "11": "CC", "12": "C=O", "13": "CN", "14": "CN", "15": "CC", "16": "CC", "17": "CC", "18": "CC", "19": "CC", "20": "C=O", "21": "CO", "22": "CO", "23": "CC", "24": "CC", "25": "CC", "26": "CC", "27": "CC", "28": "CC", "29": "CC", "30": "CC", "31": "CN", "32": "CN", "33": "C=O", "34": "CC", "35": "C=O", "36": "CN", "37": "CN", "38": "CC", "39": "CC", "40": "CC", "41": "CC", "42": "CN", "43": "CN", "44": "C=O", "45": "CC", "46": "CC", "47": "CC", "48": "CC", "49": "CC", "50": "CC", "51": "CC", "52": "CC", "53": "CC", "54": "CC", "55": "CC", "56": "CC", "57": "C=O", "58": "CO", "59": "CO", "60": "CC", "61": "CC", "62": "CC", "63": "CC", "64": "CC", "65": "CC", "66": "CC", "67": "CC", "68": "C", "69": "C", "70": "C", "71": "C", "72": "C", "73": "C", "74": "C", "75": "C", "76": "C", "77": "C", "78": "C", "79": "C"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7, 9], "9": [8, 10], "10": [9, 11], "11": [10, 68], "12": [68], "13": [14, 68], "14": [13, 15], "15": [14, 16], "16": [15, 17], "17": [16, 18], "18": [17, 69], "19": [69, 70], "20": [70], "21": [22, 70], "22": [21, 23], "23": [22, 24], "24": [23, 71], "25": [71], "26": [27, 71], "27": [26, 72], "28": [72], "29": [72], "30": [72], "31": [32, 69], "32": [31, 73], "33": [73], "34": [73, 74], "35": [74], "36": [37, 74], "37": [36, 75], "38": [39, 75], "39": [38, 40], "40": [39, 41], "41": [40, 42], "42": [41, 43], "43": [42, 76], "44": [76], "45": [46, 76], "46": [45, 47], "47": [46, 48], "48": [47, 49], "49": [48, 50], "50": [49, 51], "51": [50, 52], "52": [51, 53], "53": [52, 54], "54": [53, 55], "55": [54], "56": [75, 77], "57": [77], "58": [59, 77], "59": [58, 60], "60": [59, 61], "61": [60, 78], "62": [78], "63": [64, 78], "64": [63, 79], "65": [79], "66": [79], "67": [79], "68": [11, 12, 13], "69": [18, 19, 31], "70": [19, 20, 21], "71": [24, 25, 26], "72": [27, 28, 29, 30], "73": [32, 33, 34], "74": [34, 35, 36], "75": [37, 38, 56], "76": [43, 44, 45], "77": [56, 57, 58], "78": [61, 62, 63], "79": [64, 65, 66, 67]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [8, 9], "10": [9, 10], "11": [10, 11], "12": [11, 12], "13": [11, 13], "14": [13, 14], "15": [14, 15], "16": [15, 16], "17": [16, 17], "18": [17, 18], "19": [18, 19], "20": [19, 20], "21": [19, 21], "22": [21, 22], "23": [22, 23], "24": [23, 24], "25": [24, 25], "26": [24, 26], "27": [26, 27], "28": [27, 28], "29": [27, 29], "30": [27, 30], "31": [18, 31], "32": [31, 32], "33": [32, 33], "34": [32, 34], "35": [34, 35], "36": [34, 36], "37": [36, 37], "38": [37, 38], "39": [38, 39], "40": [39, 40], "41": [40, 41], "42": [41, 42], "43": [42, 43], "44": [43, 44], "45": [43, 45], "46": [45, 46], "47": [46, 47], "48": [47, 48], "49": [48, 49], "50": [49, 50], "51": [50, 51], "52": [51, 52], "53": [52, 53], "54": [53, 54], "55": [54, 55], "56": [37, 56], "57": [56, 57], "58": [56, 58], "59": [58, 59], "60": [59, 60], "61": [60, 61], "62": [61, 62], "63": [61, 63], "64": [63, 64], "65": [64, 65], "66": [64, 66], "67": [64, 67], "68": [11], "69": [18], "70": [19], "71": [24], "72": [27], "73": [32], "74": [34], "75": [37], "76": [43], "77": [56], "78": [61], "79": [64]}
"90996299"	"CC1=C(C=CC(=C1)C2=C3C=CC=CC3=C(C4=CC=CC=C42)C5=CC(=CC=C5)C(=O)C6=CC=CC=C6)C7=C8C=CC(=CC8=C(C9=CC=CC=C97)C1=CC=CC=C1)C1=CC=CC=C1"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "C=O", "6": "CC", "7": "CC", "8": "CC", "9": "CC", "10": "C1=CC=CC=C1", "11": "C1=CC=CC=C1", "12": "C1=CCCC=C1", "13": "C1=CC=CC=C1", "14": "C1=CC=CC=C1", "15": "C1=CC=CC=C1", "16": "C1=CCCC=C1", "17": "C1=CC=CC=C1", "18": "C1=CC=CC=C1", "19": "C1=CCCC=C1", "20": "C1=CCCC=C1", "21": "C"}	{"1": [10], "2": [10, 19], "3": [13, 19], "4": [13, 21], "5": [21], "6": [14, 21], "7": [10, 20], "8": [17, 20], "9": [15, 18], "10": [1, 2, 7], "11": [19], "12": [19], "13": [3, 4], "14": [6], "15": [9, 20], "16": [20], "17": [8], "18": [9], "19": [2, 3, 11, 12], "20": [7, 8, 15, 16], "21": [4, 5, 6]}	{"1": [0, 1], "2": [5, 7], "3": [14, 21], "4": [23, 27], "5": [27, 28], "6": [27, 29], "7": [2, 35], "8": [42, 49], "9": [39, 55], "10": [1, 6, 5, 4, 3, 2], "11": [9, 10, 11, 12, 13, 8], "12": [16, 17, 18, 19, 20, 15], "13": [22, 23, 24, 25, 26, 21], "14": [30, 31, 32, 33, 34, 29], "15": [37, 38, 39, 40, 41, 36], "16": [44, 45, 46, 47, 48, 43], "17": [50, 51, 52, 53, 54, 49], "18": [56, 57, 58, 59, 60, 55], "19": [7, 20, 15, 14, 13, 8], "20": [35, 48, 43, 42, 41, 36], "21": [27]}
"91345429"	"CC(=O)ON(C)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I"	{"1": "CC", "2": "C=O", "3": "CO", "4": "NO", "5": "CN", "6": "CN", "7": "CI", "8": "CC", "9": "C=O", "10": "CN", "11": "CN", "12": "CC", "13": "CC", "14": "CO", "15": "CO", "16": "CI", "17": "CC", "18": "C=O", "19": "CN", "20": "CN", "21": "CC", "22": "CC", "23": "CO", "24": "CO", "25": "CI", "26": "C1=CC=CC=C1", "27": "C", "28": "N", "29": "C", "30": "C", "31": "C", "32": "C"}	{"1": [27], "2": [27], "3": [4, 27], "4": [3, 28], "5": [28], "6": [26, 28], "7": [26], "8": [26, 29], "9": [29], "10": [11, 29], "11": [10, 12], "12": [11, 30], "13": [14, 30], "14": [13], "15": [30], "16": [26], "17": [26, 31], "18": [31], "19": [20, 31], "20": [19, 21], "21": [20, 32], "22": [23, 32], "23": [22], "24": [32], "25": [26], "26": [6, 7, 8, 16, 17, 25], "27": [1, 2, 3], "28": [4, 5, 6], "29": [8, 9, 10], "30": [12, 13, 15], "31": [17, 18, 19], "32": [21, 22, 24]}	{"1": [0, 1], "2": [1, 2], "3": [1, 3], "4": [3, 4], "5": [4, 5], "6": [4, 6], "7": [11, 12], "8": [10, 13], "9": [13, 14], "10": [13, 15], "11": [15, 16], "12": [16, 17], "13": [17, 18], "14": [18, 19], "15": [17, 20], "16": [9, 21], "17": [8, 22], "18": [22, 23], "19": [22, 24], "20": [24, 25], "21": [25, 26], "22": [26, 27], "23": [27, 28], "24": [26, 29], "25": [7, 30], "26": [6, 11, 10, 9, 8, 7], "27": [1], "28": [4], "29": [13], "30": [17], "31": [22], "32": [26]}
"91549607"	"CC1C=C(C=CC1C2CC(CCN2C(=O)N(C)C(C)(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)O)N4C(C(N(C(C4(O)O)(O)O)C(=O)C)(O)O)(O)O)F"	{"1": "CC", "2": "CC", "3": "CN", "4": "C=O", "5": "CN", "6": "CN", "7": "CN", "8": "CC", "9": "CC", "10": "CC", "11": "CC", "12": "CF", "13": "CF", "14": "CF", "15": "CC", "16": "CF", "17": "CF", "18": "CF", "19": "CO", "20": "CN", "21": "CO", "22": "CO", "23": "CO", "24": "CO", "25": "CN", "26": "C=O", "27": "CC", "28": "CO", "29": "CO", "30": "CO", "31": "CO", "32": "CF", "33": "C1=CCCC=C1", "34": "C1CCNCC1", "35": "C1=CC=CC=C1", "36": "C1CNCCN1", "37": "C", "38": "N", "39": "C", "40": "C", "41": "C", "42": "C", "43": "C", "44": "C", "45": "C", "46": "C"}	{"1": [33], "2": [33, 34], "3": [34, 37], "4": [37], "5": [37, 38], "6": [38], "7": [38, 39], "8": [39], "9": [10, 39], "10": [9, 35], "11": [35, 40], "12": [40], "13": [40], "14": [40], "15": [35, 41], "16": [41], "17": [41], "18": [41], "19": [39], "20": [34, 36], "21": [45], "22": [45], "23": [44], "24": [44], "25": [36, 46], "26": [46], "27": [46], "28": [43], "29": [43], "30": [42], "31": [42], "32": [33], "33": [1, 2, 32], "34": [2, 3, 20], "35": [10, 11, 15], "36": [20, 25, 42, 43, 44, 45], "37": [3, 4, 5], "38": [5, 6, 7], "39": [7, 8, 9, 19], "40": [11, 12, 13, 14], "41": [15, 16, 17, 18], "42": [30, 31, 36], "43": [28, 29, 36], "44": [23, 24, 36], "45": [21, 22, 36], "46": [25, 26, 27]}	{"1": [0, 1], "2": [6, 7], "3": [12, 13], "4": [13, 14], "5": [13, 15], "6": [15, 16], "7": [15, 17], "8": [17, 18], "9": [17, 19], "10": [19, 20], "11": [24, 26], "12": [26, 27], "13": [26, 28], "14": [26, 29], "15": [22, 30], "16": [30, 31], "17": [30, 32], "18": [30, 33], "19": [17, 34], "20": [9, 35], "21": [40, 41], "22": [40, 42], "23": [39, 43], "24": [39, 44], "25": [38, 45], "26": [45, 46], "27": [45, 47], "28": [37, 48], "29": [37, 49], "30": [36, 50], "31": [36, 51], "32": [3, 52], "33": [1, 6, 5, 4, 3, 2], "34": [8, 9, 10, 11, 12, 7], "35": [21, 22, 23, 24, 25, 20], "36": [36, 37, 38, 39, 40, 35], "37": [13], "38": [15], "39": [17], "40": [26], "41": [30], "42": [36], "43": [37], "44": [39], "45": [40], "46": [45]}
"91804113"	"CCCCCCCCCCCCCCSC1=CC(=CC(=C1SCCCCCCCCCCCCCC)SCCCCCCCCCCCCCC)C"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "CC", "7": "CC", "8": "CC", "9": "CC", "10": "CC", "11": "CC", "12": "CC", "13": "CC", "14": "CS", "15": "CS", "16": "CS", "17": "CS", "18": "CC", "19": "CC", "20": "CC", "21": "CC", "22": "CC", "23": "CC", "24": "CC", "25": "CC", "26": "CC", "27": "CC", "28": "CC", "29": "CC", "30": "CC", "31": "CS", "32": "CS", "33": "CC", "34": "CC", "35": "CC", "36": "CC", "37": "CC", "38": "CC", "39": "CC", "40": "CC", "41": "CC", "42": "CC", "43": "CC", "44": "CC", "45": "CC", "46": "CC", "47": "C1=CC=CC=C1"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7, 9], "9": [8, 10], "10": [9, 11], "11": [10, 12], "12": [11, 13], "13": [12, 14], "14": [13, 15], "15": [14, 47], "16": [17, 47], "17": [16, 18], "18": [17, 19], "19": [18, 20], "20": [19, 21], "21": [20, 22], "22": [21, 23], "23": [22, 24], "24": [23, 25], "25": [24, 26], "26": [25, 27], "27": [26, 28], "28": [27, 29], "29": [28, 30], "30": [29], "31": [32, 47], "32": [31, 33], "33": [32, 34], "34": [33, 35], "35": [34, 36], "36": [35, 37], "37": [36, 38], "38": [37, 39], "39": [38, 40], "40": [39, 41], "41": [40, 42], "42": [41, 43], "43": [42, 44], "44": [43, 45], "45": [44], "46": [47], "47": [15, 16, 31, 46]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [8, 9], "10": [9, 10], "11": [10, 11], "12": [11, 12], "13": [12, 13], "14": [13, 14], "15": [14, 15], "16": [20, 21], "17": [21, 22], "18": [22, 23], "19": [23, 24], "20": [24, 25], "21": [25, 26], "22": [26, 27], "23": [27, 28], "24": [28, 29], "25": [29, 30], "26": [30, 31], "27": [31, 32], "28": [32, 33], "29": [33, 34], "30": [34, 35], "31": [19, 36], "32": [36, 37], "33": [37, 38], "34": [38, 39], "35": [39, 40], "36": [40, 41], "37": [41, 42], "38": [42, 43], "39": [43, 44], "40": [44, 45], "41": [45, 46], "42": [46, 47], "43": [47, 48], "44": [48, 49], "45": [49, 50], "46": [17, 51], "47": [15, 20, 19, 18, 17, 16]}
"87644329"	"C(CP(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F)CP(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F"	{"1": "CC", "2": "CP", "3": "CP", "4": "CF", "5": "CF", "6": "CF", "7": "CF", "8": "CF", "9": "CP", "10": "CF", "11": "CF", "12": "CF", "13": "CF", "14": "CF", "15": "CC", "16": "CP", "17": "CP", "18": "CF", "19": "CF", "20": "CF", "21": "CF", "22": "CF", "23": "CP", "24": "CF", "25": "CF", "26": "CF", "27": "CF", "28": "CF", "29": "C1=CC=CC=C1", "30": "C1=CC=CC=C1", "31": "C1=CC=CC=C1", "32": "C1=CC=CC=C1", "33": "P", "34": "P"}	{"1": [15, 16], "2": [15, 33], "3": [29, 33], "4": [29], "5": [29], "6": [29], "7": [29], "8": [29], "9": [30, 33], "10": [30], "11": [30], "12": [30], "13": [30], "14": [30], "15": [2, 1], "16": [1, 34], "17": [31, 34], "18": [31], "19": [31], "20": [31], "21": [31], "22": [31], "23": [32, 34], "24": [32], "25": [32], "26": [32], "27": [32], "28": [32], "29": [3, 4, 5, 6, 7, 8], "30": [9, 10, 11, 12, 13, 14], "31": [17, 18, 19, 20, 21, 22], "32": [23, 24, 25, 26, 27, 28], "33": [2, 3, 9], "34": [16, 17, 23]}	{"1": [0, 25], "2": [1, 2], "3": [2, 3], "4": [8, 9], "5": [7, 10], "6": [6, 11], "7": [5, 12], "8": [4, 13], "9": [2, 14], "10": [19, 20], "11": [18, 21], "12": [17, 22], "13": [16, 23], "14": [15, 24], "15": [0, 1], "16": [25, 26], "17": [26, 27], "18": [32, 33], "19": [31, 34], "20": [30, 35], "21": [29, 36], "22": [28, 37], "23": [26, 38], "24": [43, 44], "25": [42, 45], "26": [41, 46], "27": [40, 47], "28": [39, 48], "29": [4, 5, 6, 7, 8, 3], "30": [15, 16, 17, 18, 19, 14], "31": [28, 29, 30, 31, 32, 27], "32": [39, 40, 41, 42, 43, 38], "33": [2], "34": [26]}
