CID,superclass,predicted_class
101871533,Lipids and lipid-like molecules,0
20918369,Organic nitrogen compounds,-1
79064416,Organic nitrogen compounds,0
55541352,Organosulfur compounds,-1
25209928,Lipids and lipid-like molecules,-1
72166156,Phenylpropanoids and polyketides,-1
79997490,Organic oxygen compounds,-1
89148925,Organic oxygen compounds,-1
6651721,Phenylpropanoids and polyketides,1
43379531,Phenylpropanoids and polyketides,0
101973156,Phenylpropanoids and polyketides,0
65861759,Organic oxygen compounds,0
55758255,Organic nitrogen compounds,-1
65405286,Organic nitrogen compounds,0
23926762,Phenylpropanoids and polyketides,2
9545971,Lipids and lipid-like molecules,0
4115749,Phenylpropanoids and polyketides,-1
69578726,Organic nitrogen compounds,0
101214918,Organic nitrogen compounds,0
107818306,Organic nitrogen compounds,0
60522459,Lipids and lipid-like molecules,-1
106797188,Lipids and lipid-like molecules,0
3848490,Organosulfur compounds,-1
89330264,Lipids and lipid-like molecules,0
6877371,Organosulfur compounds,-1
43961298,Phenylpropanoids and polyketides,0
67019506,Phenylpropanoids and polyketides,0
62583495,Organic nitrogen compounds,0
4999333,Lipids and lipid-like molecules,3
88083740,Lipids and lipid-like molecules,0
103227890,Organic nitrogen compounds,0
80995011,Organic nitrogen compounds,-1
80240157,Organic nitrogen compounds,0
56980266,Phenylpropanoids and polyketides,4
104071462,Organic nitrogen compounds,-1
4773270,Phenylpropanoids and polyketides,-1
14466281,Lipids and lipid-like molecules,0
79568708,Organic nitrogen compounds,0
58687774,Lipids and lipid-like molecules,0
49841597,Phenylpropanoids and polyketides,-1
19123419,Phenylpropanoids and polyketides,-1
83874858,Organic nitrogen compounds,-1
97610315,Organic nitrogen compounds,0
58113632,"Lignans, neolignans and related compounds",0
18313759,Phenylpropanoids and polyketides,-1
64680191,Organic oxygen compounds,-1
57564925,Hydrocarbons,-1
108203669,Organic nitrogen compounds,-1
14366502,Organic nitrogen compounds,0
131812524,Lipids and lipid-like molecules,0
56788449,Organic nitrogen compounds,-1
54614818,Phenylpropanoids and polyketides,5
60751899,Organic nitrogen compounds,-1
89336023,Organic nitrogen compounds,-1
20775991,Organic nitrogen compounds,0
62437032,Organic nitrogen compounds,0
2464592,Organic oxygen compounds,0
10908414,Organic oxygen compounds,0
76666303,Lipids and lipid-like molecules,-1
946363,Phenylpropanoids and polyketides,-1
1647085,Phenylpropanoids and polyketides,0
80640450,Organosulfur compounds,-1
9832765,Lipids and lipid-like molecules,0
101103368,Organic oxygen compounds,0
3589076,Phenylpropanoids and polyketides,1
69649428,Organic nitrogen compounds,-1
23722941,Lipids and lipid-like molecules,0
72549994,Phenylpropanoids and polyketides,0
64555245,Phenylpropanoids and polyketides,0
114490573,Organic nitrogen compounds,-1
111510404,Organosulfur compounds,0
18649470,Organic oxygen compounds,0
102224312,Phenylpropanoids and polyketides,-1
4801122,Organic oxygen compounds,0
131816719,Lipids and lipid-like molecules,0
87114435,Organic oxygen compounds,0
131775880,Lipids and lipid-like molecules,0
