CID,superclass,predicted_class
131775880,Lipids and lipid-like molecules,2
71701635,Organic nitrogen compounds,-1
66884862,Organic oxygen compounds,-1
69355241,Organic oxygen compounds,-1
3366800,Phenylpropanoids and polyketides,3
21082911,Phenylpropanoids and polyketides,3
102144842,Organic oxygen compounds,-1
87230548,Organic oxygen compounds,-1
93497905,Organic oxygen compounds,-1
88187554,Phenylpropanoids and polyketides,-1
39159395,Organosulfur compounds,-1
11525070,Lipids and lipid-like molecules,-1
59413157,"Lignans, neolignans and related compounds",3
110824061,Organic oxygen compounds,-1
25239116,Organosulfur compounds,-1
66753112,Organic oxygen compounds,-1
81609517,Organic nitrogen compounds,-1
97231222,Organic nitrogen compounds,-1
58577499,Organic oxygen compounds,-1
57548907,"Lignans, neolignans and related compounds",3
57152397,Lipids and lipid-like molecules,0
59420057,Organic nitrogen compounds,-1
66824034,Phenylpropanoids and polyketides,-1
6652444,Phenylpropanoids and polyketides,1
107664736,Organic oxygen compounds,-1
17752184,Lipids and lipid-like molecules,6
57125150,Phenylpropanoids and polyketides,-1
101219157,Lipids and lipid-like molecules,-1
70145523,Organic oxygen compounds,-1
2455508,Organic oxygen compounds,-1
45266783,Lipids and lipid-like molecules,-1
55263141,Organic nitrogen compounds,-1
114477237,Organic nitrogen compounds,-1
55933828,Phenylpropanoids and polyketides,-1
59787837,Phenylpropanoids and polyketides,9
19172325,Phenylpropanoids and polyketides,-1
10231514,Organic nitrogen compounds,-1
131762320,Lipids and lipid-like molecules,2
51461050,Organic oxygen compounds,-1
22233891,Phenylpropanoids and polyketides,-1
69032765,Organic oxygen compounds,-1
101335341,Lipids and lipid-like molecules,-1
52951062,Organic oxygen compounds,-1
43337255,Organic oxygen compounds,-1
104612928,Organic oxygen compounds,-1
89710096,Organic nitrogen compounds,-1
66193089,Organic nitrogen compounds,-1
15979872,Phenylpropanoids and polyketides,-1
106281739,Organic nitrogen compounds,-1
91166132,Organic nitrogen compounds,-1
105407430,Organic oxygen compounds,-1
23281396,Organic oxygen compounds,-1
89255353,Organohalogen compounds,-1
43293514,Organic nitrogen compounds,-1
102296812,Phenylpropanoids and polyketides,-1
131763578,Lipids and lipid-like molecules,2
22526459,"Organic 1,3-dipolar compounds",-1
11387373,Organosulfur compounds,-1
70923703,Organic nitrogen compounds,3
6732713,Phenylpropanoids and polyketides,-1
46842936,Organic oxygen compounds,5
98066636,Phenylpropanoids and polyketides,-1
114705767,Organic nitrogen compounds,-1
105910321,Organic nitrogen compounds,-1
59080771,"Lignans, neolignans and related compounds",3
82754734,Organic nitrogen compounds,-1
81030672,Lipids and lipid-like molecules,-1
81604601,Organic oxygen compounds,-1
105776636,Organosulfur compounds,-1
89864493,Organic nitrogen compounds,-1
62739974,Alkaloids and derivatives,-1
10533797,Organic oxygen compounds,-1
23287986,Phenylpropanoids and polyketides,-1
98650420,Phenylpropanoids and polyketides,-1
57329464,Organosulfur compounds,-1
71708994,Organic oxygen compounds,-1
59815326,Organic nitrogen compounds,3
5831887,Phenylpropanoids and polyketides,-1
79981268,Organic oxygen compounds,-1
25052099,Phenylpropanoids and polyketides,-1
21339603,Lipids and lipid-like molecules,-1
63308525,Lipids and lipid-like molecules,-1
44611726,Organic oxygen compounds,-1
90945453,Phenylpropanoids and polyketides,-1
101473006,Lipids and lipid-like molecules,-1
55278775,Organic nitrogen compounds,-1
73994813,Lipids and lipid-like molecules,-1
106381870,Organic nitrogen compounds,-1
21811431,Organic oxygen compounds,-1
5321591,Lipids and lipid-like molecules,-1
55084238,Organic nitrogen compounds,-1
89012246,Phenylpropanoids and polyketides,-1
81934945,Organohalogen compounds,-1
69204186,Organic oxygen compounds,-1
53720325,Organic oxygen compounds,-1
58573710,Phenylpropanoids and polyketides,-1
10324990,Organic oxygen compounds,4
79223551,Organosulfur compounds,-1
87878114,Phenylpropanoids and polyketides,-1
56520113,Organosulfur compounds,-1
53906618,Lipids and lipid-like molecules,2
90100235,Phenylpropanoids and polyketides,-1
58472501,Phenylpropanoids and polyketides,-1
19664724,Phenylpropanoids and polyketides,-1
5306874,Phenylpropanoids and polyketides,-1
23561809,Organic nitrogen compounds,3
65663652,Organic nitrogen compounds,-1
57670146,Phenylpropanoids and polyketides,-1
10009772,Phenylpropanoids and polyketides,-1
87572598,Lipids and lipid-like molecules,-1
19459282,Lipids and lipid-like molecules,-1
64593336,Organic nitrogen compounds,-1
9336463,Phenylpropanoids and polyketides,-1
21580652,Lipids and lipid-like molecules,-1
62903203,Organic nitrogen compounds,-1
20705630,Organic oxygen compounds,-1
131775063,Lipids and lipid-like molecules,2
56939906,Lipids and lipid-like molecules,2
263634,Lipids and lipid-like molecules,-1
15131992,Phenylpropanoids and polyketides,-1
9532994,Organic nitrogen compounds,-1
82749759,Organic oxygen compounds,-1
65143825,Organosulfur compounds,-1
79108817,Organic nitrogen compounds,-1
111160731,Organic nitrogen compounds,-1
66025517,Organic nitrogen compounds,-1
65801340,Organic nitrogen compounds,-1
134776846,Lipids and lipid-like molecules,2
63411926,Phenylpropanoids and polyketides,-1
59842335,"Nucleosides, nucleotides, and analogues",-1
540192,Organosulfur compounds,-1
58599082,Lipids and lipid-like molecules,-1
92587827,Organosulfur compounds,-1
62277541,Organic nitrogen compounds,-1
87084122,Organic oxygen compounds,-1
70682304,Organic oxygen compounds,-1
62723687,Organic nitrogen compounds,-1
78110708,Organic nitrogen compounds,-1
46836095,"Nucleosides, nucleotides, and analogues",-1
12644304,Lipids and lipid-like molecules,-1
131805866,Lipids and lipid-like molecules,2
131761673,Lipids and lipid-like molecules,2
118247632,Organic oxygen compounds,-1
19362474,Organic oxygen compounds,-1
90657714,Lipids and lipid-like molecules,6
64907349,Organic nitrogen compounds,-1
101997605,Phenylpropanoids and polyketides,-1
70293258,Lipids and lipid-like molecules,0
14598535,Organic nitrogen compounds,-1
59200530,Phenylpropanoids and polyketides,-1
42608592,Alkaloids and derivatives,-1
114974677,Organic oxygen compounds,-1
57491672,Hydrocarbons,-1
44179463,"Nucleosides, nucleotides, and analogues",-1
99798132,Organic nitrogen compounds,-1
131773956,Lipids and lipid-like molecules,2
20665430,Organic nitrogen compounds,-1
106282758,"Organic 1,3-dipolar compounds",-1
91850645,Organic oxygen compounds,5
22795048,"Nucleosides, nucleotides, and analogues",0
59598640,Organic oxygen compounds,-1
67354965,Phenylpropanoids and polyketides,-1
6729241,Phenylpropanoids and polyketides,-1
71313226,Phenylpropanoids and polyketides,-1
80923356,Organosulfur compounds,-1
83052133,Alkaloids and derivatives,-1
5832763,Phenylpropanoids and polyketides,-1
105790803,Organosulfur compounds,-1
112931442,Organic oxygen compounds,-1
89470122,Organosulfur compounds,-1
9620940,Phenylpropanoids and polyketides,-1
8208762,Organosulfur compounds,-1
81299291,Organic oxygen compounds,-1
3596706,Phenylpropanoids and polyketides,-1
20761153,Organic nitrogen compounds,-1
70576629,Phenylpropanoids and polyketides,-1
62292285,Organic oxygen compounds,-1
131754816,Lipids and lipid-like molecules,2
91385952,Organic oxygen compounds,-1
6438445,Phenylpropanoids and polyketides,-1
44146521,Lipids and lipid-like molecules,-1
8251746,Phenylpropanoids and polyketides,-1
110332902,Organic oxygen compounds,-1
131806100,Lipids and lipid-like molecules,2
107421597,Organosulfur compounds,-1
66615684,Phenylpropanoids and polyketides,-1
70494694,Phenylpropanoids and polyketides,-1
131812612,Lipids and lipid-like molecules,2
82395117,Organic nitrogen compounds,-1
71578118,Organic oxygen compounds,-1
89535582,Phenylpropanoids and polyketides,-1
76768267,Lipids and lipid-like molecules,-1
80256930,Organic nitrogen compounds,-1
19691659,Phenylpropanoids and polyketides,-1
58808024,Lipids and lipid-like molecules,-1
56652133,Organic nitrogen compounds,-1
15661788,Phenylpropanoids and polyketides,-1
87913812,Lipids and lipid-like molecules,-1
103066321,Organosulfur compounds,-1
50796254,Organic oxygen compounds,-1
11987738,Lipids and lipid-like molecules,-1
65782312,Organic nitrogen compounds,-1
20040597,Lipids and lipid-like molecules,-1
44487234,Organic oxygen compounds,-1
9527906,Organic oxygen compounds,-1
131754370,Lipids and lipid-like molecules,2
81011935,Lipids and lipid-like molecules,-1
80731518,Organic oxygen compounds,-1
118707353,Lipids and lipid-like molecules,6
103598910,Phenylpropanoids and polyketides,-1
4584,Organic oxygen compounds,-1
20904231,Phenylpropanoids and polyketides,-1
60955789,Phenylpropanoids and polyketides,-1
127026641,Lipids and lipid-like molecules,6
70482527,Phenylpropanoids and polyketides,-1
90117133,Organic oxygen compounds,-1
87347959,Organic oxygen compounds,-1
72244033,Phenylpropanoids and polyketides,-1
62437184,Organic nitrogen compounds,-1
448151,Lipids and lipid-like molecules,-1
18155763,Organosulfur compounds,-1
102312961,Organic oxygen compounds,-1
8833337,Organic oxygen compounds,-1
66425019,Organic oxygen compounds,-1
