batch,superclass_name,Unnamed: 0,max,total,purity_score
0,Alkaloids and derivatives,1,1,1,1
0,Benzenoids,1,1,1,1
0,"Lignans, neolignans and related compounds",2,2,2,2
0,Lipids and lipid-like molecules,4,4,4,4
0,"Nucleosides, nucleotides, and analogues",2,2,2,2
0,Organic acids and derivatives,6,6,6,6
0,Organic nitrogen compounds,2,2,2,2
0,Organic oxygen compounds,3,3,3,3
0,Organoheterocyclic compounds,3,3,3,3
0,Organosulfur compounds,2,2,2,2
0,Phenylpropanoids and polyketides,18,18,18,18
