CID	SMILES
131313716	C=CC(C1=C(C=C(C=C1)C#N)[N+](=O)[O-])N
130023426	CC(CF)(C1=CC2=CC=CC=C2C=C1)N
117200791	CC1=CC2=C(C=C1)N(C(C2)CC(=O)C)C
657881	CCOC(=O)C1=C(NSC1=S)C
67104756	COC1=CC2=NN=C(C=C2C=C1)C(=O)N
131544292	CC1=NSC2=C1C=C(C=C2)C(C#N)N
91240659	C1CC2CC(C1)(CNC2)Br
134498212	C1CN(CCN1)C2=CC=CC=C2N=[N+]=[N-]
115900484	CC1=CC(=O)N(C=C1)CC2=NN(C=C2)C
122672119	CC1=C(C=CC=N1)NC(=O)C2=COC=N2
102077805	C1=CC(C=C1)C=NC2=CC=C(C=C2)Cl
128842085	C1CC(CNC1)NC2=NC=C(N=C2)C#N
64298057	CCNC(CCCC=C)C1=CC=CC=C1
117194323	CC1=C2C=C(OC2=CC=C1)CCCNC
53635190	CN1C(=O)CCC(C1=O)C2=CC=CC=C2
134600225	CC(C(=C)S)NC(=O)OC(C)(C)C
131216359	CC(=CCl)CSCC(F)(F)F
104668773	C=C(CNCCCC1CCCO1)Cl
121009122	CC(=O)C1=CC=CC=C1C2CCNC2=O
110851884	C1=CC=NC(=C1)CNC(=O)C2=CON=C2
105531530	CN1CCC(C(CC1)F)CCC(=O)O
63823391	CCC1CC(C2=C1C=CC(=C2)CC)NC
107165766	CC1(CC1)CNCCCC2=CC=CC=C2
13045226	CCCC1=CC(=NC2=NC=CN12)CCC
71563565	CC(=O)C1=CC=CC(=C1)C2=NN=C(O2)N
131048163	CC1(CCN(CCS1=O)CC=O)C
122642237	CC=CN1C(=O)N(N=N1)C2=CC=CC=N2
81422016	CC1C(C(C1N)C(C)C)C2=CC=CC=C2
130706470	C=CC(C1=C(C=CC(=C1F)Cl)F)N
102256907	CC(C)C(CC#N)OCC1=CC=CC=C1
20872011	CC1CCN(CC1)C2=CC=CC=C2C=O
124510056	C1CC(CNC1)C2=NC3=NC=NC=C3N2
72231599	C1CC1OC2=C(C=C(N=C2)C#N)C(=O)N
101884945	CC1CCC(=O)N1CC2=CC=C(C=C2)C
131621716	CC1=C(C=NN1)CC2=CN(C(=C2)C=O)C
131603562	C1=C(N=CC(=C1C(F)F)C(=O)O)CO
116576484	CC1=CC(=C(C=C1C)C(=O)C2(CC2)N)C
84025184	C1CC(CNC1)CCN2C=CC=C2C#N
58504840	C1COC(CN1)C2=NC3=C(C2)C=CN=C3
9899151	CCONC=NCCCC(C(=O)O)N
105455070	CC(C(CC1=CC(=CC=C1)F)(F)F)N
10584307	COC1=CC2=C(C=C1N)N=C3N2CCC3
23283839	CNC1=CC=CC=C1C(=O)C(F)(F)F
66246476	CCN(CCO)C1COCC1C(=O)O
61146521	C1CC1N(CCO)C2=NC=CC(=C2)C#N
131216818	CC(C)(C)OC(=O)NC(CO)C1CO1
64986802	CC1=CC(=CC(=C1)C(C2CCC2)NC)C
107003315	CC(CCl)N(C)C(=O)C1CC1(C)C
115195728	CC1=C(C2=CC=CC=C2N1)NCCNC
82671405	C1CC1(C2=NN=C(O2)C3=CN=CN=C3)N
105455581	CC(C)CC1=CC=CC=C1C(C)N=C=O
62637039	CCCCOCCN(C)C(C)C(=O)O
123759004	C1C=NC=C2C1OC=CC3=C2SC=C3
101365163	CC(=NCCNCCN)C(C)(C)S
105802981	CCOCC(C(C)C)NC(=O)C(=O)O
104167517	CCN(CCC(=NO)N)CC(C)OC
93094358	C1=C(OC(=C1)Br)C(CN)N
131465234	CC1=CC=CC=C1C(C)(C2=CCCO2)N
20741888	C1=CC=C(C=C1)CC2=C(C=NC=C2)Cl
6907686	COC(=O)NN=CC1=CC=C(C=C1)C#N
45795451	COCCNC(=O)C1=CC=C(O1)Cl
130175196	CC1=CC2=C(C=C1)N(C=C2)C(C)C(=O)O
130725496	CCN(CC=C)CC(=C)Br
131544759	CC(C1=NN(C(=O)C1)C2=CC=CC=C2)N
13737917	CC(=O)OC1(CCOCC1)C[N+](=O)[O-]
88616358	C(=S)(S(=O)(=O)N)S(=O)(=O)N
83485452	COC1=C(C=C2C(=C1)CCO2)CC[N+]#[C-]
116604390	CC1=C(C=CC=C1N)C(=O)CCCC=C
105840831	CC1(C(CC1OC)NCC(=C)Cl)C
58102876	CC(C)C1=CN=C(C=C1)C2CCCCC2
10976560	CC1CC(C2N1C(C(C2O)O)CO)O
10798215	C1=CSC2=CC3=C(C=C21)C(=O)OC3=O
62718742	C1=CN=CC=C1N2C=C(C=N2)CCCO
118647298	CCOC(=O)N1CCOC(=O)OCC1
132080553	CC(C)N(COC(C)C)COC(C)C
79862928	CCCS(=O)C1CCC(C1N)(C)C
14086435	C1CC2C1C3C=CC2C4C3C(=O)NC4=O
130999933	C1=CC2=C(C=C(S2)CC#N)C(=C1N)N
88129728	C1=CC=C2C(=C1)C=CC=NN2C(=S)N
117275947	C1=CC(=CC=C1CCO)N2C=C(C=N2)N
60884866	CCC(C)N(CC(=O)O)CC(C)(C)O
103715941	CC(COC)(C1(CCCOC1)CN)O
53702336	C1CCC(C(C1)C=O)C2=CC=CC=C2N
59534234	CC(C)C1=NC2=CC(=NN2C=C1)C(C)C
3018496	C(CC(C(=O)O)N=C(N)N)CC(=O)O
45089646	C1=CC=C2C(=C1)C(=CC(=C2O)N)C(=O)O
134433985	CC(C)C(=O)C1CCS(=N)(=O)CC1
56617874	C=CC(CCC(=O)OCC(CO)O)N
5467611	C1CC2=CC=CC=C2CC1=NNC(=O)N
115022954	C1CC(CNC1)C2=C(C=NC=C2)N=C=O
80118628	C1C(CO1)NCC2=CN3C=CC=CC3=N2
102471706	CC1(OCC(O1)C2C(C(CN2)O)O)C
130981439	CC(C(C1=C(C=CC(=C1O)F)F)N)O
2747758	COC(=N)C1=CC(C(C(O1)CO)O)O
80509348	C1CN(CC(=O)N1)C2=C(C=CN=N2)C#N
67789463	CCOCC1=NC2=CC=CC=C2C(=O)C1
88988710	CC1=CC(=CC(=C1)C(F)(F)F)C=NO
6485576	CCN1C2=C(C=C(C=C2)N)N=C1C(C)C
82029095	CCCC(C1=CN=C2N1C=CC(=C2)C)N
135189734	CN1CCCC1(CC2=CC=CC=C2)C=O
84671396	CC(CN1C(=CC=N1)CCCN)(F)F
54048180	CS(=O)(=O)CNC(=O)C1=CC=NN1
55218934	CC1=CC(=C(C=C1)C#N)OC2CCOC2
533441	CC(=CC(C#N)NC(C=C(C)C)C#N)C
57039710	CCC(CCC(=O)OC)C(=O)OCN
115130764	C1C(=O)NC2=C(O1)C=CC(=C2)NCC#N
124130833	CCCCNC(=O)C(C(C)(C)CO)O
