,max,superclass_name,total,purity_score
7,21,Phenylpropanoids and polyketides,21,1.0
8,19,Phenylpropanoids and polyketides,19,1.0
11,21,Phenylpropanoids and polyketides,21,1.0
12,13,Phenylpropanoids and polyketides,13,1.0
15,12,Phenylpropanoids and polyketides,12,1.0
24,13,Phenylpropanoids and polyketides,13,1.0
31,10,Organic acids and derivatives,10,1.0
21,10,"Lignans, neolignans and related compounds",10,1.0
27,82,Benzenoids,82,1.0
29,24,Benzenoids,24,1.0
6,82,Lipids and lipid-like molecules,83,0.9879518072289156
5,124,Organic oxygen compounds,127,0.9763779527559056
1,108,Phenylpropanoids and polyketides,111,0.972972972972973
22,32,Organosulfur compounds,33,0.9696969696969697
17,25,Phenylpropanoids and polyketides,26,0.9615384615384616
26,73,Organic acids and derivatives,76,0.9605263157894737
28,24,Benzenoids,25,0.96
30,109,Organic acids and derivatives,115,0.9478260869565217
14,35,Phenylpropanoids and polyketides,37,0.9459459459459459
4,92,Organic oxygen compounds,98,0.9387755102040817
10,24,Phenylpropanoids and polyketides,26,0.9230769230769231
19,11,"Nucleosides, nucleotides, and analogues",12,0.9166666666666666
18,22,Lipids and lipid-like molecules,24,0.9166666666666666
23,10,Organosulfur compounds,11,0.9090909090909091
2,1185,Lipids and lipid-like molecules,1341,0.883668903803132
0,63,Lipids and lipid-like molecules,72,0.875
9,43,Organic oxygen compounds,51,0.8431372549019608
20,6,Lipids and lipid-like molecules,8,0.75
16,27,Organic oxygen compounds,38,0.7105263157894737
25,7,Phenylpropanoids and polyketides,10,0.7
13,18,Organohalogen compounds,46,0.391304347826087
3,351,Organic nitrogen compounds,920,0.3815217391304348
-1,4922,Organoheterocyclic compounds,30093,0.16355963180806168
