cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"64298057"	"CCNC(CCCC=C)C1=CC=CC=C1"	{"1": "CC", "2": "CN", "3": "CN", "4": "CC", "5": "CC", "6": "CC", "7": "CC", "8": "C=C", "9": "CC", "10": "C1=CC=CC=C1", "11": "C"}	{"1": [2], "2": [1, 3], "3": [2, 11], "4": [5, 11], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7], "9": [10, 11], "10": [9], "11": [3, 4, 9]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [3, 9], "10": [9, 14, 13, 12, 11, 10], "11": [3]}
"117194323"	"CC1=C2C=C(OC2=CC=C1)CCCNC"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CN", "6": "CN", "7": "C1=CC=CC=C1", "8": "C1=COCC1"}	{"1": [7], "2": [3, 8], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5], "7": [1, 8], "8": [2, 7]}	{"1": [0, 1], "2": [4, 10], "3": [10, 11], "4": [11, 12], "5": [12, 13], "6": [13, 14], "7": [1, 9, 8, 7, 6, 2], "8": [3, 2, 6, 5, 4]}
"53635190"	"CN1C(=O)CCC(C1=O)C2=CC=CC=C2"	{"1": "CN", "2": "C=O", "3": "C=O", "4": "CC", "5": "C1CCNCC1", "6": "C1=CC=CC=C1"}	{"1": [5], "2": [5], "3": [5], "4": [5, 6], "5": [1, 2, 3, 4], "6": [4]}	{"1": [0, 1], "2": [2, 3], "3": [7, 8], "4": [6, 9], "5": [1, 7, 6, 5, 4, 2], "6": [10, 11, 12, 13, 14, 9]}
"134600225"	"CC(C(=C)S)NC(=O)OC(C)(C)C"	{"1": "CC", "2": "CC", "3": "C=C", "4": "CS", "5": "CN", "6": "CN", "7": "C=O", "8": "CO", "9": "CO", "10": "CC", "11": "CC", "12": "CC", "13": "C", "14": "C", "15": "C", "16": "C"}	{"1": [13], "2": [13, 14], "3": [14], "4": [14], "5": [6, 13], "6": [5, 15], "7": [15], "8": [9, 15], "9": [8, 16], "10": [16], "11": [16], "12": [16], "13": [1, 2, 5], "14": [2, 3, 4], "15": [6, 7, 8], "16": [9, 10, 11, 12]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [2, 4], "5": [1, 5], "6": [5, 6], "7": [6, 7], "8": [6, 8], "9": [8, 9], "10": [9, 10], "11": [9, 11], "12": [9, 12], "13": [1], "14": [2], "15": [6], "16": [9]}
"131216359"	"CC(=CCl)CSCC(F)(F)F"	{"1": "CC", "2": "C=C", "3": "CCl", "4": "CC", "5": "CS", "6": "CS", "7": "CC", "8": "CF", "9": "CF", "10": "CF", "11": "C", "12": "C"}	{"1": [11], "2": [3, 11], "3": [2], "4": [5, 11], "5": [4, 6], "6": [5, 7], "7": [6, 12], "8": [12], "9": [12], "10": [12], "11": [1, 2, 4], "12": [7, 8, 9, 10]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [1, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [7, 9], "10": [7, 10], "11": [1], "12": [7]}
"104668773"	"C=C(CNCCCC1CCCO1)Cl"	{"1": "C=C", "2": "CC", "3": "CN", "4": "CN", "5": "CC", "6": "CC", "7": "CC", "8": "CCl", "9": "C1CCOC1", "10": "C"}	{"1": [10], "2": [3, 10], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 9], "8": [10], "9": [7], "10": [1, 2, 8]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [1, 12], "9": [7, 8, 9, 10, 11], "10": [1]}
"121009122"	"CC(=O)C1=CC=CC=C1C2CCNC2=O"	{"1": "CC", "2": "C=O", "3": "CC", "4": "CC", "5": "C=O", "6": "C1=CC=CC=C1", "7": "C1CCNC1", "8": "C"}	{"1": [8], "2": [8], "3": [6, 8], "4": [6, 7], "5": [7], "6": [3, 4], "7": [4, 5], "8": [1, 2, 3]}	{"1": [0, 1], "2": [1, 2], "3": [1, 3], "4": [8, 9], "5": [13, 14], "6": [3, 8, 7, 6, 5, 4], "7": [10, 9, 13, 12, 11], "8": [1]}
"110851884"	"C1=CC=NC(=C1)CNC(=O)C2=CON=C2"	{"1": "C1=CC=NC=C1", "2": "CN", "3": "CN", "4": "C=O", "5": "CC", "6": "CC", "7": "C1=CON=C1", "8": "C"}	{"1": [6], "2": [6, 3], "3": [2, 8], "4": [8], "5": [7, 8], "6": [2, 1], "7": [5], "8": [3, 4, 5]}	{"1": [0, 5, 4, 3, 2, 1], "2": [6, 7], "3": [7, 8], "4": [8, 9], "5": [8, 10], "6": [4, 6], "7": [11, 10, 14, 13, 12], "8": [8]}
"105531530"	"CN1CCC(C(CC1)F)CCC(=O)O"	{"1": "CN", "2": "CF", "3": "CC", "4": "CC", "5": "CC", "6": "C=O", "7": "CO", "8": "C1CCCNCC1", "9": "C"}	{"1": [8], "2": [8], "3": [4, 8], "4": [3, 5], "5": [4, 9], "6": [9], "7": [9], "8": [1, 2, 3], "9": [5, 6, 7]}	{"1": [0, 1], "2": [5, 8], "3": [4, 9], "4": [9, 10], "5": [10, 11], "6": [11, 12], "7": [11, 13], "8": [1, 2, 3, 4, 5, 6, 7], "9": [11]}
"63823391"	"CCC1CC(C2=C1C=CC(=C2)CC)NC"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CN", "6": "CN", "7": "C1=CCCC1", "8": "C1=CC=CC=C1"}	{"1": [2], "2": [1, 7], "3": [4, 8], "4": [3], "5": [6, 7], "6": [5], "7": [2, 5, 8], "8": [3, 7]}	{"1": [0, 1], "2": [1, 2], "3": [9, 11], "4": [11, 12], "5": [4, 13], "6": [13, 14], "7": [2, 3, 4, 5, 6], "8": [7, 8, 9, 10, 5, 6]}
