CID	nearest_neighbors
10584307	115023012: 0.9450274984148757; 117911056: 0.9436027123743651; 10961128: 0.9421551620579609; 19791126: 0.9384732589751908; 54589146: 0.9346181823338253; 23908028: 0.9334929097541713; 133803869: 0.9317319702356696; 92082117: 0.9294912692705749; 67475405: 0.9283062510280782; 102495834: 0.9280637179455528
23283839	87434904: 0.9531542774717499; 54214545: 0.9524716714527256; 90755540: 0.9520850098374957; 82536638: 0.9491422477108694; 22968473: 0.9479580460391149; 80028479: 0.9449124714210699; 25016501: 0.9435596640723415; 116951974: 0.9421002745188163; 53048239: 0.9417967598503811; 68347033: 0.9414358414480002
66246476	10030055: 0.9066907040684341; 10442808: 0.9053943245436908; 113450060: 0.9038360140885109; 107932975: 0.9026895170168534; 60685741: 0.8992106821983477; 88119126: 0.8972953674556234; 69450212: 0.8895907761453518; 105346220: 0.8843771627046666; 64622491: 0.8828823705147644; 23900752: 0.8822141058935216
61146521	107543784: 0.8755315285355523; 64181564: 0.8686404740209003; 62893549: 0.8465655002018645; 130964628: 0.8456546914449882; 107533744: 0.8393872846318293; 44419145: 0.8165171794213972; 122682528: 0.7931711548202223; 62531599: 0.7922277358802189; 81748220: 0.7910461022117887; 64458960: 0.7905773330513152
131216818	15222506: 0.9218893402000747; 91188844: 0.890721469669716; 81963198: 0.8868431017032924; 117611861: 0.8856801647985801; 58115460: 0.884317723836505; 121525421: 0.8833377337353967; 88865990: 0.879006611932929; 3410278: 0.8777654949479877; 10530872: 0.8772072423472891; 59085158: 0.8739975100084497
64986802	81416932: 0.9817727977284519; 23348804: 0.9681517388381224; 113607010: 0.9625839821242514; 116175122: 0.9546379888447949; 115796519: 0.9542834408612423; 115789720: 0.9536675050430926; 126988095: 0.9534776508545886; 63839255: 0.9512585927604426; 64466591: 0.948494057482338; 64501096: 0.9482113926613811
107003315	45560912: 0.9085638569144395; 82851878: 0.9014298908829065; 103811252: 0.8981600906676007; 65388438: 0.8888140946014971; 107003313: 0.8826276618066965; 122065356: 0.8771787588538831; 3534697: 0.8770132472666609; 121985653: 0.8748876435235019; 65042827: 0.8708638544575252; 130834039: 0.8703750236003994
115195728	115195788: 0.9037408756066168; 129202529: 0.8552667574560543; 130338423: 0.8511490386128073; 105953245: 0.8416340900502126; 23485467: 0.8404974617132879; 83868578: 0.8398740356930907; 66646547: 0.8397897979245028; 112913270: 0.8388992279132257; 10113815: 0.8353022257447592; 121075602: 0.8333018151484438
82671405	95338975: 0.8922522057217854; 137774757: 0.8800064932892692; 50959384: 0.870003458217361; 121206331: 0.8694834287196845; 128959157: 0.8662743569994374; 25987338: 0.8634696691579807; 53377948: 0.8598660532493515; 56897243: 0.8569252720713517; 71183129: 0.8566666364989899; 124229399: 0.8564330004824617
105455581	87777573: 0.8983307207590674; 69528266: 0.8941767131293893; 62402795: 0.8871493195457594; 88890910: 0.8864469065675903; 89573303: 0.885649374737182; 81349094: 0.8852806249524334; 83160835: 0.885134566160085; 137379315: 0.884876552748898; 21043985: 0.8841215365146392; 11227068: 0.883765140534293
62637039	106174313: 0.9483106568554194; 88949063: 0.9269167214931343; 107317531: 0.9255878204201986; 117907962: 0.9251246452301911; 86607158: 0.9216594835232323; 20767123: 0.9074341369052704; 62731824: 0.9064091632455205; 10442808: 0.9052349538788209; 66933569: 0.904348860352913; 90764190: 0.9027305457968814
123759004	20035549: 0.8783352687900701; 134604518: 0.8515941463209051; 11172516: 0.8474529307659865; 130184075: 0.8467141622848908; 122471122: 0.8453354683797424; 130393190: 0.8434539593009571; 126701964: 0.8425998296687466; 130392944: 0.8424699845745849; 122605546: 0.8414490586664045; 129734069: 0.8410762171054884
101365163	14122861: 0.9371655925177969; 90347: 0.9283759569513006; 54385479: 0.9138130640129561; 114803717: 0.9025685316341503; 61603304: 0.8931083956184172; 107493861: 0.892685917002377; 28563231: 0.8926708652186343; 116054175: 0.8903693036191592; 22667568: 0.8891599967663109; 62565844: 0.8885510193928129
105802981	103804204: 0.9486245379156044; 61757232: 0.9254173546238003; 69155088: 0.9201698549535332; 11082708: 0.9195931406064587; 107830111: 0.9172974565809904; 127113104: 0.9171007413718308; 61601111: 0.9156209879188798; 66781742: 0.912355597652719; 65443967: 0.9104879198510339; 62444965: 0.9078676782238367
104167517	104933940: 0.9684145048271784; 62227614: 0.9472204061454718; 63691782: 0.9453288129856832; 64332560: 0.9391376829223274; 63072192: 0.9379139669095731; 63070468: 0.9350326336817754; 104271980: 0.9346231676977437; 67103582: 0.9345124483998337; 102538628: 0.9325221045724047; 79708755: 0.9304723519679304
93094358	121796003: 0.8450428939822283; 61628813: 0.8419837144900724; 20121271: 0.8331642495023835; 116323362: 0.8255724937676475; 84018294: 0.8253390081188612; 107522518: 0.8241113186315913; 30889343: 0.8233436594721021; 84016716: 0.8197779820523587; 61603304: 0.8163217134600267; 120895636: 0.816164423496725
131465234	68710831: 0.9176566006438951; 114730125: 0.9081610724353026; 21821985: 0.9078749548450343; 124435830: 0.907368987520671; 56704910: 0.9071368040489626; 66360270: 0.9055186706866781; 63969227: 0.8993142473006512; 117886236: 0.8988661704695585; 100362709: 0.8970475079188265; 122170202: 0.8950432104664215
20741888	79740584: 0.9235933024329663; 81287570: 0.9219975809285417; 87527466: 0.9195056938328159; 59770778: 0.915031176379089; 68566281: 0.9148793513000401; 90425083: 0.9133167073196593; 132918253: 0.9112485316692355; 123648398: 0.911088549820749; 20428116: 0.9078451718378252; 49743103: 0.9060412650198828
6907686	740753: 0.9274103717286157; 2323579: 0.9229363841851973; 124451594: 0.899000712428993; 126221857: 0.8841635028584202; 124353825: 0.8833870422880801; 9590395: 0.8799299102106939; 867293: 0.8775771506401788; 50905561: 0.8746448177320986; 6583057: 0.870450172967879; 35780662: 0.8682697405334258
45795451	3456882: 0.9236418688992334; 86718910: 0.9093940853671991; 121046016: 0.9090957819961983; 47000431: 0.9064372452488859; 4985095: 0.9047116402933731; 100468343: 0.9018164338961556; 3278703: 0.8995584494782802; 42837471: 0.89806002999435; 120498204: 0.89630769846088; 79038156: 0.8950956602241966
130175196	90750933: 0.935259201559172; 129971106: 0.9200470153770217; 63554429: 0.9160669129295876; 55264331: 0.9109660157412233; 19433625: 0.9058351951542895; 83781393: 0.9027712157191707; 82362685: 0.9004325943806362; 70473927: 0.8998562214497796; 58863557: 0.8961027752702647; 3360373: 0.8955469240935823
130725496	103068815: 0.9233444473020292; 81812479: 0.9069585282293274; 89141817: 0.9042798350689895; 111423159: 0.902198881542632; 81808426: 0.8939419388362351; 66900346: 0.8909129186198479; 105571696: 0.8891409540232615; 81815652: 0.8844661846003069; 115631804: 0.8807390454857691; 60714093: 0.8806938459429275
131544759	91331972: 0.8738981887476638; 115705500: 0.867567583493142; 90489944: 0.8640539898710875; 133188071: 0.8615768464893032; 97902413: 0.856609401671251; 83584694: 0.855490018487768; 131536554: 0.8547344256994017; 130717797: 0.8547344256994017; 43010974: 0.8517164430128199; 104525652: 0.8508123470221443
13737917	44544635: 0.9217964445775572; 101391646: 0.9214715343574101; 102010908: 0.9141217513564354; 134937431: 0.9137335658615495; 101263073: 0.9130102889031342; 15834764: 0.9107780426139952; 101072321: 0.9104706376187826; 72696961: 0.910237268299316; 100976265: 0.9101131181814153; 56956570: 0.9098489003049377
88616358	71011705: 0.7171871976436123; 66681542: 0.7084110631991071; 21204012: 0.6894093805795021; 3671474: 0.6745112082229651; 31701470: 0.6736562264887918; 481358: 0.6700622903714919; 70583715: 0.6698937491399881; 69816879: 0.6640193794788041; 101865848: 0.6637946631729104; 24563846: 0.6636235990769291
83485452	40481378: 0.9178136604073743; 19930471: 0.9176871966007677; 101958658: 0.9121583365550501; 9045110: 0.898364092046004; 63020390: 0.8983355776511626; 60111705: 0.8976141044773581; 73704688: 0.8971152792342016; 101747709: 0.892639412728529; 71438735: 0.8891799513620521; 5116008: 0.8884980649235762
116604390	22022661: 0.9307024336174629; 123801020: 0.9187708820476183; 103454092: 0.9163411670778576; 105104597: 0.9120583600714952; 123717868: 0.9051719134571389; 116579818: 0.9029316923395928; 10613917: 0.9028054268686619; 126569199: 0.8996441629296209; 123852383: 0.8992428534090815; 78132582: 0.8980156263466239
105840831	115751641: 0.8858153698584161; 113364607: 0.8836285657362605; 126839096: 0.882128075013792; 83487641: 0.8787972544173362; 105837393: 0.8784792898171416; 64468897: 0.8701148118030483; 66475712: 0.8694424430272585; 117504246: 0.8691007891338287; 66356742: 0.8687358990042917; 83032586: 0.8664509963056075
58102876	54565010: 0.9146116075256331; 123805993: 0.9123932360959751; 135215518: 0.9123330057700677; 89865586: 0.9099190407192871; 127621895: 0.9047217306347751; 102490452: 0.904661601749682; 118522118: 0.9037105876763377; 137043107: 0.9035662930829572; 122642360: 0.9014674771122895; 117803330: 0.8987749933482467
10976560	72699265: 0.9261802704441215; 67343289: 0.908524497963144; 126716187: 0.8724643649297273; 85279781: 0.8477668493380883; 129995939: 0.8398959214823126; 85983818: 0.8330125951305019; 121201304: 0.8309283634697889; 128005780: 0.830626727940505; 88976527: 0.8212553534358265; 51350662: 0.8190235931326341
10798215	58231725: 0.9004139672744013; 70352090: 0.8948178988086367; 89958631: 0.8893697880490335; 68341331: 0.8886497533454158; 130222142: 0.8873728474494543; 58130621: 0.8863760242279286; 89384162: 0.8843369981382243; 130186286: 0.8837759203777971; 88998719: 0.8821701570780199; 5243217: 0.8812783155730948
62718742	25059586: 0.8399577030099183; 83421884: 0.8227450307665636; 57874271: 0.8159313186991212; 118393997: 0.8129865421546292; 109865687: 0.8112747551534011; 118139907: 0.8100453686617032; 59273672: 0.808718561267204; 123767556: 0.8050626864599073; 126680852: 0.8029374042716948; 111452666: 0.8027341175717381
118647298	101768942: 0.8069807586773478; 66920291: 0.7791030944462526; 122214131: 0.7754991557674644; 90256667: 0.7743284513482177; 68600166: 0.7730865413910728; 53471451: 0.7722835330802905; 122158563: 0.7719924378171017; 103939701: 0.7699705287037594; 10282145: 0.7695167865167051; 54374996: 0.765530547208686
132080553	18004320: 0.9064971553081594; 20520639: 0.8786449750511264; 87770297: 0.8383320142051481; 9989734: 0.8365473483869572; 12574274: 0.8093722479453503; 21885461: 0.8039143890005526; 129130790: 0.8027722335881406; 20683191: 0.7986579948242271; 23209095: 0.7937083354125695; 89083234: 0.7928827325578238
79862928	77474519: 0.8669573808479977; 131145871: 0.8329406820875208; 115118118: 0.8304640486291693; 80151613: 0.817531229583484; 83270665: 0.812049457980537; 130488587: 0.8068350128286365; 116578094: 0.8063131805046443; 65042485: 0.8060506097390293; 64972771: 0.8039494543955901; 107760363: 0.8038717987941096
14086435	2270447: 0.8941156008995094; 98278547: 0.8513172530821586; 14200240: 0.845946952703556; 98048607: 0.8368332136445791; 21781268: 0.8301621338644573; 125650337: 0.8186321899416483; 59233913: 0.8136171004696814; 126233859: 0.812129691374595; 124717783: 0.8098962237973786; 4651450: 0.8098962237973786
130999933	131197117: 0.8706570322383567; 69036875: 0.8329860446836225; 61092021: 0.8239117886092701; 10241868: 0.8211929130470477; 20106855: 0.8190645951576208; 6572057: 0.8183388616628349; 859633: 0.8172403999083563; 28508708: 0.8133892425210352; 70866721: 0.8121654698831188; 119006189: 0.8102815310372202
88129728	75478840: 0.8330984084183677; 376059: 0.8310233805479089; 4481234: 0.8239000181582281; 127056382: 0.8109139195581162; 1254620: 0.807994079800354; 7942217: 0.8076747254701023; 3076799: 0.8057171478501398; 4043717: 0.7995018109360098; 4493411: 0.7987126394447664; 17094480: 0.7977248562286703
117275947	118139907: 0.901764437763029; 105459288: 0.8898851832164857; 83421884: 0.8617980700973105; 23846291: 0.8356758976508832; 94946307: 0.8311179298270681; 57874271: 0.8308875025750605; 22164913: 0.8289567882150447; 107344344: 0.8266911756652374; 15914846: 0.8261851242082613; 24096108: 0.8198943353583077
60884866	10145419: 0.9198839211125984; 105547753: 0.914685096284773; 64255153: 0.9004612357077496; 101019556: 0.8958857668633098; 108084708: 0.8931014527942608; 114335471: 0.892526670215542; 89007116: 0.8912347548737288; 49854254: 0.8909075670976951; 79268595: 0.8891743787989765; 87446484: 0.8881830765989519
103715941	58600512: 0.8538840329603952; 77195720: 0.8515295115270545; 43119080: 0.8492123976838942; 84720028: 0.8354247329985874; 70906024: 0.8255180502504244; 112124494: 0.824120260686614; 70106400: 0.8215410078837757; 110184544: 0.8185709722069817; 60036504: 0.818217421222805; 20767123: 0.8171781014082409
53702336	84665507: 0.9397846471201434; 89284316: 0.9341912248241907; 57700224: 0.9301461790025708; 10702715: 0.9055498929110001; 87133881: 0.8938178524468553; 123364016: 0.8927657927107917; 90960074: 0.8921435066626127; 130035115: 0.8903953048825691; 115019404: 0.8903953048825691; 67791099: 0.8892702060839833
59534234	21066988: 0.9096969354999106; 117103486: 0.9071294755330863; 131905006: 0.9010034226348151; 19410666: 0.8965826165197928; 126944593: 0.8848026488870198; 4385609: 0.8756086419045788; 19335061: 0.8722680844448741; 137971000: 0.8540353318499859; 134431347: 0.8499297631346371; 7582413: 0.8485333876839386
3018496	18746354: 0.9429592768238608; 91167764: 0.9299394112765406; 87446484: 0.9291875055585938; 18252550: 0.929118529247799; 25075993: 0.9279597556667704; 11634348: 0.9252892916819123; 18233211: 0.9243999052217298; 90660866: 0.9226093008262671; 10396052: 0.9209875215971232; 11967183: 0.9197171771542039
45089646	129035660: 0.8807503893792494; 138068838: 0.8783561806637326; 25230139: 0.870990697970468; 7121628: 0.8637219666922709; 89569138: 0.8612019340538268; 3121321: 0.8604870778732794; 88314551: 0.8603416575806523; 4383837: 0.8598054756787804; 20315004: 0.8592398498056716; 99665088: 0.8583943164265384
134433985	104519516: 0.7935339088129647; 84067525: 0.7915309715696401; 84082889: 0.791361325656847; 133668465: 0.7891817850147669; 129655690: 0.782410874848627; 29539571: 0.7785011601636953; 115018609: 0.773736837575479; 104520760: 0.7724598075145906; 104517456: 0.7716022281477724; 129826846: 0.7703896872222894
56617874	57280732: 0.9309608674565462; 88530637: 0.9305800757578966; 89381828: 0.9268351502179943; 121470073: 0.9255336841364642; 67978348: 0.9213062635306035; 132838719: 0.9102401464297992; 59017674: 0.9099223165240558; 4693691: 0.9090866742666078; 70058046: 0.9043346500064621; 15682750: 0.9027158733875486
5467611	6537907: 0.9017393411171327; 54590351: 0.8938018242142589; 3930567: 0.8907843057833972; 99571194: 0.8886302153235833; 19160648: 0.8875709819943803; 52973453: 0.8817119381996502; 8870112: 0.8800335317474471; 68358022: 0.8787516303978457; 57403364: 0.877875542330182; 7829782: 0.8752868983460951
115022954	83529124: 0.8161581199713919; 123717535: 0.8089058728693832; 51587570: 0.7995337580363588; 83914237: 0.7966422673912972; 69095880: 0.7942902975760302; 107585104: 0.7940706573362054; 90285015: 0.7918437392892498; 2733380: 0.7916854763356856; 130516296: 0.7910412134598042; 123873809: 0.7877786827299444
80118628	68074124: 0.8633521960857986; 135160818: 0.8543125144306191; 83864969: 0.8400140249812418; 71529208: 0.8380339613639672; 124026000: 0.8275297100933259; 58557554: 0.8262297357215004; 123561921: 0.8251815667935215; 117525209: 0.818013326627578; 67998463: 0.8164785553099947; 106862875: 0.8146052203861758
102471706	22974863: 0.86735771237885; 11030073: 0.8597630463674155; 102229440: 0.855212287375645; 129055840: 0.8530010938560497; 11127280: 0.8484453990718941; 11830915: 0.8482493130156411; 6553880: 0.8462061367690907; 90111985: 0.8459873111095171; 89685011: 0.8448022827130567; 117169038: 0.8428965817061121
