CID	nearest_neighbors
131313716	132559276: 0.9610857800302871; 137392600: 0.9399656240581665; 595955: 0.9374501759729573; 58954380: 0.937174310976539; 137776386: 0.9365588980622639; 124390169: 0.9318245651959252; 23353375: 0.9267928177482189; 123920001: 0.9242722972480636; 18531318: 0.92360584583809; 6978193: 0.9221500489332802
130023426	18710970: 0.9597487641512363; 123700358: 0.9585020303052838; 59787234: 0.9583059243362233; 58722455: 0.9557694494629696; 59642567: 0.9545925227864117; 123471425: 0.9540911591703561; 118546441: 0.9538166079250402; 58536061: 0.9536923534752695; 137428128: 0.9533610621279345; 59412579: 0.9530867178294342
117200791	115128997: 0.9041611590646242; 11010939: 0.9005561709758305; 601997: 0.8980943335874173; 11745639: 0.8956795301036049; 137386756: 0.8915712066133358; 130132985: 0.8885421913014113; 3632208: 0.8797591303277755; 84080020: 0.8792661328859029; 83529668: 0.8790357709232426; 101956538: 0.8777636673210415
657881	11285276: 0.689665608988757; 23533070: 0.6841311319823872; 14988347: 0.6805094149958066; 137626289: 0.6804417282629946; 137627797: 0.6799852854129543; 71497235: 0.6795813100744366; 89813462: 0.678851136636119; 28698618: 0.6776689030423668; 11900079: 0.6775790097905205; 92233834: 0.6744407322536545
67104756	11658672: 0.9285611464055586; 134559340: 0.9185433707178469; 57419255: 0.9139956248845243; 10728679: 0.9060915097749409; 89441515: 0.905876221309532; 130264203: 0.9046492330152412; 122665338: 0.9043968923769109; 137484576: 0.9041549421637002; 118503466: 0.9023520155211873; 137484644: 0.9020283486283361
131544292	137469796: 0.9104697784389816; 89628631: 0.9039878710201433; 118700547: 0.9031637650081873; 124083457: 0.9004279612313233; 132179021: 0.8991067195312471; 58410160: 0.8976754014111007; 132177431: 0.8967862252078961; 129297227: 0.8963339566450965; 121337072: 0.8961200127567062; 129148234: 0.8953148109256595
91240659	20407242: 0.5996530799355179; 122522426: 0.5519772413035438; 71591130: 0.5232029594843489; 98306493: 0.5201735565396319; 73389482: 0.5076669643455763; 126703837: 0.4979289346701581; 121533681: 0.49762736266285285; 122192716: 0.49306751995333387; 114597172: 0.4903555210374652; 55663727: 0.4900726655372595
134498212	69657612: 0.9046750985481102; 91176475: 0.9025380775647266; 102222143: 0.8925641416296339; 10770848: 0.8910086281007827; 137469796: 0.8894741624164979; 55417402: 0.8867557997955614; 18373331: 0.8867348927605806; 69559096: 0.8859249915960852; 130244023: 0.8853473577127777; 137391816: 0.8845349673489517
115900484	47037883: 0.9314363563205845; 116137135: 0.926212118701191; 66431075: 0.9246082808368116; 103987427: 0.9229721094313527; 83290585: 0.9225923947542057; 61439176: 0.9211729174298734; 65193990: 0.9210033330348572; 101058590: 0.9208466139223268; 72939537: 0.9189914464680026; 63013552: 0.9182519343895733
122672119	2666580: 0.9039254436839459; 7100803: 0.8940063874035955; 9071902: 0.890430529890126; 50037256: 0.8858831643570083; 50016733: 0.885213743890206; 50600046: 0.8851455256158418; 50705173: 0.8846103096722068; 50622375: 0.8839061125890707; 50720345: 0.8839061125890707; 52005977: 0.8826603903919725
102077805	13537217: 0.9506906945933962; 123565606: 0.9245837796775768; 305472: 0.8886345379731653; 44418975: 0.8884779224660868; 4913626: 0.8861988168209991; 3076112: 0.8860502959160065; 4395983: 0.8815048016063979; 21857752: 0.8790513426445903; 10952546: 0.8774072496996501; 135453430: 0.8738993652491882
128842085	68241489: 0.9461440941487471; 81617454: 0.9451747400910963; 115487453: 0.937917114714612; 109208223: 0.9349549839578353; 109124183: 0.9312765058860002; 52149934: 0.9294794238334014; 131558202: 0.9268318843041118; 112931326: 0.9263268695710741; 133381167: 0.9198484369376028; 80793068: 0.9189842959044232
64298057	107006307: 0.9150828870457697; 23249882: 0.89657285169193; 104656048: 0.8885862253187936; 79347139: 0.8757950601304311; 129311364: 0.8549567609555727; 114054966: 0.8537061492568344; 79347619: 0.8533271630954582; 53382151: 0.8515079381523917; 124511932: 0.8497259438239848; 116303854: 0.8491961238920483
117194323	60837599: 0.9360666893387872; 83458949: 0.9305481820251852; 115704808: 0.9167091859003493; 24738121: 0.9115811736366323; 135141788: 0.9048115441549868; 117197882: 0.8952528605456497; 69277624: 0.8937842281832602; 112908400: 0.892905754699221; 113038323: 0.8928213717162498; 133347469: 0.8896363312858964
53635190	81224411: 0.8904842799255214; 4176551: 0.8873104063553716; 6661012: 0.8859580260519544; 92140066: 0.8852819402176414; 5086772: 0.8831444458651146; 135998543: 0.8824138219226699; 102599759: 0.8812984896720604; 102223804: 0.8791612028966611; 9514710: 0.8777167629472293; 6660291: 0.8762411022756628
134600225	381724: 0.8297670491244955; 18056767: 0.8293164968229986; 18056024: 0.8202804299270822; 18056594: 0.8169701444200094; 18060551: 0.8166395986756213; 18256449: 0.7990619726553714; 115516890: 0.791733291212047; 18233160: 0.787373289474557; 87461286: 0.7852272054933576; 18744103: 0.7839168348869325
131216359	129256783: 0.8282115997415259; 88009282: 0.8208011860934668; 65136109: 0.8124181758067304; 23104584: 0.812382804430615; 101515202: 0.8012523295201598; 82182908: 0.8003879342884329; 78919607: 0.8000012241232204; 130870074: 0.7898379653986085; 104005135: 0.7887870283100907; 104152418: 0.7862417338289689
104668773	65161773: 0.9048039743931563; 65020110: 0.8834206190545918; 62141075: 0.8821337245808449; 121597389: 0.8730454767711777; 65160943: 0.8543889059417856; 102896477: 0.852445614426393; 115755726: 0.841386668012947; 63010808: 0.8405505093808341; 239818: 0.8339630813825206; 83462112: 0.8308742882842804
121009122	45575163: 0.9280539304442865; 94682271: 0.9220106458819861; 125657424: 0.91095784351876; 7952942: 0.906566623439545; 25322362: 0.8998415735777752; 84106034: 0.8977716011408854; 28580081: 0.8966831382575555; 7563981: 0.894970030935011; 37591606: 0.8926571925808394; 129097067: 0.8918750941925978
110851884	106423029: 0.9305216053546422; 77094181: 0.9063563000136855; 56464131: 0.8678556547387534; 81170387: 0.8597832329083042; 110249200: 0.8538678189521871; 56928796: 0.8529810447581013; 71710362: 0.8512061362442581; 115769347: 0.8502188074254571; 128313296: 0.8490858623865165; 104600442: 0.8454834450307346
105531530	57771515: 0.7752663527639815; 129903545: 0.7746331682567718; 84734471: 0.769927579968222; 42617032: 0.757247389853165; 24726913: 0.7540429323434874; 86779676: 0.7514454650468239; 16402903: 0.7447460782526172; 44268404: 0.743779295455357; 69917386: 0.7410539877386001; 118856020: 0.7409877590343935
63823391	83800333: 0.9598433310282276; 82731066: 0.9570141517992465; 105171263: 0.9540897952078313; 61382175: 0.9530133549891157; 80089563: 0.9521683919101351; 57282334: 0.9465534820985806; 64466591: 0.9449007893446345; 59088323: 0.9447624666689646; 11608905: 0.9440357444545393; 65856256: 0.9429698590120338
107165766	115638922: 0.9583805281619752; 104866413: 0.9490317469608561; 115708859: 0.9485695780480707; 80255764: 0.943679125882; 60819580: 0.9430347728172002; 81011673: 0.9410431338081658; 115709702: 0.9376330965605961; 108419429: 0.9370005263551975; 105714193: 0.93527919693401; 79430973: 0.9319272939577861
13045226	103124178: 0.9066195490178652; 84722026: 0.9045806182832894; 123728206: 0.8945214433154252; 101899987: 0.8910929651014271; 69389132: 0.8891511672066111; 82052677: 0.8845945562429648; 3094287: 0.8827248429340933; 137098756: 0.8711027400633661; 115641469: 0.8705824862618433; 69993956: 0.8623108695497361
71563565	64423806: 0.8576678579276625; 117541630: 0.8563797267906339; 7295091: 0.8547073559859308; 91760065: 0.8516939037947483; 105080856: 0.8516314914501422; 57922155: 0.8510963375940159; 50880385: 0.8476918242364302; 1208378: 0.8455909579451715; 112614518: 0.8455055375007251; 32056326: 0.8439313460345423
131048163	64348675: 0.9225512703044665; 116565474: 0.8898500830782389; 58582853: 0.8856049731233427; 103833095: 0.8809822637584578; 52879813: 0.8809211580582594; 84310016: 0.880200713425951; 90196223: 0.8793739994393979; 100588395: 0.8729312031806504; 58472361: 0.8725383005450078; 63130576: 0.8724207743210746
122642237	11252712: 0.8431860156060218; 137390424: 0.8108365590869231; 108903791: 0.7988539051597339; 72651191: 0.7890531404780777; 66927709: 0.7712727529873564; 126607746: 0.7697659013561523; 134334110: 0.7669186060654637; 131113489: 0.7660333155117991; 71411913: 0.763310421539957; 132172738: 0.7558982760084081
81422016	81422016: 0.9999999846038635; 100958561: 0.8620171506038452; 56954374: 0.8606528926285548; 137043107: 0.8491321247920783; 45101: 0.838223466438499; 137445131: 0.8382116601409504; 130980858: 0.8380842519441768; 24443313: 0.8362710935868005; 69430826: 0.8356800293849747; 64983173: 0.8353474086446173
130706470	107908040: 0.789098908204255; 116152687: 0.7869079075205648; 105039250: 0.7860407010945453; 131272937: 0.7747711646997545; 88249385: 0.77109323068105; 130716812: 0.7691498899418089; 130693282: 0.7684106467672878; 55275228: 0.7642031130918122; 131289781: 0.7626907726567558; 89256755: 0.7360533247780714
102256907	84771166: 0.937068774511695; 79702607: 0.9269348550270333; 22597855: 0.9244780227473519; 132498510: 0.9162594921581128; 17142234: 0.9134696784332093; 125632215: 0.9094354703039256; 13275318: 0.9045995919480978; 102105978: 0.9042908826947366; 53266986: 0.9042373488248627; 54800523: 0.9030847832949059
20872011	64160368: 0.9340356081434021; 130933438: 0.9336300058882654; 71694601: 0.9217650474569995; 105504469: 0.9185223556802797; 122623341: 0.9158475562927456; 53220660: 0.9150647866005697; 19776667: 0.911450100888015; 1798998: 0.9109025376083858; 56994377: 0.910609863279794; 115050918: 0.9091348764146003
124510056	133623272: 0.8669360823164777; 108112162: 0.8625837353025364; 122669866: 0.8598308154037141; 136193516: 0.854608847608574; 53573278: 0.8542837600179924; 70794254: 0.849682289850484; 137056360: 0.8449903347089829; 121223138: 0.8433833975896055; 36456502: 0.8431394216000365; 53671202: 0.8423596136474715
72231599	72230804: 0.9999999910434365; 92089699: 0.9292470581164011; 122248840: 0.9185209185933763; 90636608: 0.9162948148467001; 128133639: 0.9150070402812819; 101665472: 0.9145082888546218; 90636791: 0.9136587662821837; 22936559: 0.9123266678292614; 137895879: 0.9088071010747911; 137583958: 0.906933368055884
101884945	44101137: 0.9491662170054714; 67805274: 0.935901359161083; 3426563: 0.9296366302030391; 108726481: 0.9226459856858021; 56167215: 0.9219569775452965; 73755322: 0.9214495681457437; 70124963: 0.9209558183461218; 53757057: 0.9184999957828905; 42762758: 0.917153314139838; 92656093: 0.9171165942951908
131621716	131473703: 0.9619979129140026; 131543028: 0.9436990666870981; 117528183: 0.92759381191167; 13383888: 0.9114415003982146; 82159786: 0.904712380490518; 17985409: 0.9015931121900095; 131454561: 0.9015123556624444; 131549614: 0.9007505575296115; 131609849: 0.8999106211625819; 86662037: 0.8931375440046635
131603562	118829105: 0.8906102143239613; 84661253: 0.8790252465787717; 131326046: 0.878074429597841; 59709588: 0.8747771936898375; 101019931: 0.8611622465910026; 115525185: 0.8593936271772746; 90854544: 0.8564229737786325; 61050685: 0.8563910831080552; 130078670: 0.8546881839550934; 85694783: 0.854208133530185
116576484	63913916: 0.8379696406599318; 80581537: 0.8376341096589736; 125139697: 0.8202177592891229; 62928612: 0.8177907895468383; 53303992: 0.8156619751939034; 65320118: 0.8132286608874592; 104750880: 0.8055608365681178; 83811737: 0.801310493720264; 16906030: 0.7973914443061084; 63192887: 0.7949019039537161
84025184	129365524: 0.9302349153128814; 117031430: 0.9238883595913462; 131445055: 0.9211829410992718; 68938169: 0.9193981526965147; 24732093: 0.9049115757405247; 105468053: 0.9016186486704497; 107887844: 0.9015556415639026; 71275017: 0.9014810421993478; 23291128: 0.8991296362393391; 86275145: 0.8980757962760064
58504840	129919272: 0.877934951256563; 134356956: 0.859104020264005; 137308899: 0.851277882127197; 137500602: 0.8486933558404657; 137038444: 0.8451562300802643; 123873809: 0.842637406426329; 137135549: 0.8412730853742364; 83667961: 0.8395484648461956; 45597825: 0.8351964048801911; 137400372: 0.8350823514404746
9899151	91024987: 0.7863300219156893; 21534154: 0.7686614905445515; 73704731: 0.7630165249669862; 127017646: 0.761883484717467; 88824890: 0.7590847841636744; 91525583: 0.7571491403010727; 112079135: 0.7506424470366827; 135673918: 0.7494755424170987; 129155562: 0.7466771027994838; 111400605: 0.7436623536399523
105455070	115022765: 0.9136721394677506; 103768127: 0.839414533562384; 115521876: 0.8367334873603665; 83117992: 0.8359513167278952; 117630217: 0.8317508816718904; 43101784: 0.8306606983008418; 43565946: 0.8295045952366149; 84718992: 0.8257284853709798; 55271933: 0.8248834234962158; 44498661: 0.8224457544023225
