fragment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
O=S,0.024663217,0.0011848949,0.0029084687,0.0037919674,0.00068449206,0.0006234345,0.003930329,0.00079113204,0.002181184,0.0006234345,0.19847241,0.0006234345,0.0006234345,0.0024051582,0.006543195,0.00255961,0.0006234345,0.0014676107,0.0006234345,0.0006234345,0.0015659777,0.0006234345,0.0006234345,0.0048291907,0.004669066,0.0006757831,0.0006234345,0.0021567175,0.0006234345,0.0028994388,0.0006234345,0.0006234345,0.0038351698,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.0017713743,0.0026260605,0.0006234345,0.0006234345,0.0006234345,0.046491336,0.0006234345,0.0006234345,0.17298752,0.0010104962,0.0029391136,0.0006234345,0.002972225,0.005199481,0.0073104072,0.0014873553,0.0035433515,0.0006234345,0.0035798596,0.0025176087,0.0006234345,0.0042446624,0.0006234345,0.0015440751,0.0027708926,0.0015572847,0.0007846199,0.0007444422,0.011374638,0.0006234345,0.008150183,0.0006234345,0.006216233,0.04337246,0.0006234345,0.0017819061,0.0034763583,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.0012473257,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.0006234345,0.001718058,0.0007376416,0.018162867,0.0006234345,0.0006234345,0.0017929701,0.0105795525,0.0006234345,0.08023233,0.24355887,0.0006234345,0.0006234345,0.0006234345,0.0006234345
C1=C[NH]N=C1,0.006306336,0.0014875858,0.0012827455,0.0020092132,0.0050648097,0.005934184,0.0014661454,0.0028022253,0.017414054,0.021406803,0.00588614,0.012966994,0.012118383,0.0012827455,0.0012916065,0.0019559094,0.0025824937,0.0032035212,0.0028600188,0.0045131342,0.23060988,0.07369188,0.0015988457,0.006780422,0.0012827455,0.0026344461,0.004385448,0.0028579247,0.0012827455,0.0012827455,0.006384468,0.0012827455,0.005804055,0.0033305648,0.0014077821,0.0012827455,0.0015983913,0.0012827455,0.0012827455,0.0023662117,0.01864212,0.029794954,0.0025452226,0.0012827455,0.0031078982,0.0012827455,0.010103294,0.077096924,0.0014212395,0.0025872192,0.0013538554,0.0012827455,0.0028679192,0.0013658388,0.0012827455,0.0058542397,0.020320144,0.006061414,0.0012827455,0.017733352,0.0012827455,0.0012827455,0.0013087816,0.007574813,0.007392735,0.02197156,0.0017632009,0.0012827455,0.005004452,0.0019178409,0.012421575,0.0051999446,0.003896059,0.0073899743,0.0152993435,0.009462251,0.0012827455,0.009255055,0.0023789152,0.0012827455,0.0060261535,0.0013062346,0.0012827455,0.0038343174,0.004972038,0.002532517,0.0012827455,0.051381897,0.029036859,0.0022761843,0.004143722,0.008672954,0.0012918467,0.035437055,0.004629827,0.001361912,0.0024119262,0.003675259,0.005968576,0.0362909
NS,0.07386523,0.0016833382,0.0013853553,0.017650854,0.0022633567,0.0013853553,0.024120659,0.0013853553,0.020470763,0.0057791714,0.06433093,0.0018271087,0.008889092,0.0044757198,0.0116585195,0.0038171276,0.003082824,0.022408428,0.0013853553,0.0013853553,0.010680935,0.0013853553,0.0013853553,0.052911866,0.0021002023,0.0013853553,0.0019614412,0.004000806,0.0013853553,0.015081484,0.0013853553,0.0013853553,0.0033374722,0.0046135806,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.008659688,0.0013853553,0.0013853553,0.07629718,0.0013853553,0.020945746,0.0013853553,0.014313734,0.0116643,0.030067941,0.008261025,0.0015387574,0.0013853553,0.005274289,0.0015110874,0.0013853553,0.005852597,0.008671603,0.006499869,0.0026715302,0.0031261558,0.004377744,0.0020981603,0.0064792656,0.0013853553,0.0055344626,0.0022488034,0.014451386,0.1315564,0.0019063927,0.003556727,0.010982493,0.0013853553,0.0013853553,0.0013853553,0.0013853553,0.0017060143,0.0013853553,0.0016910447,0.0013853553,0.0013853553,0.001417131,0.0013853553,0.0013853553,0.0053914976,0.010787193,0.013668277,0.0013853553,0.0013853553,0.011556472,0.0013853553,0.006870656,0.09052421,0.048264984,0.0013853553,0.0013853553,0.0017645876,0.0013853553
C1=CC=NC=C1,0.0084468415,0.0017889382,0.0029733824,0.004205942,0.0053835437,0.016448237,0.0017889382,0.0028895743,0.019283943,0.004100913,0.010536758,0.016280124,0.011181248,0.0022480763,0.0017889382,0.002924041,0.0017889382,0.0017889382,0.0025984526,0.007156889,0.11067468,0.13758628,0.0017889382,0.0037500015,0.0021732345,0.0017889382,0.004673798,0.004629858,0.0021115744,0.0017889382,0.0095725795,0.0017889382,0.006015752,0.0044291266,0.0024675694,0.0019331737,0.0051037543,0.0017889382,0.001878013,0.003018662,0.0065971557,0.055652168,0.01100919,0.0051585087,0.007999095,0.0017889382,0.020776998,0.07496934,0.0029566463,0.0033069528,0.0019170142,0.0017889382,0.0025865943,0.0028317096,0.0022545476,0.0055474113,0.012030953,0.005597007,0.0017889382,0.0070811464,0.0017889382,0.0017889382,0.0017889382,0.009934499,0.0055648577,0.026950356,0.0063614803,0.0017889382,0.0022445964,0.0017889382,0.017222889,0.0077042123,0.0033231077,0.01207183,0.017264176,0.02105226,0.0023885209,0.0063447687,0.0051988284,0.005590944,0.0058852173,0.002219213,0.0064019207,0.0019151239,0.0077276165,0.0027413843,0.0017889382,0.014347665,0.02054725,0.0024760782,0.013622211,0.00389975,0.00341624,0.02428524,0.002972735,0.0017889382,0.0034437252,0.00422694,0.006718077,0.04320908
C1CCNCC1,0.0010094396,0.0010094396,0.093845785,0.007477628,0.006030681,0.024567837,0.0010094396,0.00462729,0.0010953023,0.0010094396,0.005255453,0.0010094396,0.0010094396,0.0072700847,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.014064489,0.0010094396,0.032755338,0.0054450673,0.0010094396,0.008864933,0.0010094396,0.0010094396,0.012918732,0.0070841894,0.0010775182,0.008436766,0.0010094396,0.002784923,0.01047294,0.015432103,0.01060926,0.020158222,0.0033834586,0.012761354,0.01158964,0.0010094396,0.025753055,0.024220228,0.23280956,0.04442959,0.0010094396,0.011031782,0.0010094396,0.0087925065,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0028021464,0.012740185,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0048977286,0.004300644,0.0017719478,0.0015920792,0.0020986255,0.012290441,0.0010094396,0.0010094396,0.0010094396,0.0010094396,0.0015475313,0.0010094396,0.007473172,0.0076293065,0.049133014,0.0065192874,0.0016370515,0.0017700493,0.029897138,0.0018128977,0.014528821,0.06479813,0.0010094396,0.0028782405,0.0010094396,0.0016179561,0.0010094396,0.001157081,0.0046565286,0.028723834,0.0010094396,0.009661117,0.0010094396,0.0010094396,0.0010094396,0.0010304152,0.0010094396,0.0013477555,0.0022446725
CCl,0.01532607,0.00436814,0.0017377696,0.004423908,0.0013830904,0.0013830904,0.025790581,0.0013830904,0.003208892,0.0013830904,0.1792094,0.0013830904,0.0019242723,0.011604019,0.011530988,0.002999188,0.0014344279,0.0013830904,0.0013830904,0.0013830904,0.0014343048,0.0013830904,0.0013830904,0.0069487486,0.006121215,0.002366173,0.0013830904,0.0026805683,0.0015965364,0.0088850865,0.0013830904,0.0013830904,0.004098978,0.0013830904,0.0013830904,0.0013830904,0.0013830904,0.014195126,0.0022870416,0.0014985062,0.0013830904,0.0013830904,0.03433001,0.0021446303,0.0013830904,0.16827074,0.0013830904,0.00515112,0.0013830904,0.022833697,0.009608989,0.029894918,0.005761205,0.005827457,0.0031499711,0.0027539544,0.0033317066,0.0013830904,0.0043144315,0.0018580747,0.0044924733,0.0037766797,0.0042860894,0.0013830904,0.0013830904,0.0037133878,0.0013830904,0.020262405,0.002206853,0.0077454196,0.018804215,0.0013830904,0.0045419037,0.0017042588,0.0013830904,0.0013830904,0.0013830904,0.0013830904,0.0024029328,0.0013830904,0.002123091,0.0013830904,0.0019189531,0.0014374509,0.0014329,0.0013830904,0.0056927144,0.0015306518,0.006072729,0.0013830904,0.0013830904,0.0048263944,0.00577307,0.0013830904,0.033661474,0.18650438,0.0013830904,0.0017646145,0.0044835834,0.0013830904
C1CCNC1,0.0015923175,0.0013234166,0.056738388,0.006593939,0.0037517797,0.026561843,0.0013234166,0.0046785707,0.002087729,0.0013234166,0.008567453,0.0013234166,0.0013234166,0.008580353,0.0013234166,0.0013234166,0.0013234166,0.0013234166,0.0013234166,0.011459624,0.0013234166,0.042154677,0.0037888887,0.0013234166,0.013250243,0.0013234166,0.001684744,0.00917446,0.008597452,0.0017040343,0.007988419,0.0013234166,0.004461708,0.008542494,0.013482082,0.0130868545,0.018980755,0.0053106383,0.008789418,0.010301177,0.0013234166,0.02916003,0.027595894,0.2014369,0.04528661,0.0013234166,0.012962271,0.002202929,0.008001649,0.0013693541,0.0016543252,0.0013234166,0.0013234166,0.005742794,0.0169454,0.0013234166,0.0014855518,0.001986566,0.0013234166,0.0013234166,0.0013234166,0.0054197744,0.0040512704,0.0028024733,0.0019193749,0.0024486152,0.018789817,0.0014230484,0.0013234166,0.0013234166,0.0013234166,0.0026059817,0.0013234166,0.005693727,0.0065892115,0.03870778,0.0066882963,0.0028846909,0.004204606,0.030807393,0.0028725418,0.015758198,0.065033495,0.0013234166,0.004828196,0.0013234166,0.0017935479,0.0013234166,0.0018385387,0.003819536,0.04374865,0.0013234166,0.012837516,0.0015589963,0.0013234166,0.0013234166,0.002178931,0.0013643896,0.0035568036,0.0036849023
C1=CSC=C1,0.017790234,0.0053829793,0.002874755,0.0045511723,0.02057274,0.0016615646,0.0023393892,0.008677762,0.010600519,0.07487201,0.009325988,0.0031893326,0.0021279103,0.0016615646,0.016440317,0.0018952315,0.0018519448,0.021521006,0.0016615646,0.0066575315,0.038934596,0.0089554675,0.008910501,0.009364774,0.0021486103,0.002941769,0.0016615646,0.008752653,0.0016615646,0.0016615646,0.0024577996,0.002608946,0.015978727,0.011079107,0.0020283237,0.0016615646,0.0016615646,0.0016615646,0.003542335,0.0061484203,0.0073078317,0.005168959,0.0048368033,0.0016615646,0.0016615646,0.0098846955,0.0038716977,0.00963452,0.0016615646,0.0016615646,0.0028039387,0.0016615646,0.0022683125,0.001736475,0.0016615646,0.009967881,0.01110536,0.0016615646,0.003842429,0.0072090635,0.004515341,0.0027127066,0.003719383,0.004356523,0.019273752,0.07870458,0.0016615646,0.0016615646,0.005434749,0.010092557,0.024420759,0.0021967823,0.0016615646,0.014919052,0.007951456,0.008088673,0.0016615646,0.0016615646,0.0016615646,0.003087511,0.0032109283,0.0016615646,0.0016615646,0.0036343166,0.0017077854,0.0016615646,0.0016615646,0.013654877,0.13742249,0.002580028,0.0016615646,0.004956711,0.0030394203,0.0061468314,0.15353946,0.008745791,0.0017983291,0.0016615646,0.0016615646,0.0077430042
C1=CSC=N1,0.006416219,0.003336193,0.0009625368,0.0026200714,0.010779398,0.0016306833,0.0049446155,0.0023614687,0.041520804,0.13169399,0.002158696,0.0016577377,0.022063628,0.0010652107,0.0018596579,0.0009625368,0.013444247,0.043728348,0.0031103028,0.003631155,0.14243326,0.01036931,0.002804705,0.020345027,0.0009625368,0.0029811917,0.002888505,0.0021636898,0.0009625368,0.0019360874,0.004215918,0.0009625368,0.0024542501,0.01483938,0.0012672159,0.0009899815,0.0012591911,0.0010372151,0.0009625368,0.0020062663,0.024393557,0.0065860813,0.0009625368,0.0009625368,0.0013966295,0.0009625368,0.0030885849,0.01669799,0.0009625368,0.00265991,0.0024330767,0.001317164,0.004814323,0.0009625368,0.0009625368,0.0033304465,0.00747108,0.005871885,0.0009625368,0.05027658,0.007116608,0.001005591,0.001983477,0.0063045667,0.009877212,0.0055052885,0.0010509577,0.0009625368,0.009138245,0.007918479,0.0047928584,0.0076720533,0.002446593,0.008175617,0.010955588,0.004718361,0.0009625368,0.008004275,0.0024361473,0.0009625368,0.0038495478,0.0011380248,0.0009625368,0.002583723,0.0016334305,0.0009625368,0.0009625368,0.1332902,0.016073253,0.0028373345,0.0018247718,0.0147309955,0.0009625368,0.033200942,0.0130178705,0.0009625368,0.0030625756,0.0009625368,0.004062298,0.006066302
C#N,0.017586906,0.0023023365,0.011699129,0.0023079433,0.001913502,0.002115759,0.0071647842,0.001913502,0.001913502,0.001913502,0.13219127,0.009102601,0.001913502,0.0038856154,0.0062893494,0.012942868,0.001913502,0.001913502,0.001913502,0.001913502,0.0039124084,0.001913502,0.001913502,0.002602118,0.0040297513,0.001913502,0.001913502,0.0046508256,0.0019265804,0.0019917928,0.001913502,0.0028860178,0.007282087,0.001913502,0.001913502,0.001913502,0.001913502,0.005007147,0.021972403,0.001913502,0.001913502,0.001913502,0.07508223,0.0073841,0.001913502,0.09114169,0.0062217056,0.0066914074,0.001913502,0.005284064,0.0019630843,0.004483537,0.001913502,0.005049386,0.0029574938,0.0033292898,0.0049057547,0.001913502,0.019303255,0.001913502,0.001913502,0.0039277095,0.0023766183,0.001913502,0.001913502,0.019660672,0.001913502,0.00914484,0.001913502,0.0035607547,0.016814863,0.001913502,0.0028550946,0.0026754541,0.001913502,0.001913502,0.001913502,0.001913502,0.001913502,0.005420349,0.002169647,0.001913502,0.0023462533,0.001913502,0.0040388308,0.0022046675,0.0030482947,0.001913502,0.011103657,0.001913502,0.001913502,0.001913502,0.012821181,0.001913502,0.022878543,0.2794057,0.001913502,0.005417942,0.001913502,0.002461136
