fragment,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
C1CCCCCC1,0,0,0,0,0,0,0,1
C1=COC=CC1,0,0,1,0,2,0,0,1
C1=NOCC1,1,0,1,0,1,0,0,1
C1=CCOC=C1,0,0,1,0,2,0,0,1
C1=NCCN=C1,2,0,0,0,2,0,0,1
C1CNN=N1,3,0,0,0,1,0,0,1
C1=CNCC=N1,2,0,0,0,2,0,0,1
C1=N[NH]N=C1,3,0,0,0,0,0,1,0
C1=CC=NN=C1,2,0,0,0,0,0,1,0
C1=CCNC1,1,0,0,0,1,0,0,1
C1=CCN=C1,1,0,0,0,2,0,0,1
C1=COCCO1,0,0,2,0,1,0,0,1
C1CN=NNC1,3,0,0,0,1,0,0,1
C1=NSCC1,1,1,0,0,1,0,0,1
C1=NON=C1,2,0,1,0,0,0,1,0
C1C2CC3CC1CC(C2)C3,0,0,0,0,0,0,0,4
C1=CNN=CC1,2,0,0,0,2,0,0,1
C1=NN=CNC1,3,0,0,0,2,0,0,1
C1COCCOC1,0,0,2,0,0,0,0,1
C1=NNCCN1,3,0,0,0,1,0,0,1
C1=NNCO1,2,0,1,0,1,0,0,1
C1=COCO1,0,0,2,0,1,0,0,1
C1=NSC=N1,2,1,0,0,0,0,1,0
C1=CNC=NC1,2,0,0,0,2,0,0,1
C1=CNCCN1,2,0,0,0,1,0,0,1
C1=COCCN1,1,0,1,0,1,0,0,1
C1=NSCCN1,2,1,0,0,1,0,0,1
C1CNCOC1,1,0,1,0,0,0,0,1
C1=NCNCC1,2,0,0,0,1,0,0,1
C1=CN=CC1,1,0,0,0,2,0,0,1
C1=NNCNC1,3,0,0,0,1,0,0,1
C1CCSNC1,1,1,0,0,0,0,0,1
C1COCOC1,0,0,2,0,0,0,0,1
C1CC2CNCC1CN2,2,0,0,0,0,0,0,3
C1CC2CCC1O2,0,0,1,0,0,0,0,2
C1=NOCN1,2,0,1,0,1,0,0,1
C1=CNCN=N1,3,0,0,0,2,0,0,1
C1CCSCC1,0,1,0,0,0,0,0,1
C1=CCNCCC1,1,0,0,0,1,0,0,1
C1CNCCSC1,1,1,0,0,0,0,0,1
C1=CCCNCC1,1,0,0,0,1,0,0,1
C1=NC=NN=C1,3,0,0,0,0,0,1,0
C1CC2CC1CO2,0,0,1,0,0,0,0,2
C1=CCOC1,0,0,1,0,1,0,0,1
C1CNCSC1,1,1,0,0,0,0,0,1
C1=CCCCCC1,0,0,0,0,1,0,0,1
C1NN=NN1,4,0,0,0,1,0,0,1
C1CNNC1,2,0,0,0,0,0,0,1
C1COC1,0,0,1,0,0,0,0,1
C1=CC2CCC1C2,0,0,0,0,1,0,0,2
C1NCNCN1,3,0,0,0,0,0,0,1
C1CCSC1,0,1,0,0,0,0,0,1
C1CC2CC1CN2,1,0,0,0,0,0,0,2
C1CCNNC1,2,0,0,0,0,0,0,1
C1=NN=CCC1,2,0,0,0,2,0,0,1
C1CCCOCC1,0,0,1,0,0,0,0,1
C1=COCN1,1,0,1,0,1,0,0,1
C1=CSNC1,1,1,0,0,1,0,0,1
C1=CCC1,0,0,0,0,1,0,0,1
C1=COCOC1,0,0,2,0,1,0,0,1
C1CC2CNCC1O2,1,0,1,0,0,0,0,2
C1CSNCN1,2,1,0,0,0,0,0,1
C1=NCCC1,1,0,0,0,1,0,0,1
C1=NCNN=C1,3,0,0,0,2,0,0,1
NO,1,0,1,0,0,0,0,0
C1CC2CNC(C1)C2,1,0,0,0,0,0,0,2
C1=NCC=NN1,3,0,0,0,2,0,0,1
C1=NCNCN1,3,0,0,0,1,0,0,1
C1NCC2CNCC1C2,2,0,0,0,0,0,0,2
C1=CN=NNC1,3,0,0,0,2,0,0,1
C1=NCCSN1,2,1,0,0,1,0,0,1
C1=NC=NCN1,3,0,0,0,2,0,0,1
C1=COCCCO1,0,0,2,0,1,0,0,1
C1=CSCCC1,0,1,0,0,1,0,0,1
C1=CNCCNC1,2,0,0,0,1,0,0,1
C1CC2CCC(C1)N2,1,0,0,0,0,0,0,2
C1=COCCCN1,1,0,1,0,1,0,0,1
C1NCNN1,3,0,0,0,0,0,0,1
C1=NCCCNC1,2,0,0,0,1,0,0,1
C1=NCNN1,3,0,0,0,1,0,0,1
C1=CN=NCC1,2,0,0,0,2,0,0,1
C1=NCCNCC1,2,0,0,0,1,0,0,1
C1=CNSCC1,1,1,0,0,1,0,0,1
C1=NCNC1,2,0,0,0,1,0,0,1
C1=NCCCO1,1,0,1,0,1,0,0,1
C1=CC2CCC1O2,0,0,1,0,1,0,0,2
C1=CNSC1,1,1,0,0,1,0,0,1
C1CC2CCC(CN1)N2,2,0,0,0,0,0,0,2
C1=CCNNC1,2,0,0,0,1,0,0,1
C1=NCCOC1,1,0,1,0,1,0,0,1
C1CNSNC1,2,1,0,0,0,0,0,1
C1=CN=NC=N1,3,0,0,0,0,0,1,0
C1=CNNCC1,2,0,0,0,1,0,0,1
C1CC2CCCC(C1)C2,0,0,0,0,0,0,0,2
C1CSCNN1,2,1,0,0,0,0,0,1
C1=CNCCN=C1,2,0,0,0,2,0,0,1
C1=NC=NC1,2,0,0,0,2,0,0,1
C1=CCSNC1,1,1,0,0,1,0,0,1
C1CSN=N1,2,1,0,0,1,0,0,1
C1=CN=COC1,1,0,1,0,2,0,0,1
C1C2CN3CC1CN(C2)C3,2,0,0,0,0,0,0,4
C1COC2CCC(C2)N1,1,0,1,0,0,0,0,2
C1=NNCSC1,2,1,0,0,1,0,0,1
C1=NCCCC1,1,0,0,0,1,0,0,1
C1CNSN1,2,1,0,0,0,0,0,1
C1CC2CCOC(C2)N1,1,0,1,0,0,0,0,2
C1=CONC1,1,0,1,0,1,0,0,1
C1=NC=NNC1,3,0,0,0,2,0,0,1
C1CC2CC(C1)C2,0,0,0,0,0,0,0,3
C1=COCCCC1,0,0,1,0,1,0,0,1
C1COCSN1,1,1,1,0,0,0,0,1
C1=CCC=CC1,0,0,0,0,2,0,0,1
C1NC2CCOC(C2)N1,2,0,1,0,0,0,0,2
C1=CCSCC1,0,1,0,0,1,0,0,1
C1=COCCNC1,1,0,1,0,1,0,0,1
C1OC2CC3CC1C2C3,0,0,1,0,0,0,0,3
C1=NCN=C1,2,0,0,0,2,0,0,1
C1NC2CC3CC1CC(C3)C2,1,0,0,0,0,0,0,4
C1=CCOCCC1,0,0,1,0,1,0,0,1
C1CC2CCC1CC2,0,0,0,0,0,0,0,3
C1=CSCCN1,1,1,0,0,1,0,0,1
C1=CNCCCC1,1,0,0,0,1,0,0,1
C1=NCN=CO1,2,0,1,0,2,0,0,1
C1=CSCNC1,1,1,0,0,1,0,0,1
C1=CC2CC(C1)C2,0,0,0,0,1,0,0,3
C1=CC=CCC=C1,0,0,0,0,3,0,0,1
C1CNSCCN1,2,1,0,0,0,0,0,1
C1CCOCNC1,1,0,1,0,0,0,0,1
C1=COCNC1,1,0,1,0,1,0,0,1
C1=NCN=CN1,3,0,0,0,2,0,0,1
C1CC2C3CC1C2CO3,0,0,1,0,0,0,0,3
C1CSCCO1,0,1,1,0,0,0,0,1
C1CC2CNCC1C2,1,0,0,0,0,0,0,2
C1=CNSN=C1,2,1,0,0,2,0,0,1
C1=CCC=C1,0,0,0,0,2,0,0,1
C1CC2CCC1N2,1,0,0,0,0,0,0,2
C1=CC2CCC(C1)N2,1,0,0,0,1,0,0,2
N=S,1,1,0,0,1,0,0,0
C1=CNOC1,1,0,1,0,1,0,0,1
C1OC2CNC1C2,1,0,1,0,0,0,0,2
C1CC2CCCC(C1)N2,1,0,0,0,0,0,0,2
C1=CCCCC=C1,0,0,0,0,2,0,0,1
C1N=NNCN1,4,0,0,0,1,0,0,1
C1=NCCCS1,1,1,0,0,1,0,0,1
C1CC2CNCC(C1)C2,1,0,0,0,0,0,0,2
C1=CC2CCC1CC2,0,0,0,0,1,0,0,3
C1=NCOC1,1,0,1,0,1,0,0,1
C1CC2NCC1CN2,2,0,0,0,0,0,0,3
C1CC2COCC1N2,1,0,1,0,0,0,0,2
C1NC2CNC1C2,2,0,0,0,0,0,0,2
C1CC2COC(C1)O2,0,0,2,0,0,0,0,2
C1=CCCC=CC1,0,0,0,0,2,0,0,1
C1=CC2C=CC1CC2,0,0,0,0,2,0,0,3
C1=CC2CC(NCN2)O1,2,0,1,0,1,0,0,2
C1CC2CCC(C1)C2,0,0,0,0,0,0,0,2
C1CC2C3CC1C2CN3,1,0,0,0,0,0,0,3
C1=NCCN=N1,3,0,0,0,2,0,0,1
C1=CNC=CNC1,2,0,0,0,2,0,0,1
C1=CC2COCC(C1)C2,0,0,1,0,1,0,0,2
C1NCSN1,2,1,0,0,0,0,0,1
C1CCCSCC1,0,1,0,0,0,0,0,1
C1=CNCOC1,1,0,1,0,1,0,0,1
C1CC2CNCC1N2,2,0,0,0,0,0,0,2
C1=NCCCCC1,1,0,0,0,1,0,0,1
C1CC2COC(C1)C2,0,0,1,0,0,0,0,2
C1=NNSC1,2,1,0,0,1,0,0,1
C1=CC2CC1CN2,1,0,0,0,1,0,0,2
C1COCCSN1,1,1,1,0,0,0,0,1
C1CC2CCC1CN2,1,0,0,0,0,0,0,3
C1CCNCNC1,2,0,0,0,0,0,0,1
C1=CC2CCC1NN2,2,0,0,0,1,0,0,3
C1=CSNCC1,1,1,0,0,1,0,0,1
C1CSNS1,1,2,0,0,0,0,0,1
C1=NCCOCC1,1,0,1,0,1,0,0,1
C1CNCN=N1,3,0,0,0,1,0,0,1
C1=NCC=NCC1,2,0,0,0,2,0,0,1
C1NC2CC1C2,1,0,0,0,0,0,0,3
C1=NCCSC1,1,1,0,0,1,0,0,1
C1=CSNCN1,2,1,0,0,1,0,0,1
C1=CNSC=C1,1,1,0,0,2,0,0,1
C1CC2CNCC(C1)N2,2,0,0,0,0,0,0,2
C1NNCS1,2,1,0,0,0,0,0,1
C1=CCSC1,0,1,0,0,1,0,0,1
C1=CN=CSC1,1,1,0,0,2,0,0,1
C1=CNCCCN1,2,0,0,0,1,0,0,1
C1=NN=CN=N1,4,0,0,0,0,0,1,0
C1=CCCNC=C1,1,0,0,0,2,0,0,1
C1=NC2CC(C1)CN2,2,0,0,0,1,0,0,2
C1=CSCO1,0,1,1,0,1,0,0,1
C1=CSCS1,0,2,0,0,1,0,0,1
C1CSCO1,0,1,1,0,0,0,0,1
C1CCNSCC1,1,1,0,0,0,0,0,1
C1CC2COCC(C1)N2,1,0,1,0,0,0,0,2
C1NCC2CC1CN2,2,0,0,0,0,0,0,2
C1NCC2COCC1N2,2,0,1,0,0,0,0,2
C1CNNCN1,3,0,0,0,0,0,0,1
C1=NCNS1,2,1,0,0,1,0,0,1
C1=CC2C3NSC2C13,1,1,0,0,1,0,0,5
C1=CC1,0,0,0,0,1,0,0,1
C1=CCC2CCC(C1)N2,1,0,0,0,1,0,0,2
C1CCOCOC1,0,0,2,0,0,0,0,1
C1=NCN=CC1,2,0,0,0,2,0,0,1
C1=CC2CCNC(C1)C2,1,0,0,0,1,0,0,2
C1=CSN=CN1,2,1,0,0,2,0,0,1
C1CSNSC1,1,2,0,0,0,0,0,1
C1=CSNC=N1,2,1,0,0,2,0,0,1
C1=CSCCNC1,1,1,0,0,1,0,0,1
C1NCON1,2,0,1,0,0,0,0,1
C1=CCCOCC1,0,0,1,0,1,0,0,1
C1CSN1,1,1,0,0,0,0,0,1
C1=NSNCN1,3,1,0,0,1,0,0,1
C1=CN=NN=C1,3,0,0,0,0,0,1,0
C1=CSC=CS1,0,2,0,0,2,0,0,1
C1=NC2CC(C1)CCO2,1,0,1,0,1,0,0,2
C1=CC2CCCC(C1)C2,0,0,0,0,1,0,0,2
C1CC2CCC(C1)O2,0,0,1,0,0,0,0,2
C1=CSC=NC1,1,1,0,0,2,0,0,1
C1=CC2CCCCC(CC1)C2,0,0,0,0,1,0,0,2
C1=CNC=CN1,2,0,0,0,2,0,0,1
C1=NCCCCN1,2,0,0,0,1,0,0,1
C1NCC2CNCC1O2,2,0,1,0,0,0,0,2
C1=COCCOC1,0,0,2,0,1,0,0,1
C1=CCSC=C1,0,1,0,0,2,0,0,1
C1=CSCCCN1,1,1,0,0,1,0,0,1
C1NCSCN1,2,1,0,0,0,0,0,1
C1=NCCSCC1,1,1,0,0,1,0,0,1
C1=NCC=NC1,2,0,0,0,2,0,0,1
C1=CC2CCOC(C2)N1,1,0,1,0,1,0,0,2
C1=CC2CC1NN2,2,0,0,0,1,0,0,2
C1=CC2C=CC1NN2,2,0,0,0,2,0,0,3
C1CNOC1,1,0,1,0,0,0,0,1
C1CSCS1,0,2,0,0,0,0,0,1
C1=CSCCCC1,0,1,0,0,1,0,0,1
C1=CCNC=CC1,1,0,0,0,2,0,0,1
C1=CC2CC1C2,0,0,0,0,1,0,0,3
C1=CSNCS1,1,2,0,0,1,0,0,1
C1=NCC2CCCC1C2,1,0,0,0,1,0,0,2
C1=CN=CCNC1,2,0,0,0,2,0,0,1
C1=CC=CNC=C1,1,0,0,0,3,0,0,1
C1=NSN=CO1,2,1,1,0,2,0,0,1
C1OC2COC1C2,0,0,2,0,0,0,0,2
N1C2NC3NC4NC3NC2NC14,6,0,0,0,0,0,0,5
C1CC2C3CC1CC23,0,0,0,0,0,0,0,4
C1=NN=NS1,3,1,0,0,0,0,1,0
C1CN2CCC1CC2,1,0,0,0,0,0,0,3
C1CC2CCNC(C1)C2,1,0,0,0,0,0,0,2
C1CC2CCC1CO2,0,0,1,0,0,0,0,3
C1=COC=NC1,1,0,1,0,2,0,0,1
C1=COCC=N1,1,0,1,0,2,0,0,1
C1=NSCO1,1,1,1,0,1,0,0,1
C1CCC2CCCC(C1)N2,1,0,0,0,0,0,0,2
C1COCSC1,0,1,1,0,0,0,0,1
C1=CNCCSC1,1,1,0,0,1,0,0,1
C1=CC=C1,0,0,0,0,2,0,0,1
C1=CC2CCNC(C2)O1,1,0,1,0,1,0,0,2
C1=NCCNN1,3,0,0,0,1,0,0,1
C1CC2CCC(C2)O1,0,0,1,0,0,0,0,2
C1=CN=CN=CC1,2,0,0,0,3,0,0,1
C1CCC2CCC(C1)C2,0,0,0,0,0,0,0,2
C1CSNCS1,1,2,0,0,0,0,0,1
C1CC2CNCC(C1)NC2,2,0,0,0,0,0,0,2
C1=CC2C=CC1C2,0,0,0,0,2,0,0,2
C1=CC2CCCC1O2,0,0,1,0,1,0,0,2
C1=NCOCC1,1,0,1,0,1,0,0,1
C1=CC2CCNC(CC1)C2,1,0,0,0,1,0,0,2
C1=CSCCCS1,0,2,0,0,1,0,0,1
C1=NCSC1,1,1,0,0,1,0,0,1
C1=NCCN=CC1,2,0,0,0,2,0,0,1
C1C2CC3CC1OC(O2)O3,0,0,3,0,0,0,0,4
C1C2CC3OC1CC3O2,0,0,2,0,0,0,0,4
C1=CC2CC(C1)CN2,1,0,0,0,1,0,0,2
C1CCC2C3CCC2C(C1)C3,0,0,0,0,0,0,0,3
C1CC2CNC(C2)O1,1,0,1,0,0,0,0,2
OCl,0,0,1,1,0,0,0,0
C1CC2CNC(C2)N1,2,0,0,0,0,0,0,2
C1CC2OCC3CCC(O1)C2C3,0,0,2,0,0,0,0,3
C1C[SH]=NS1,1,2,0,0,1,0,0,1
C1=CNSNC1,2,1,0,0,1,0,0,1
C=S,0,1,0,0,1,0,0,0
C1OC2C3OC4C1C1OC2C3OCC41,0,0,4,0,0,0,0,6
C1NCC2COCC1C2,1,0,1,0,0,0,0,2
C1=NSN=C1,2,1,0,0,0,0,1,0
C1COSN1,1,1,1,0,0,0,0,1
C1=CNCSC1,1,1,0,0,1,0,0,1
C1NCN2CNCC1C2,3,0,0,0,0,0,0,2
C1=CN=CCN=C1,2,0,0,0,3,0,0,1
C1=CC2C=CC1N2,1,0,0,0,2,0,0,2
C1=NSN=CC1,2,1,0,0,2,0,0,1
C1C2CC3C1OC1NCC2C13,1,0,1,0,0,0,0,4
C1=CC=COC=C1,0,0,1,0,3,0,0,1
C1CC2CC3CC1CC(C2)C3,0,0,0,0,0,0,0,4
C1=NNCCCC1,2,0,0,0,1,0,0,1
C1=CCNC=NC1,2,0,0,0,2,0,0,1
C1=CSNCCN1,2,1,0,0,1,0,0,1
C1=CC2C=CC1O2,0,0,1,0,2,0,0,2
C1=CCC=NC=C1,1,0,0,0,3,0,0,1
C1=C[NH][NH]1,2,0,0,0,0,0,1,0
C1=NCC1,1,0,0,0,1,0,0,1
C1=NSCCS1,1,2,0,0,1,0,0,1
C1CC2CNC(C1)N2,2,0,0,0,0,0,0,2
C1=CCCOC=C1,0,0,1,0,2,0,0,1
C1CC2CCNC(C2)N1,2,0,0,0,0,0,0,2
C1=C[SH]=NC=N1,2,1,0,0,3,0,0,1
C1NCN1,2,0,0,0,0,0,0,1
C1=CSC=CC1,0,1,0,0,2,0,0,1
C1CSCNCN1,2,1,0,0,0,0,0,1
C1OC2OCC1CO2,0,0,3,0,0,0,0,3
C1=NNNC1,3,0,0,0,1,0,0,1
C1=CSCC=NC1,1,1,0,0,2,0,0,1
C1=NSNC1,2,1,0,0,1,0,0,1
C1CC2CCC(N1)O2,1,0,1,0,0,0,0,2
C1=NSNCC1,2,1,0,0,1,0,0,1
C1CN2C3CC4CC(C1C3)C2C4,1,0,0,0,0,0,0,5
C1NCNSN1,3,1,0,0,0,0,0,1
C1=NNCNCC1,3,0,0,0,1,0,0,1
C1=CSCNN1,2,1,0,0,1,0,0,1
C1=CC2CCC1CN2,1,0,0,0,1,0,0,3
C1=CNCN=CC1,2,0,0,0,2,0,0,1
C1CCONC1,1,0,1,0,0,0,0,1
C1=CSC=CNC1,1,1,0,0,2,0,0,1
C1=CCC2CC(C=CN2)C1,1,0,0,0,2,0,0,2
C1=COCCN=C1,1,0,1,0,2,0,0,1
C1CC2OC3CC1CC2O3,0,0,2,0,0,0,0,3
C1C2CN3CCN(C2)CC1C3,2,0,0,0,0,0,0,4
C1NCC2CC1C2,1,0,0,0,0,0,0,3
C1=NCNNC1,3,0,0,0,1,0,0,1
C1CC2CC(C1)N2,1,0,0,0,0,0,0,3
C1=CSN=CS1,1,2,0,0,2,0,0,1
C1=NNCSCC1,2,1,0,0,1,0,0,1
C1CC2CC(O1)C1OCC2O1,0,0,3,0,0,0,0,3
C1=CCSOC1,0,1,1,0,1,0,0,1
NBr,1,0,0,1,0,0,0,0
C1COSCSO1,0,2,2,0,0,0,0,1
C1=CNCCC=N1,2,0,0,0,2,0,0,1
C1=NC=NCCC1,2,0,0,0,2,0,0,1
C1=CSC=CO1,0,1,1,0,2,0,0,1
C1CC2CCC(O1)O2,0,0,2,0,0,0,0,2
C1=CN=CCC=N1,2,0,0,0,3,0,0,1
C1=CN=N[SH]=C1,2,1,0,0,3,0,0,1
C1=NC=N[SH]=N1,3,1,0,0,3,0,0,1
C1CCSCNC1,1,1,0,0,0,0,0,1
C1CC2NCC1NN2,3,0,0,0,0,0,0,3
C1=CCN=CCC1,1,0,0,0,2,0,0,1
C1C2CC1C2,0,0,0,0,0,0,0,3
C1CC2COCC(C1)C2,0,0,1,0,0,0,0,2
C1=CCN=CC1,1,0,0,0,2,0,0,1
C1=CC2CCC(C2)N1,1,0,0,0,1,0,0,2
C1CC2CCC1NN2,2,0,0,0,0,0,0,3
C1CC2CCCC(C1)O2,0,0,1,0,0,0,0,2
C1CC2CC1NN2,2,0,0,0,0,0,0,2
C1CC2C3NNC2C1O3,2,0,1,0,0,0,0,3
C1=CNCCOC1,1,0,1,0,1,0,0,1
C1=CC2CCCC(C1)N2,1,0,0,0,1,0,0,2
C1=NOCCC1,1,0,1,0,1,0,0,1
C1=CCNNCC1,2,0,0,0,1,0,0,1
C1CN2CCC3CC1CC2C3,1,0,0,0,0,0,0,3
C1=CSN=CO1,1,1,1,0,2,0,0,1
C1CCC2CCCC(C1)C2,0,0,0,0,0,0,0,2
C1=CC2C=CC(C=C1)C2,0,0,0,0,3,0,0,2
C1CN2C3CC4CC1CC2C4O3,1,0,1,0,0,0,0,4
C1COCCSC1,0,1,1,0,0,0,0,1
C1=COCSN1,1,1,1,0,1,0,0,1
C1=NC=NSO1,2,1,1,0,2,0,0,1
C1CC2NC(CCS2)S1,1,2,0,0,0,0,0,2
C1=CC2CC(O1)C1OCC2O1,0,0,3,0,1,0,0,3
C1=CCOCOC1,0,0,2,0,1,0,0,1
C1=NC=NCCN1,3,0,0,0,2,0,0,1
C1=CSCNN=C1,2,1,0,0,2,0,0,1
C1NCS1,1,1,0,0,0,0,0,1
C1=CCC2CC(C1)C2,0,0,0,0,1,0,0,3
C1CC2CNC1CN2,2,0,0,0,0,0,0,3
C1CCN=NC1,2,0,0,0,1,0,0,1
C1=CC2CCCC1C2,0,0,0,0,1,0,0,2
C1NC2CC(CO2)O1,1,0,2,0,0,0,0,2
C1NCC2COCC1CN2,2,0,1,0,0,0,0,2
C1=CC2CCCN(C1)C2,1,0,0,0,1,0,0,2
C1=CSCCS1,0,2,0,0,1,0,0,1
C1CC2COCC(CN1)N2,2,0,1,0,0,0,0,2
OBr,0,0,1,1,0,0,0,0
C1NN=NS1,3,1,0,0,1,0,0,1
C1=CONCNN1,3,0,1,0,1,0,0,1
C1=CO1,0,0,1,0,1,0,0,1
C1=CC2COCC(C1)N2,1,0,1,0,1,0,0,2
C1CC2CCC1CNC2,1,0,0,0,0,0,0,3
C1=CNNCN=C1,3,0,0,0,2,0,0,1
C1C2CC3CC(CC1O3)N2,1,0,1,0,0,0,0,4
C1=CCOC=CC1,0,0,1,0,2,0,0,1
C1CCN2CCCC(C1)C2,1,0,0,0,0,0,0,2
C1CC2CC(N1)C1COC2O1,1,0,2,0,0,0,0,3
C1CNN1,2,0,0,0,0,0,0,1
C1=NC=NCS1,2,1,0,0,2,0,0,1
C1=CSCCN=C1,1,1,0,0,2,0,0,1
C1=CC2CCC(O1)O2,0,0,2,0,1,0,0,2
C1=NN=COC1,2,0,1,0,2,0,0,1
[NH]1[NH][NH]1,3,0,0,0,0,0,1,0
C1=CC2CCCC1CC2,0,0,0,0,1,0,0,3
C1=CNCNN=C1,3,0,0,0,2,0,0,1
C1CC2CCC3CC1NC23,1,0,0,0,0,0,0,3
C1CCC2CC(C1)C2,0,0,0,0,0,0,0,3
C1=C2CCCCC1C2,0,0,0,0,1,0,0,3
C1=CC2CCCC1NN2,2,0,0,0,1,0,0,3
C1=CC2CCC(C1)NN2,2,0,0,0,1,0,0,3
C1NCC2OCC1O2,1,0,2,0,0,0,0,2
C1NNCO1,2,0,1,0,0,0,0,1
C1=CC2C=CC(C1)CNC2,1,0,0,0,2,0,0,2
C1CC2CCC(C1)CNC2,1,0,0,0,0,0,0,2
C1=NCCCSC1,1,1,0,0,1,0,0,1
