fragment,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
CC,0,0,0,0,0,0,0,0
CN,1,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0
C=O,0,0,1,0,1,0,0,0
C1=CC=CC=C1,0,0,0,0,0,0,1,0
CO,0,0,1,0,0,0,0,0
CF,0,0,0,1,0,0,0,0
N,1,0,0,0,0,0,0,0
CS,0,1,0,0,0,0,0,0
S,0,1,0,0,0,0,0,0
O=S,0,1,1,0,1,0,0,0
C1=C[NH]N=C1,2,0,0,0,0,0,1,0
NS,1,1,0,0,0,0,0,0
C1=CC=NC=C1,1,0,0,0,0,0,1,0
C1CCNCC1,1,0,0,0,0,0,0,1
CCl,0,0,0,1,0,0,0,0
C1CCNC1,1,0,0,0,0,0,0,1
C1=CSC=C1,0,1,0,0,0,0,1,0
C1=CSC=N1,1,1,0,0,0,0,1,0
C#N,1,0,0,0,0,1,0,0
C1CNCCN1,2,0,0,0,0,0,0,1
C1CC1,0,0,0,0,0,0,0,1
C1COCCN1,1,0,1,0,0,0,0,1
C1=COC=C1,0,0,1,0,0,0,1,0
C1=CN=CN=C1,2,0,0,0,0,0,1,0
C1=CCNC=C1,1,0,0,0,2,0,0,1
C1=C[NH]C=C1,1,0,0,0,0,0,1,0
C1=CON=C1,1,0,1,0,0,0,1,0
C1=C[NH]C=N1,2,0,0,0,0,0,1,0
C1=CNCNC1,2,0,0,0,1,0,0,1
C1=NN=C[NH]1,3,0,0,0,0,0,1,0
C1=CN=CNC1,2,0,0,0,2,0,0,1
C1CCCCC1,0,0,0,0,0,0,0,1
C1CCCC1,0,0,0,0,0,0,0,1
CBr,0,0,0,1,0,0,0,0
C1=N[NH]C=N1,3,0,0,0,0,0,1,0
C1=NCCN1,2,0,0,0,1,0,0,1
C1CCOC1,0,0,1,0,0,0,0,1
C1=NOC=N1,2,0,1,0,0,0,1,0
C1=CNCC1,1,0,0,0,1,0,0,1
C1=CCNN=C1,2,0,0,0,2,0,0,1
C=C,0,0,0,0,1,0,0,0
C1=CCCC=C1,0,0,0,0,2,0,0,1
C1=CNCN=C1,2,0,0,0,2,0,0,1
C1=CCNCC1,1,0,0,0,1,0,0,1
C1CCOCC1,0,0,1,0,0,0,0,1
C1=C[NH]N=N1,3,0,0,0,0,0,1,0
C1=NN=CS1,2,1,0,0,0,0,1,0
C1=NN=N[NH]1,4,0,0,0,0,0,1,0
C1=CCCCC1,0,0,0,0,1,0,0,1
C1CCC1,0,0,0,0,0,0,0,1
C1=CNCCC1,1,0,0,0,1,0,0,1
C1CNCNC1,2,0,0,0,0,0,0,1
C1=NCCCN1,2,0,0,0,1,0,0,1
C1CNCN1,2,0,0,0,0,0,0,1
C#C,0,0,0,0,0,1,0,0
C1=NN=CO1,2,0,1,0,0,0,1,0
C1=COC=N1,1,0,1,0,0,0,1,0
C1=NNCC1,2,0,0,0,1,0,0,1
C1COCO1,0,0,2,0,0,0,0,1
C1=CN=CC=N1,2,0,0,0,0,0,1,0
C1=COCC1,0,0,1,0,1,0,0,1
C1CNCCNC1,2,0,0,0,0,0,0,1
C1=NNCN1,3,0,0,0,1,0,0,1
C1CCCNCC1,1,0,0,0,0,0,0,1
C1=CSCN1,1,1,0,0,1,0,0,1
C1=NNCCC1,2,0,0,0,1,0,0,1
C1=CCOCC1,0,0,1,0,1,0,0,1
C1COCN1,1,0,1,0,0,0,0,1
C1COCCO1,0,0,2,0,0,0,0,1
C1=NCCS1,1,1,0,0,1,0,0,1
C1=CCCN=C1,1,0,0,0,2,0,0,1
C1=CCCC1,0,0,0,0,1,0,0,1
C1CNC1,1,0,0,0,0,0,0,1
C1=CSCC1,0,1,0,0,1,0,0,1
NN,2,0,0,0,0,0,0,0
C1CNSC1,1,1,0,0,0,0,0,1
C1=CNC=CC1,1,0,0,0,2,0,0,1
C1CSCCN1,1,1,0,0,0,0,0,1
C1=COCCC1,0,0,1,0,1,0,0,1
C1=CN=NC=C1,2,0,0,0,0,0,1,0
C=N,1,0,0,0,1,0,0,0
OS,0,1,1,0,0,0,0,0
C1=NCCNC1,2,0,0,0,1,0,0,1
C1=CN=CCC1,1,0,0,0,2,0,0,1
C1=NCCO1,1,0,1,0,1,0,0,1
C1=NC=NCC1,2,0,0,0,2,0,0,1
C1CNCCOC1,1,0,1,0,0,0,0,1
C1=CSN=C1,1,1,0,0,0,0,1,0
C1=NNCS1,2,1,0,0,1,0,0,1
C1=CSN=N1,2,1,0,0,0,0,1,0
C1=CNCN1,2,0,0,0,1,0,0,1
C1CC2CCC1C2,0,0,0,0,0,0,0,2
C1CSCN1,1,1,0,0,0,0,0,1
C1=NC=NC=N1,3,0,0,0,0,0,1,0
C1=CNNC1,2,0,0,0,1,0,0,1
C1=N[NH]N=N1,4,0,0,0,0,0,1,0
