frag_id,fragment,count
0,CC,980604670
1,C,737428396
2,CN,582334337
3,CO,329398461
4,C1=CC=CC=C1,250609226
5,C=O,170917657
6,N,57092813
7,CF,57000325
8,CS,42960133
9,S,40404726
10,C1CCNC1,33594654
11,C1CCCCC1,33530438
12,C=C,30363850
13,C1CCNCC1,29850289
14,O=S,28509869
15,C1CCOCC1,24873718
16,CCl,23247331
17,NS,21170638
18,C[SiH3],17751126
19,[SiH4],14511226
20,C1=CCCCC1,14365480
21,C1=CCCC=C1,14132201
22,C1=CC=NC=C1,13228633
23,OP,11670931
24,C=N,10070667
25,P,9706709
26,C1CCCC1,9561182
27,O[SiH3],9534121
28,C1CCOC1,8333490
29,[NH4+],7284677
30,C1=C[NH]C=N1,7279098
31,C[NH3+],7278455
32,C1=C[NH]N=C1,6954262
33,C1CNCCN1,6568748
34,CBr,6377753
35,C1=C[NH]C=C1,6204954
36,C1CC1,6118482
37,C1=CSC=C1,5819619
38,C1=CN=CN=C1,5787216
39,C1=CNCC1,5759597
40,NN,5343750
41,C1=CCCC1,4328884
42,C1CSCN1,4205586
43,OS,3945185
44,C1=CSC=N1,3918049
45,C1=CN=CNC1,3814818
46,C1=CCC=CC1,3773729
47,CP,3756479
48,C#N,3750921
49,[NH3+][O-],3719098
50,[NH2+]=O,3569855
51,C1=CCNC1,3487254
52,C1=CNCNC1,3284813
53,NO,3201647
54,C1COCCN1,2884095
55,C1=CCNC=C1,2776628
56,C1CNCN1,2702076
57,C1CNC1,2695157
58,C#C,2670443
59,C1=CCNCC1,2587891
60,C1=COC=C1,2573120
61,O=P,2366891
62,C1=CCC=C1,2157194
63,C1=NCCN1,2012092
64,C1=COCCC1,1948202
65,C1CCCCCCOCCCCCC1,1885206
66,C1=CNCCC1,1725999
67,N=N,1722449
68,C1=CCCNCCNCCCCCCC1,1694516
69,CI,1662398
70,C1CCC1,1661110
71,C1CNCNC1,1589104
72,C1=CNC=CC1,1564736
73,C1=C2CCCCCC(CC1)C2,1545719
74,C=S,1513616
75,C1=NN=C[NH]1,1444551
76,C1COCN1,1305705
77,C1=NC=NC=N1,1243309
78,C1COCO1,1189690
79,C1=COCC1,1179218
80,NP,1154547
81,C1=CCCN=C1,1115772
82,C1COCOC1,1100833
83,C1=CNCN=C1,1099021
84,C1=NNCC1,1003334
85,C1=CCOC=C1,964370
86,C1=NCCCN1,957844
87,C1=C[NH]N=N1,927106
88,C1=CON=C1,922595
89,C1=CN=CC=N1,907658
90,C1=CCOCC1,837670
91,BC,835872
92,C1=CNCSC1,831132
93,C1=N[NH]C=N1,811068
94,C1CC2CCC1O2,801967
95,C1=COC=CC1,786031
96,C1=COC=N1,775107
97,C1=CSCN1,768759
98,C1CCCCNCCCCOCCCC1,757829
99,C1=CSCC1,719017
100,C1=COCO1,718098
101,C1CO1,686513
102,C1CNCCNC1,682799
103,B,676209
104,C1CC2CCC1C2,654616
105,C1CCSC1,604069
106,C1CCCNCC1,591882
107,OO,576413
108,[SiH3][SiH3],547048
109,C1=CNNC1,536162
110,C1=CCNN=C1,515183
111,C1=NOC=N1,513662
