frag_id,fragment,count
445,415,13500
446,536,13463
447,499,13405
448,480,13395
449,514,13362
450,474,13321
451,434,13221
452,510,12740
453,530,12738
454,520,12661
455,374,12661
456,579,12632
457,577,12629
458,546,12555
459,483,12544
460,500,12529
461,537,12509
462,467,12479
463,479,12384
464,583,12340
465,521,12329
466,541,12284
467,534,12209
468,431,12025
469,559,12003
470,568,11914
471,522,11869
472,542,11806
473,504,11804
474,589,11758
475,555,11666
476,503,11630
477,463,11571
478,517,11386
479,515,11212
480,423,11177
481,572,11125
482,578,11125
483,449,11041
484,610,10994
485,566,10978
486,574,10975
487,620,10951
488,580,10949
489,553,10779
490,554,10773
491,563,10607
492,552,10601
493,547,10553
494,558,10529
495,508,10480
496,612,10467
497,469,10403
498,618,10382
499,642,10350
500,614,10340
501,560,10315
502,557,10280
503,543,10279
504,544,10249
505,590,10231
506,636,10168
507,532,10156
508,631,10145
509,397,10108
510,511,10092
511,621,10055
512,593,10043
513,608,10038
514,598,9961
515,629,9951
516,672,9946
517,628,9939
518,404,9913
519,549,9858
520,656,9827
521,450,9774
522,640,9752
523,571,9737
524,535,9701
525,648,9582
526,545,9568
527,438,9530
528,573,9506
529,533,9501
530,662,9428
531,565,9416
532,569,9356
533,531,9321
534,581,9300
535,606,9231
536,567,9228
537,430,9217
538,677,9211
539,575,9163
540,419,9117
541,505,9038
542,599,8908
543,711,8850
544,673,8836
545,698,8832
546,665,8828
547,551,8818
548,604,8792
549,674,8742
550,703,8717
551,693,8710
552,710,8627
553,600,8572
554,562,8567
555,637,8559
556,453,8540
557,676,8419
558,638,8413
559,625,8392
560,722,8375
561,550,8331
562,601,8237
563,658,8214
564,605,8125
565,670,8114
566,694,8031
567,721,8000
568,727,7984
569,675,7966
570,661,7923
571,657,7904
572,654,7903
573,692,7883
574,615,7830
575,570,7815
576,712,7783
577,729,7753
578,646,7695
579,701,7567
580,639,7532
581,687,7429
582,715,7398
583,746,7396
584,758,7391
585,539,7338
586,682,7316
587,556,7181
588,679,7181
589,719,7170
590,775,7163
591,666,7133
592,745,7096
593,529,7058
594,777,7035
595,576,7027
596,732,6998
597,633,6990
598,641,6983
599,650,6969
600,691,6951
601,726,6940
602,787,6929
603,757,6843
604,718,6778
605,756,6679
606,686,6668
607,588,6638
608,762,6636
609,649,6626
610,723,6626
611,587,6593
612,630,6567
613,695,6488
614,717,6486
615,688,6444
616,669,6417
617,823,6407
618,655,6321
619,585,6302
620,626,6293
621,664,6267
622,442,6252
623,750,6247
624,804,6246
625,591,6246
626,801,6245
627,667,6236
628,660,6191
629,459,6111
630,634,6095
631,713,6090
632,782,6042
633,728,6037
634,705,6012
635,824,5975
636,603,5943
637,760,5920
638,773,5903
639,740,5891
640,617,5880
641,820,5850
642,731,5833
643,696,5825
644,743,5769
645,663,5767
646,755,5740
647,744,5728
648,866,5698
649,714,5694
650,761,5653
651,793,5649
652,815,5630
653,792,5608
654,767,5597
655,749,5593
656,807,5562
657,798,5548
658,850,5548
659,737,5511
660,707,5506
661,680,5503
662,769,5458
663,748,5448
664,685,5444
665,854,5385
666,704,5347
667,919,5324
668,829,5293
669,683,5293
670,595,5273
671,647,5226
672,725,5217
673,808,5211
674,905,5207
675,891,5197
676,708,5134
677,930,5103
678,730,5097
679,840,5075
680,736,5051
681,803,5046
682,893,5040
683,888,5038
684,948,5029
685,772,5021
686,733,4974
