CID,inchikey,kingdom,superclass,class
89330264,QKQLZKHMVPJKLO-BDAKNGLRSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
6877371,NRHHFFFETPGONQ-MFKUBSTISA-N,Organic compounds,Organosulfur compounds,Thioethers
43961298,WGDFFAXIODMDHO-UXBLZVDNSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
67019506,MRZOTPUTLUSUSN-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
62583495,WAXHGYOIDYWUJF-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
4999333,MCOGCGVHRRJOEK-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
88083740,QIXXEMVIJCRNMR-HBMCJLEFSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
103227890,ZZSOQFZEXWCEBJ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
80995011,MBXBPBZNMVQNKC-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
80240157,AYURCUZECITEFZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
56980266,CQXWAANWRJJURX-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolide lactams
104071462,BDMHHCLBVXHKQZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
4773270,NONBIUFIQJMASZ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
14466281,WPAIYQYGYZEDNV-DZKIICNBSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
79568708,VXMYGDZKDWSWQR-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
58687774,HGBSCZDHOSSZJP-LSDHHAIUSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
49841597,KZPVVLYCASDRIZ-ZZXKWVIFSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
