CID,inchikey,kingdom,superclass,class
1779335,OGPCIPXLXIAPPB-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
71724111,APTUAMLJOVGFEM-IEUSDUHPSA-N,Organic compounds,"Lignans, neolignans and related compounds",Furanoid lignans
131754311,XCRBEBNYBMLFMB-VJULQIKGSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
87828871,HFZVJOJSLRHNBZ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organic oxides
23259345,HJFTVDIHBOUJHJ-PQQNNWGCSA-N,Organic compounds,Phenylpropanoids and polyketides,Homoisoflavonoids
59750740,NKYWRPBOFZZSNA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
88672280,QDWRSBFKIRIJIX-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
1268129,CRIGTVCBMUKRSL-GFCCVEGCSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
88860263,QXSIFUHSAPXZLQ-FPLPWBNLSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
105010913,GNNHQLWRPBMEMJ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
113351974,BEHICYMQYKCYQJ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
83881065,CYSIBPNZYLKISW-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
11972942,MCOXGLABCAGTFQ-CKPVNYEESA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
105730983,BWMZUNRZKRYBCN-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
23871161,RWSOZYUZAXSDLG-FCAKLNHLSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolactams
11720446,QQWLINWSNDHDNC-VQHVLOKHSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
107192462,MAFAIVAUZITAOG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
62604177,XBVIHNPBXSQDLW-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
59094013,NXUUVZOGBPCPDV-JTQLQIEISA-N,Organic compounds,Hydrocarbons,Saturated hydrocarbons
101596060,MBGQRXQQNDVPAT-LSCFUAHRSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides
28694313,DVWFJKZFZVXJEO-JXMROGBWSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
114898270,KEJKGYMJKOODKW-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
108801683,LICFYQCZQVDCPL-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
82508416,LTRRXHYJFDGVOR-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
80361468,LNTTVMCGQBHCIZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
90276104,BIQQENBJQDEBMJ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
9964239,HWKJLUSBYIGRJW-RMKNXTFCSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes
1752297,VVEXRDHGJASLNM-NSHDSACASA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
8289592,WVSASOABNHIHLI-FKULILBMSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
63753536,RQEYCYBFARMUMA-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
43489455,IFNKIYBKCFZZFI-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
59393400,LNCLUIMYBLXVJO-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
20459335,NUOJQLZBHSJFCM-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organic oxoanionic compounds
90996202,XPOQIBRCYLOSGA-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
24634224,ADUSEMNFWQVHFZ-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
102095521,YLYFFVOTUBCWGG-UHFFFAOYSA-N,Organic compounds,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds"
83874899,MEUCGXQBRVBJNR-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
5378964,RYMFSBNAQLMVNR-QHTRCIJJSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
6874001,FAXIYLACJWWLRJ-DHRITJCHSA-N,Organic compounds,Organosulfur compounds,Thioethers
91129646,MUUFHZVMCOJSHP-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons
104005372,YNRNIXZTRVASJD-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
57718316,CTADLTURLLAQEQ-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
66442944,HCYWLLLIVMVFTL-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
24340208,KZKUSYSGZLCUFQ-UDWIEESQSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
88554414,CKICHLAYLQITCU-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
41530472,LGCVWDGCTPJOGP-MRXNPFEDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
78906823,ZZKKECUPGRYNPK-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
101609169,YZEOWPUZOSVOOF-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
59196361,ILAWRRJKBXSFDT-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
89250665,RSHSASHENJKHEN-DVJPPJIBSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
3676304,YUQNKDFEJKLCAN-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
55280950,WTNPLMHZUSUJKD-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
12115506,UDRIQGSWGKANMW-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
42750850,LYGNHEUOWSMCDN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
111298949,VEBXLLCLXXJZEB-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
76982572,YSJOIIFVNUMVBV-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
101645814,IXZMCVAKZGXBCD-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
1663298,URYKHAPTYDACTP-JLHYYAGUSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
71964213,YASKTEISDAHBCW-AUUYWEPGSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
11228460,ZBZAOONPRSLEBZ-NCSXDKKMSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
3216582,YWNHILYZPJHRDO-UHFFFAOYSA-N,Organic compounds,Alkaloids and derivatives,Amaryllidaceae alkaloids
112246517,CVWQUJPHVMZWFP-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
64665650,XJFJEHZDUNMCCJ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
59236289,FSTYZHLWKQCFRL-WCWDXBQESA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
131759077,JTGGFJVUCLWARC-MAUAATJSSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
70157467,HGLTYAIMDHDVPY-RXBISOJRSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
1768451,WFWJVGVEGTZWKB-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
131776210,AYJZGMYFFIZEGI-AKAJXFOGSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
83158409,SECAVQAEAPBUCB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
44474911,LCWYQVYLIFSFII-ASRQBLJMSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids
4086931,YOPAAROMQOSAFT-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
19565444,DZRBBDTWSKKZMQ-SNAWJCMRSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
131763458,OGIYWYULRPCZFI-YJCODJOESA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
764066,TZWRVMIUHWOXLN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
81765818,XUBCZHLKTSYWBQ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
62679575,JXEIUUSCKAPEFZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
20362874,KTKIYUIZDAJHEM-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
23865017,JUYIBEPJKZUDCO-UJHHLSQVSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
88944482,KJOSIWFJQYZZFX-APPZFPTMSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
77053167,IELHKGXRXILQKC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
91424773,ZENSHIWMADLROX-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
56114552,ZQVKWFIPCRTAFQ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
88326756,STNXXBBASXMJNT-YJMBLLCNSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
88869830,OFEBBAHXKPBLHZ-AMHPXMRWSA-N,Organic compounds,Organosulfur compounds,Thiols
56940283,KUBPNGBHPOVPIW-WAXXGJEMSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
101535701,SJWUGKDDADDDHD-YPAXQUSRSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
11972807,NTNHLHWWPTXCOZ-PJQNIJBESA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
114905110,AFJYCDXMUJLZIU-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
50989406,PPQLGRBFICLBCJ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
20724206,RGQIQVSLVJXTJM-VAWYXSNFSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
79198241,ODTKJKGLLMFYFI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
70184485,JDQSHSMFHDXQAX-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
23385008,QGNGTQAUKMFIJM-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons
3683225,KQHJHLIBGFSYTM-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
81576126,XHIKHQBFGBTEMI-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
76906693,FKZSTGAUIKCBJW-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
87840456,ZAUPYNRCFZQULG-IZDJXGPRSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
57286149,FXIRZIIKDAXILL-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
113051829,MWXSBQSCIGJBJF-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
58433950,RQWLFVIJBJGLBG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
106719969,ROUXNKNPRYTTRA-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
498969,MDTFJBTZEDLLSY-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
136229363,NEXZODCHFCSMCG-BQCUPPFASA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides
90829591,RXKSMNIRJWTFNC-WFQCDZAOSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolactams
79226856,MRGFTSSCQDSABB-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
20592368,JCOUODAXRVDSLZ-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfonyls
131760805,KROYLWGNODPGNR-PAICDZCOSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
80483195,JFJVGMUGQGCLFK-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
59899453,WBRMYRJSYBIYSC-WXOBWUEKSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
58025674,ZESTVOAJQZEOEN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
134812548,PHLYNRSKAQOEAG-KKSORDCISA-N,Organic compounds,Lipids and lipid-like molecules,Sphingolipids
131821840,TVGQJPPMQLXPBQ-VQJSHJPSSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids
114754211,WUGNEYDOWQNMRB-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
101019894,ISQATXARHTZQRN-MDZLAQPJSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
67157186,VJIHHLHNVITFTI-HFKVRBACSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
63865362,UGSDQKXNAQLXMU-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
5290804,ADUOFDGSGGOHAP-IMRQLAEWSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
66942775,KEINPQVXLBMARR-AWYJXPRZSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
101705601,SCROVPCSUQKNCI-BJMVGYQFSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
20282850,PUGMGMWMVPCCIX-NLINBEMNSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
71373910,YQMPCQQZOUDFLI-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons
4100411,WSYVZSLULFHCNS-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
10346522,RDPFKLUZEGMZLB-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
25047402,BNIVOASGALANLY-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
22232210,ZOPBPJYYUIJQHL-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
4421287,TXEMFCVFFIBQEL-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
52922857,WAZYDHAWJWFGBD-LMJTUUMUSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids
7259477,UQDKKHAIIQMWKU-MRVPVSSYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
19824504,WQWBGZWRKLDFMD-CWVPRGGHSA-N,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
66632787,XBARIGMMFLVMOB-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
57552786,RURDFMHPZJBNLG-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
56594233,DKIKMZJXGNQTBN-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids
66909364,SQXIZYXAEGYWJN-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
101553084,ODAKGWIQJRIOOZ-OJOKCITNSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
23051639,MUPSFYSSXZHELV-SAPNQHFASA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
21636105,ANQGAHXFJKEEEO-JCWBBJIHSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
90048441,WVIBHJZPOXFVME-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
57048525,ACFZKAUVKIPONW-JRUOEGMQSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
59458481,RIHJMNMANFRUNI-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
3950747,YKFNPNOWORUGET-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Aurone flavonoids
43364760,NBMAWCWGTGSVHD-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
79030898,IVCRBRCAQAWRBK-JTQLQIEISA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
69553303,LDEXNUSADCFXFD-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
24815699,IWWFHYZBANPJHE-ADVKKCPESA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolide lactams
101601961,UJEABYDQCPYURA-PHEOWGCPSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
46664373,FPXVZBOSQFWARQ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
20497693,HCIQVHYVJXUCPJ-UHFFFAOYSA-N,Organic compounds,Organohalogen compounds,Acyl halides
58920118,RZIFUQMJAPLCME-WDYNHAJCSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
69959317,WYCAANSPHWGVBK-PKOFMYQESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
89386067,IMQIUWMYCXMALO-OLZBNPEYSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
58671390,QFFSCVHZHQDAOA-GRSHGNNSSA-N,Organic compounds,Organosulfur compounds,Thioacetals
44587000,UMKDQHBGTUYJCV-SOMXGXJRSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
62685768,GLPVAAAGPIYZCM-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
42982186,WWUCIZWZDZSYHW-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
44620011,NLANJPUWNARIQK-OJQFFXEZSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolactams
43787787,FCCPXWZSGKKWFE-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
83897095,MKFVWEFRSOMEQH-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
22232147,WPALIMXHYHYAGK-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
102120511,AROURRYSXPKSSD-QEKCEXMMSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
78844438,TYYWKUWNCPPKSK-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
113607105,PCGACYZIAUXCAP-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
101169468,JTXUERZNXDRTOM-PJTVEQCESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
55496338,XPKZVELGZMGYHP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
56131785,HLMYODMKAWBUFL-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
10996596,LQUJLUFIFAQYKJ-PJSPZEJQSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
12001555,GEACGENBXYYXNC-UHFFFAOYSA-N,Organic compounds,Alkaloids and derivatives,Amaryllidaceae alkaloids
12314306,XKIPTGWYGWHPNE-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
79786213,IGQLGFYMYQKBKO-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
13757435,VLVKWZIZLMSYQC-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
89066733,JCHPGUAEQKPDFU-JEIPZWNWSA-N,Organic compounds,"Lignans, neolignans and related compounds",Aryltetralin lignans
63477057,QWKBPWIUEYEHOK-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
102074297,UFRJXACATIDWCS-WEZIJMHWSA-N,Organic compounds,"Lignans, neolignans and related compounds",Aryltetralin lignans
94190413,IEUVJJGBKMXGRU-LLVKDONJSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
70696828,GCSKYVKQZBKNBO-KSHCIEJHSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
67291612,DHDWRXHTCLLPJC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
46890125,CLQDMZWNPYIYRH-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
71501850,HEROFCGPHWVGOE-UHFFFAOYSA-N,Organic compounds,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds"
17455278,WZDKWWUEDIGIIP-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
55027198,YPEYASVZCRCPSW-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
91495846,FFGLFZKVUXDWLP-NSIUDQDVSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
15014731,YGTAJUXRZJNKMP-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
8232134,AQETZWJFJMZWHC-GOSISDBHSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
11008497,BKDVOVVJBOIQAN-QNDJDPKUSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
89762049,OQSFJJGNSUAFNE-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
59992972,WGPGQNSJYQWGIS-VAJHONFMSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
101389940,QOQGNDJHJYZYKO-BQYQJAHWSA-N,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
113837854,HZEINLOAQJZBLL-UHFFFAOYSA-N,Organic compounds,Organohalogen compounds,Aryl halides
101495623,UBCBIXGPISMSQH-CZNDPXEESA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
66555532,YUCDSTQBPPOXSQ-BGOOENEXSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
90022760,YCDHECQXEBMDNJ-HSPICKGMSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
4211088,CHMYFUXPZVFRQX-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
104168634,PHXBWKOQEBDWMH-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
91479229,AAGXSAHKSUFMPN-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Polycyclic hydrocarbons
64746276,SDROMZPUVWIMBZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
12896377,WEHDGGFHGDJHBF-XQRVVYSFSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
14849068,NFFYFAXXWCNSJN-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfenyl compounds
90193821,SGYHZLARXPHZDO-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
91329716,PHUZMVMANAPBMY-WBCKFURZSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
108423026,MROBYXRXFZUTMV-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
49916910,CKUJRUQETZTXRW-WGARJPEWSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
56598486,WKLJRXXRLZZDFQ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
131760393,VFDSPTRIQXDNNU-UOHWBMRBSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
105978190,GJEMXWVEMUBLCX-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
45783013,KQDDLARLWRUMRR-WUVZNSMSSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids
101972919,IIWWCMBIEHOQGR-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
58660347,LYEJWMJFBSCUBS-CQTCXNEFSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
137323880,KPECYQIHLLHGNH-JITVRKTASA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
87198269,UCYPFXSXIKDSMM-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
19880507,SFQJGGXQIVLKFP-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons
103390690,MDJFIXGIQCBHJE-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
397913,LVFOCONPPZIORE-UHFFFAOYSA-N,Organic compounds,Organic Polymers,Polypeptides
10369814,GFPNVQLYCSOJTG-OPAMFIHVSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
43745472,XMHFVCVOTZESBQ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
102171195,QTRXRKITQVKKDZ-LDHFCIDVSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
112710001,BOQPZOUGOGSCRB-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
95906810,LDXLXWLEUWPCGQ-LLQFBVCYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
19078578,UDPLDVINZLCKMC-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
131837919,PONQFYHRCMEAKC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Tannins
89841669,PZAKRKZPBOPTRF-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
2728812,ZCRCAFUIASCNSY-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
4530475,YLSWPOPLGOAJLR-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
76859274,JIJSOBHVAPDQRR-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
56937548,AFXBJKRJFKOCSM-DDMCWNIKSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
102253121,IQGHETCFWQRXBK-OAMIKYJCSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
131755533,UZJFJKLCXWYRPN-KQWNDZRGSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
101597153,RATDDCRPLLDPHV-JXLJOUNSSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues
