fragment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
C1=CSC=C1,-1.0475069,-1.3155993,-1.7273678,-1.7059541,-1.2006046,1.2984338,-1.3816127,-1.7384139,2.243367,-1.4120427,2.0836112,-0.82207096,-0.8687023,-0.60547745,-1.2230833,-1.5357976,-1.5692878,-0.06697877,0.7610119,-1.6428615,0.8987719,-0.15130149,3.165469,2.0223682,-1.0157397,-1.285436,-1.7475214,3.1133482,-0.2777868,-1.1904892
C1=CSC=N1,0.442432,-1.5046039,-1.6755071,-1.6161988,-1.1909149,2.4847372,-0.8218612,-1.7274181,1.9478085,-1.5835627,2.2414906,-0.30498046,-1.025718,-1.4181806,-0.9340353,-0.63050413,-1.3907838,-0.9790162,1.1897799,-1.0277289,0.45415214,-0.043320972,3.7210948,1.5809302,0.034057967,-1.1378121,-1.7441756,2.085965,-1.0887496,-1.4346895
C#N,1.5160158,-1.3561047,0.3764113,-1.6651303,0.5987345,0.4864488,-0.5091657,-1.5819548,-0.9501182,-1.7337636,3.4976363,1.3046055,-1.544589,-1.5131062,-1.2776979,-1.6760399,-0.98926723,0.84607154,4.887365,2.5497265,1.1829957,-1.3983266,2.63206,1.5120622,-0.9917244,-1.1778245,0.9780873,-0.1775734,-0.3625354,3.4833083
C1CNCCN1,2.1714754,-1.386647,0.13375278,0.6561149,0.56886566,-1.072417,-1.2096953,-1.4733146,0.5156069,-1.6763948,-1.0991602,1.7637445,-1.6324203,-1.5566908,1.1504152,-1.700369,0.273041,-1.5355657,3.0439901,-1.6295052,0.17912798,0.11337079,0.740839,2.7758737,-0.4029746,4.79822,-0.14544745,0.7985928,-1.4441949,-1.4125795
C1CC1,0.5729958,-0.7308378,0.33526704,-1.1917467,0.039567877,0.05413725,-1.6046172,-1.5167514,0.5812787,-1.6955241,0.6913006,1.1408502,-1.6139605,-0.7062326,-1.5618092,-1.7146266,-0.8413261,-0.05351681,2.3957338,-1.694045,0.928181,0.17122488,-0.65876055,2.428054,-1.3183253,4.7711487,0.72551584,0.6528343,-0.79214585,-1.2399884
C1COCCN1,1.7758114,1.5925982,0.4889324,0.0057859207,0.8043053,-0.6228944,-0.24542591,-1.5900865,0.38999575,-1.7404099,-0.4698071,3.6908672,-1.5325822,-1.5559996,-1.1364266,-1.648543,0.5195447,-1.5154444,2.5231376,-1.4168218,0.032298014,-0.93346477,-0.9136279,1.7992177,-1.6896416,3.8142319,1.514294,-0.87375885,0.047526706,-1.3833247
C1=COC=C1,-0.8724552,2.0823293,-1.7184302,-1.6867331,-0.20720208,-0.5474385,-1.1621428,-1.7116072,-1.1337029,-1.6253687,1.52603,-1.0552012,-1.1218493,-0.86845905,-1.345303,-1.384255,-0.78393435,-0.7877954,1.2228597,-1.582576,0.6198523,-0.6560181,1.3036835,1.6884612,-1.7154453,-0.8698705,0.26590258,0.2860633,1.4044932,-1.3456736
C1=CN=CN=C1,0.1980332,-1.6262279,-1.1679581,-1.3475529,-0.731106,0.9787141,1.1199281,-1.309483,-1.3504072,-1.7455153,2.6741505,-0.2740338,-1.2647966,-1.1622807,-1.3454357,1.2840948,1.9430655,-0.038210843,2.4517968,1.288353,0.017137144,0.015890427,0.82482797,0.415336,2.508798,-0.4627398,0.6743314,0.21051198,-1.2741989,-1.5653476
C1=CCNC=C1,0.25570908,-0.87217337,-1.7232641,-1.5702461,0.1060326,-1.0136597,-0.55044943,-1.5320276,-0.7113924,-1.5984024,2.7357225,-1.0289819,-0.96627885,-0.5060535,0.80385303,-0.7221623,-1.3745095,-0.4706339,2.1279643,-1.6637205,0.65627307,0.5561396,2.8832476,1.9752461,0.723813,-0.78914434,-0.7317818,0.15303326,-1.6496514,-1.6008171
C1=C[NH]C=C1,-0.8462308,-1.1751951,-1.6434959,-1.6990298,-0.37337968,-1.2946607,-1.0509166,-1.052575,-0.9114947,-1.7081275,3.8025415,1.0350446,-1.2066772,-1.0017618,-1.5338695,-0.61865586,-1.5636462,-0.9774448,1.8270783,-1.2990963,0.834603,0.21768974,1.7767017,2.1839616,-1.1111665,-0.541883,1.7222152,1.7029772,-1.3104268,-1.5203538
