fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1CCCCC1,32,184198,0,0,0,0,0,0,0,1,00000001,18,1
C1CCCC1,33,165538,0,0,0,0,0,0,0,1,00000001,18,1
CBr,34,164472,0,0,0,1,0,0,0,0,00010000,3,6
C1=N[NH]C=N1,35,163730,3,0,0,0,0,0,1,0,10000010,21,24
C1=NCCN1,36,150261,2,0,0,0,1,0,0,1,10001001,123,27
C1CCOC1,37,140287,0,0,1,0,0,0,0,1,00100001,29,8
C1=NOC=N1,38,136116,2,0,1,0,0,0,1,0,10100010,6,31
C1=CNCC1,39,115763,1,0,0,0,1,0,0,1,10001001,123,27
C1=CCNN=C1,40,112260,2,0,0,0,2,0,0,1,10001001,123,27
C=C,41,100359,0,0,0,0,1,0,0,0,00001000,1,4
C1=CCCC=C1,42,98264,0,0,0,0,2,0,0,1,00001001,28,5
C1=CNCN=C1,43,94266,2,0,0,0,2,0,0,1,10001001,123,27
C1=CCNCC1,44,91016,1,0,0,0,1,0,0,1,10001001,123,27
C1CCOCC1,45,84532,0,0,1,0,0,0,0,1,00100001,29,8
C1=C[NH]N=N1,46,76643,3,0,0,0,0,0,1,0,10000010,21,24
C1=NN=CS1,47,66270,2,1,0,0,0,0,1,0,11000010,7,35
C1=NN=N[NH]1,48,66012,4,0,0,0,0,0,1,0,10000010,21,24
C1=CCCCC1,49,65964,0,0,0,0,1,0,0,1,00001001,28,5
C1CCC1,50,63321,0,0,0,0,0,0,0,1,00000001,18,1
C1=CNCCC1,51,62604,1,0,0,0,1,0,0,1,10001001,123,27
C1CNCNC1,52,62369,2,0,0,0,0,0,0,1,10000001,63,23
C1=NCCCN1,53,60306,2,0,0,0,1,0,0,1,10001001,123,27
C1CNCN1,54,58233,2,0,0,0,0,0,0,1,10000001,63,23
C#C,55,57008,0,0,0,0,0,1,0,0,00000100,1,3
C1=NN=CO1,56,56334,2,0,1,0,0,0,1,0,10100010,6,31
C1=COC=N1,57,55048,1,0,1,0,0,0,1,0,10100010,6,31
