fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1CN2CCC1CC2,341,22,1,0,0,0,0,0,0,3,10000001,63,23
C1CC2CCNC(C1)C2,342,21,1,0,0,0,0,0,0,2,10000001,63,23
C1CC2CCC1CO2,343,20,0,0,1,0,0,0,0,3,00100001,29,8
C1=NSCO1,344,19,1,1,1,0,1,0,0,1,11101001,5,39
C1CCC2CCCC(C1)N2,345,19,1,0,0,0,0,0,0,2,10000001,63,23
C1=COCC=N1,346,19,1,0,1,0,2,0,0,1,10101001,33,32
C1=COC=NC1,347,19,1,0,1,0,2,0,0,1,10101001,33,32
C1=CNCCSC1,348,18,1,1,0,0,1,0,0,1,11001001,59,37
C1=CC2CCNC(C2)O1,349,18,1,0,1,0,1,0,0,2,10101001,33,32
C1COCSC1,350,18,0,1,1,0,0,0,0,1,01100001,7,19
C1=NCCNN1,351,18,3,0,0,0,1,0,0,1,10001001,123,27
