fragment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
CC,0.10236573219299316,0.23677843809127808,-0.21241846680641174,0.09784907102584839,0.35394856333732605,0.06613574922084808,0.2515203654766083,0.1417674869298935,-0.13516828417778015,0.23012739419937134,-0.0795813649892807,-0.25271499156951904,-0.17952726781368256,0.21304401755332947,0.6151862144470215,0.08838125318288803,0.3427136540412903,-0.6418733596801758,-0.03328486531972885,-0.08120524138212204,0.1455153226852417,0.10305917263031006,0.0035979351960122585,0.08442243933677673,-0.48910653591156006,0.12145732343196869,0.4148024022579193,0.22880485653877258,-0.305376261472702,-0.49908313155174255,0.8774697184562683,0.27880409359931946,-0.20152321457862854,0.047721248120069504,0.07085077464580536,0.0456998348236084,0.2394600361585617,0.035853512585163116,0.1405111402273178,-0.04527488350868225,0.16384270787239075,-0.05778995901346207,0.7170273661613464,0.5787676572799683,0.0816970020532608,0.03862833231687546,0.052324824035167694,-0.10348492115736008,-0.16765937209129333,-0.3484595715999603,-0.03465103358030319,-0.2857605814933777,-0.061045512557029724,-0.0005042950506322086,-0.5309110283851624,0.2985475957393646,0.1751893013715744,-0.026049528270959854,0.06631790101528168,-0.4995546340942383,-0.18032363057136536,-0.2717524766921997,0.12944424152374268,-0.09586755931377411,0.5473024845123291,-0.057271625846624374,0.3792927861213684,-0.20296025276184082,0.012817591428756714,-0.2254028022289276,-0.09457500278949738,-0.15930303931236267,0.08708691596984863,-0.00752568244934082,0.2528599500656128,0.17256659269332886,-0.006495118141174316,0.28290805220603943,-0.14691802859306335,0.13477233052253723,-0.3155248463153839,-0.03454836830496788,-0.14394739270210266,0.5163928866386414,-0.11690106987953186,-0.5575875043869019,-0.29906100034713745,0.06940632313489914,-0.25958600640296936,0.18470506370067596,0.7077906131744385,-0.0006941258907318115,-0.05599721521139145,0.3992398679256439,-0.14945518970489502,0.41748619079589844,0.3695994019508362,-0.18946367502212524,-0.13322067260742188,0.05911007151007652
CN,0.13585029542446136,0.2261645644903183,-0.4349239766597748,0.3031193017959595,-0.014222979545593262,0.13224172592163086,0.3683851957321167,0.06819795072078705,-0.05937068164348602,0.2875101566314697,-0.06333144009113312,-0.13543468713760376,-0.02483178675174713,0.48823797702789307,0.7300397753715515,0.05862623453140259,0.5170594453811646,-0.3490017056465149,0.2671254277229309,-0.11775472015142441,0.37105488777160645,-0.09904800355434418,0.12364157289266586,-0.10345107316970825,-0.7663273215293884,-0.18134860694408417,0.3289286494255066,0.22585710883140564,-0.36959367990493774,-0.47758930921554565,0.1681777834892273,0.28808146715164185,-0.34537845849990845,0.01112058013677597,0.009782195091247559,-0.12927064299583435,0.21501970291137695,-0.14055004715919495,0.15542654693126678,-0.22801701724529266,-0.06191418692469597,0.03081996738910675,0.6090396642684937,0.36797428131103516,0.03116639517247677,0.18082576990127563,0.09635339677333832,-0.17661979794502258,0.1471049189567566,-0.12988601624965668,-0.29171431064605713,-0.08256715536117554,0.19660550355911255,-0.11637924611568451,-0.41949981451034546,0.47102388739585876,-0.10326223075389862,0.2058965414762497,0.3105643391609192,-0.11214756965637207,-0.2098507583141327,0.03794662281870842,-0.10469754040241241,-0.23135781288146973,0.4296466112136841,-0.009435336105525494,0.30711793899536133,0.0925413966178894,0.42906638979911804,-0.39858946204185486,-0.18305978178977966,0.009035846218466759,0.38970744609832764,0.42142003774642944,0.25953686237335205,-0.009646078571677208,0.3583570718765259,0.5817104578018188,-0.1390800029039383,0.3325659930706024,-0.11163133382797241,-0.1393999457359314,0.06680967658758163,0.12486444413661957,-0.12437738478183746,-0.1046663373708725,-0.1798478066921234,-0.009456595405936241,-0.025765221565961838,-0.09498360008001328,0.6172885894775391,-0.11380988359451294,0.0438985675573349,0.38536685705184937,0.09385933727025986,0.15643545985221863,0.3811146914958954,-0.14298121631145477,0.027193984016776085,-0.06320430338382721
C,0.17188042402267456,0.4916435182094574,-0.04973432421684265,0.32191744446754456,0.16542401909828186,0.33438625931739807,0.26099884510040283,-0.05212482810020447,0.4008410573005676,0.3255535662174225,0.4771958589553833,0.011932820081710815,0.38178518414497375,-0.07480937242507935,0.5089558362960815,0.2559606432914734,-0.010353684425354004,-0.24526917934417725,0.13008445501327515,-0.013552188873291016,0.3696475327014923,0.1839914619922638,-0.2644139528274536,0.24532310664653778,-0.4239135980606079,0.23623642325401306,0.37520572543144226,-0.1454688459634781,-0.5752899646759033,-0.5035036206245422,0.5930397510528564,0.45079103112220764,-0.2245871126651764,0.37536200881004333,0.34057241678237915,-0.27662423253059387,0.16734473407268524,0.09906978160142899,0.4587627947330475,-0.16698484122753143,0.09104834496974945,-0.10230717062950134,0.375645250082016,0.17813482880592346,0.1727551966905594,0.0635301023721695,0.34555742144584656,0.1039944440126419,-0.2338661402463913,0.0032848864793777466,-0.4335096478462219,-0.37253671884536743,-0.20519497990608215,0.20903614163398743,-0.176179438829422,0.19262297451496124,-0.1730787754058838,-0.19228796660900116,-0.1709819734096527,-0.3566376268863678,0.10313093662261963,0.049735311418771744,0.4168299734592438,0.35860785841941833,0.5464022159576416,0.1977483332157135,0.4356321096420288,-0.35001927614212036,0.17424564063549042,-0.3723723888397217,0.027463648468255997,0.19856034219264984,0.261073499917984,0.09847673773765564,0.5697705745697021,0.18053540587425232,0.3159075975418091,0.40500855445861816,-0.29567015171051025,0.25612449645996094,-0.4755055010318756,-0.04492879658937454,0.1500622183084488,0.5115306377410889,0.021629437804222107,0.32633912563323975,-0.23825180530548096,-0.19698035717010498,-0.09850332140922546,-0.1003664880990982,0.741188645362854,-0.041642606258392334,0.16113309562206268,0.34530022740364075,0.041167110204696655,0.4793100953102112,0.25198638439178467,-0.28587815165519714,0.11465886235237122,-0.3483356237411499
</s>,0.38669413328170776,-0.3031702935695648,0.43858781456947327,-0.36982250213623047,-0.05918014422059059,0.24950022995471954,0.16632893681526184,-0.05671674758195877,0.4920486509799957,-0.3278430700302124,-0.14949195086956024,-0.001483116764575243,-0.1569097638130188,-0.006733993999660015,0.2725934386253357,0.05424480885267258,0.13100197911262512,0.030518893152475357,-0.09085205942392349,-1.2400046586990356,0.7076188921928406,0.3801654875278473,0.0007897171308286488,-0.21993008255958557,0.4127151668071747,-1.473990559577942,-0.06029420718550682,0.39384666085243225,-0.40570247173309326,-0.2316267341375351,-0.14264658093452454,-0.07068417221307755,0.9060373306274414,-0.5101640224456787,0.9714659452438354,-0.3812456429004669,0.18067672848701477,-0.5916855931282043,0.27548038959503174,-0.13201572000980377,-0.6881490349769592,0.3450893461704254,0.06854777783155441,0.35776135325431824,0.31695303320884705,-0.039528898894786835,-0.6202342510223389,-0.19299562275409698,0.499172180891037,0.40059328079223633,-0.5947396755218506,-0.5125584006309509,-0.9110797643661499,1.3066215515136719,0.6012735366821289,0.03386421874165535,-0.055527351796627045,-0.8644336462020874,0.3411270081996918,0.690031111240387,-0.03592498227953911,0.3110864758491516,-0.24980796873569489,0.28618156909942627,-0.9687767624855042,-0.22375039756298065,-0.5857781171798706,0.22008393704891205,-0.08198750764131546,-0.1225055679678917,-0.18757127225399017,1.1160844564437866,-0.1310834437608719,-0.3064919710159302,-0.98247230052948,1.0127372741699219,-0.28538253903388977,-0.08181546628475189,0.10894766449928284,-0.084795743227005,0.7563914656639099,-0.18721869587898254,-0.020783158019185066,-0.3365525007247925,0.28471681475639343,0.25480788946151733,0.8477365970611572,0.27136215567588806,1.2919939756393433,0.4875510632991791,-1.13975191116333,-0.6200113296508789,-0.07797739654779434,-0.6160286664962769,-0.47354060411453247,-0.2535364329814911,-0.6485770344734192,0.576038122177124,-0.28523877263069153,1.291926383972168
C=O,-0.028826236724853516,0.6185992956161499,0.07521721720695496,0.3478691279888153,0.27089428901672363,0.03132209554314613,-0.2010977566242218,0.3891536295413971,0.09108126163482666,0.019888170063495636,-0.47089049220085144,0.09303297102451324,-0.19751229882240295,0.17899076640605927,0.4418429732322693,0.09823927283287048,0.6557419896125793,-0.7810747623443604,0.44375714659690857,0.36112940311431885,0.25116825103759766,-0.2537253201007843,0.25771814584732056,0.307295560836792,-0.38622111082077026,0.15955643355846405,0.38157904148101807,-0.04702906683087349,0.05420758202672005,-0.057679563760757446,0.46199166774749756,0.18160104751586914,-0.31048208475112915,0.3554724156856537,-0.21612708270549774,0.29071521759033203,0.10000927001237869,0.044826507568359375,0.15350905060768127,0.3165871500968933,0.2107284814119339,-0.12416556477546692,0.24126920104026794,0.6122241616249084,0.03602539002895355,-0.04141761362552643,0.2841724157333374,-0.07628574967384338,0.3657921552658081,0.04842561483383179,-0.05348101258277893,0.3842637538909912,0.4043949842453003,-0.11455698311328888,0.22732453048229218,0.04039628803730011,-0.20606358349323273,0.044551119208335876,0.5347438454627991,-0.10362021625041962,-0.7283450365066528,-0.46667933464050293,-0.04306577891111374,-0.08692900836467743,0.8546502590179443,-0.1401347517967224,0.14817452430725098,0.16845062375068665,0.3560788631439209,-0.4012349843978882,0.06705495715141296,0.18077711760997772,0.13694149255752563,0.699481725692749,0.29579299688339233,0.02923126518726349,0.5564885139465332,0.3609910011291504,-0.17938664555549622,-0.07068565487861633,-0.2983049750328064,-0.19906948506832123,-0.21576234698295593,0.5257045030593872,-0.04608902335166931,-0.32209205627441406,-0.14677119255065918,-0.1370796263217926,-0.04561338573694229,0.04476190358400345,1.0272470712661743,0.32476261258125305,-0.377694308757782,0.6013607978820801,-0.2585723400115967,0.3190459609031677,0.05462518334388733,-0.25375497341156006,-0.23535782098770142,-0.15542452037334442
C1=CC=CC=C1,0.10433916747570038,0.49310702085494995,-0.31720995903015137,0.17516332864761353,0.3037710189819336,0.1910807341337204,0.3678972125053406,-0.03285399079322815,-0.1064952164888382,0.24278435111045837,0.029757408425211906,0.14499539136886597,0.05450653284788132,0.2045804262161255,0.19648048281669617,0.4482143819332123,0.22431564331054688,-0.1067456305027008,-0.23392364382743835,0.3601621091365814,0.4335193634033203,0.29749739170074463,-0.36385130882263184,-0.41394278407096863,-0.267581582069397,0.4108351469039917,0.41170570254325867,0.04873533546924591,-0.5216830372810364,-0.3319244086742401,0.20906484127044678,0.5705180168151855,-0.3206573724746704,0.14352887868881226,-0.10796445608139038,-0.08063119649887085,0.4129558801651001,-0.01848231814801693,0.016629979014396667,0.2018672078847885,0.02671487256884575,0.04906855523586273,0.3347420394420624,0.4386321008205414,-0.04429461807012558,0.25284311175346375,0.1724545806646347,0.15482409298419952,-0.03769443556666374,-0.3427811563014984,0.1268862634897232,0.29056644439697266,0.19719378650188446,-0.19314801692962646,0.3839125335216522,-0.18342727422714233,-0.09910016506910324,0.32014304399490356,-0.09699936211109161,-0.01380572747439146,0.06945398449897766,-0.37678825855255127,0.23743781447410583,-0.2820861339569092,0.23769354820251465,-0.24689733982086182,0.33507952094078064,-0.24837438762187958,-0.18612979352474213,-0.3647300601005554,0.2153215855360031,-0.2947484850883484,-0.10766661167144775,-0.4173102378845215,0.170127272605896,0.1995031088590622,-0.05945234000682831,0.2381831407546997,-0.18185153603553772,0.4857262372970581,0.18597519397735596,0.6462393999099731,-0.08204673230648041,0.5233772993087769,-0.13290812075138092,0.17060065269470215,-0.40553101897239685,-0.010344408452510834,0.06598693132400513,-0.09167163074016571,0.7487706542015076,0.558975875377655,0.3305332064628601,0.26481884717941284,0.4169992208480835,0.6724581718444824,0.2130368947982788,-0.09100528061389923,-0.0836668312549591,-0.5213781595230103
CO,-0.011926214210689068,0.8466967940330505,0.12766596674919128,0.1664399802684784,0.2664905786514282,0.6930080652236938,0.01356484554708004,0.11683875322341919,-0.0370093397796154,-0.15776951611042023,-0.8310078382492065,-0.169617161154747,0.4725010395050049,-0.31299418210983276,-0.10339968651533127,-0.5615179538726807,0.3315051794052124,-0.2890397906303406,0.46447134017944336,0.04294808954000473,0.1181241124868393,0.3550419807434082,-0.1237679123878479,-0.017422020435333252,-0.8540005683898926,0.36076557636260986,0.06312185525894165,-0.42016109824180603,-0.05212874710559845,-0.4025803208351135,0.9867009520530701,0.3410802483558655,-0.5011632442474365,0.5650472044944763,0.4754754900932312,-0.058508120477199554,0.10790049284696579,0.6399894952774048,0.30419594049453735,0.2239876240491867,-0.3434804677963257,-0.2619214355945587,0.45145344734191895,0.9766016006469727,0.19862905144691467,0.06390523910522461,-0.024663656949996948,0.06841139495372772,-0.03962168097496033,-0.2699769139289856,0.2573584318161011,0.3309784531593323,-0.031882673501968384,0.020935814827680588,0.20365190505981445,-0.08546672761440277,-0.1322716921567917,0.08253377676010132,0.06813131272792816,-0.41954919695854187,-0.12028934806585312,-0.25394973158836365,-0.5482044219970703,0.20596890151500702,0.6025111079216003,0.15590903162956238,0.6692239046096802,-0.08905055373907089,0.426084041595459,0.41588127613067627,-0.22657394409179688,0.46172094345092773,0.09423315525054932,0.3539031147956848,0.027396101504564285,0.5642532706260681,-0.001063525676727295,0.08482654392719269,-0.41310644149780273,0.18030297756195068,-0.29817911982536316,-0.18758103251457214,-0.1044888123869896,0.2746674418449402,-0.05108284950256348,-0.2889704406261444,-0.27340900897979736,0.21382522583007812,-0.580003023147583,0.4909493923187256,0.7835450172424316,0.18708327412605286,0.2647055983543396,0.14124074578285217,0.020590275526046753,0.2215176671743393,-0.5080610513687134,-0.2513585090637207,0.27244535088539124,-0.05875474214553833
CF,-0.11961731314659119,0.507189154624939,-0.50873202085495,0.5099465250968933,-0.07629457861185074,-0.040152519941329956,0.31162166595458984,0.19247350096702576,0.4946663975715637,0.44106924533843994,-0.3735043406486511,-0.3427777886390686,0.31368324160575867,0.5623859763145447,0.14884483814239502,-0.14147600531578064,0.6297241449356079,-0.49615880846977234,0.705784022808075,-0.08368642628192902,0.05215328931808472,-0.3049700856208801,-0.3329468369483948,0.2247091382741928,-0.6568089723587036,0.0073320940136909485,-0.033526524901390076,-0.20818910002708435,-0.027130495756864548,-0.21011656522750854,0.45078715682029724,0.3392522931098938,-0.3159407377243042,0.03315018117427826,0.35340428352355957,0.13119497895240784,0.3257687985897064,0.16401243209838867,-0.09207829087972641,0.06871505081653595,-0.02241959236562252,0.003852352499961853,0.662211537361145,0.42379245162010193,0.409738153219223,0.024768857285380363,0.20973919332027435,0.09000198543071747,-0.22125469148159027,-0.6994647979736328,0.0791669487953186,0.3018665909767151,0.04933949559926987,-0.11598312854766846,-0.36933577060699463,0.31668710708618164,-0.04125933349132538,0.14617055654525757,-0.11866312474012375,-0.4634511172771454,-0.24511155486106873,-0.3390313982963562,-0.05210840329527855,0.19146446883678436,0.5643000602722168,0.12441465258598328,0.5325835943222046,0.13622036576271057,0.2325950562953949,-0.17030489444732666,-0.1963474154472351,0.12799356877803802,0.6877197027206421,0.853419303894043,0.12094449996948242,0.8665441274642944,0.5124835968017578,0.28822723031044006,-0.3697165846824646,0.5305954217910767,-0.006407718174159527,0.0706188976764679,-0.03519102558493614,0.5395019054412842,-0.1961362063884735,-0.021732619032263756,0.1545802354812622,0.03287825733423233,-0.023503398522734642,0.7336585521697998,0.2195226550102234,-0.04007306694984436,-0.3620482385158539,0.10625907778739929,-0.3603387773036957,0.0845666378736496,0.27196329832077026,-0.5590944290161133,-0.03858151286840439,-0.13268771767616272
N,-0.08132196217775345,-0.44046226143836975,0.09892261028289795,1.0010026693344116,0.3378962278366089,-0.340278685092926,0.9672598838806152,0.3404615521430969,-0.3097401559352875,-0.09183332324028015,-0.4172492027282715,-0.37115100026130676,0.1069350615143776,0.10024583339691162,0.5051350593566895,0.4812873303890228,0.25856173038482666,-0.4176444709300995,0.5674686431884766,0.17972895503044128,0.0868573933839798,-0.19596204161643982,-0.10145199298858643,-0.01430925726890564,-0.7407611608505249,-0.1801115870475769,0.4827003479003906,-0.2811908721923828,-0.8036699295043945,0.1619754433631897,0.656015157699585,0.1056479960680008,-0.186292827129364,0.06913933157920837,0.6646884083747864,-0.677146315574646,-0.03047803044319153,0.5727275609970093,0.15312469005584717,0.5317888259887695,0.3701261281967163,-0.4607524275779724,0.36346590518951416,-0.2478802353143692,0.15611505508422852,0.39360734820365906,0.23508836328983307,0.20188435912132263,0.5562496185302734,-0.3714393377304077,-0.11734209954738617,-0.5020325183868408,0.311774879693985,-0.13340091705322266,0.01152060367166996,0.5351474285125732,0.20921486616134644,-0.40998518466949463,0.0031108856201171875,-0.015569925308227539,-0.13293254375457764,-0.5115796327590942,0.4038020670413971,0.06493335962295532,0.555363118648529,-0.2883002758026123,-0.19393134117126465,-0.14474719762802124,0.16983693838119507,-0.76796555519104,-0.7961469292640686,0.05491691827774048,0.19375409185886383,0.03346303105354309,-0.42850059270858765,0.452566534280777,0.9569492340087891,0.12235167622566223,-0.28280386328697205,1.186146855354309,0.3449974060058594,0.28837212920188904,-0.28417477011680603,-0.0705392062664032,-0.9789337515830994,0.7877967357635498,0.7348190546035767,-0.19665604829788208,0.4012543261051178,0.7877750992774963,0.027623921632766724,0.3085092604160309,-0.10523607581853867,0.18652987480163574,0.04122424125671387,0.02426174283027649,-0.6468014717102051,0.21994751691818237,0.32079413533210754,-0.4331290125846863
CS,0.6507599353790283,-1.1663037538528442,-0.008900146000087261,0.7272869348526001,0.43008339405059814,-0.41753411293029785,1.1572649478912354,0.2138909548521042,-0.2998902499675751,0.5565412044525146,-0.37368273735046387,-0.24975721538066864,0.6135271787643433,0.47777998447418213,0.9206103682518005,-0.0815361812710762,-0.09816138446331024,0.10492540895938873,0.20768937468528748,-0.049084629863500595,-0.5466437339782715,-0.41253721714019775,-1.155602216720581,0.045692503452301025,-0.3515014052391052,-0.034351348876953125,-0.8749326467514038,-0.01082948874682188,0.11810391396284103,0.43233156204223633,-0.28786641359329224,0.06284509599208832,-0.35323449969291687,-1.3987727165222168,0.8120218515396118,-1.2858169078826904,0.005945007316768169,-0.06603579223155975,-0.9895445704460144,-0.9227852821350098,-0.6370832920074463,0.10001103579998016,0.3187485933303833,-0.023042520508170128,0.15282557904720306,0.4609731137752533,-0.4011874198913574,-0.2736928462982178,0.2987698018550873,-0.8502671122550964,0.5432626605033875,0.3817905783653259,-0.022384773939847946,-0.7871972322463989,-0.007482742425054312,0.5731768608093262,0.6325771808624268,-0.96808260679245,-0.2762184143066406,-0.4454985558986664,0.7849994897842407,0.023590903729200363,0.46821969747543335,0.3355350196361542,-0.4549844264984131,-1.1732637882232666,0.2770571708679199,0.189453125,-1.134035348892212,-0.3874514102935791,-0.8752093315124512,-0.1169353723526001,0.4291865825653076,-0.24379508197307587,-0.44171327352523804,0.6724492907524109,0.5098722577095032,0.04854388162493706,-0.049871306866407394,0.9463405013084412,1.9563230276107788,0.5131937265396118,-0.7294272184371948,-1.1967618465423584,-1.080855131149292,0.8503462672233582,0.5787653923034668,0.280017614364624,-0.17895925045013428,0.7875468134880066,0.04083327576518059,-0.06343024969100952,0.11540523171424866,0.6673398017883301,0.10374617576599121,-0.7093042135238647,0.04944319650530815,0.08634959161281586,0.31781551241874695,-0.48147711157798767
