,class_id,model_type,fragment
0,10101010,mol2vec,2246997334
1,10101010,mol2vec,3696402029
2,10101010,mol2vec,2246703798
3,10101010,mol2vec,535847852
4,10101010,mol2vec,2245384272
5,10101010,mol2vec,616155759
6,10101010,mol2vec,3217380708
7,10101010,mol2vec,4086265842
8,10101010,mol2vec,1136130381
9,10101010,mol2vec,864674487
10,10101010,mol2vec,2077658817
11,10101010,mol2vec,2246699815
12,10101010,mol2vec,2664995851
13,10101010,mol2vec,2246728737
14,10101010,mol2vec,3545365497
15,10101010,mol2vec,864942730
16,10101010,mol2vec,1510328189
17,10101010,mol2vec,3983062349
18,10101010,mol2vec,3218693969
19,10101010,mol2vec,951226070
20,10101010,mol2vec,98513984
21,10101010,mol2vec,3776905034
22,10101010,mol2vec,2041434490
23,10101010,mol2vec,1100037548
24,10101010,mol2vec,553412256
25,10101010,mol2vec,2092489639
26,10101010,mol2vec,3044392905
27,10101010,mol2vec,2473389857
28,10101010,mol2vec,2370996728
29,10101010,mol2vec,10565946
30,10101010,mol2vec,3542456614
31,10101010,mol2vec,592593828
32,10101010,mol2vec,848128881
33,10101010,mol2vec,3012778962
34,10101010,mol2vec,1738265797
35,10101010,mol2vec,2994748777
36,10101010,mol2vec,994485099
37,10101010,mol2vec,3994088662
38,10101010,mol2vec,2115476908
39,10101010,mol2vec,3162837314
40,10101010,mol2vec,1054767590
41,10101010,mol2vec,847961216
42,10101010,mol2vec,1790668568
43,10101010,mol2vec,3918336191
44,10101010,mol2vec,2076190208
45,10101010,mol2vec,3975275337
46,10101010,mol2vec,3992410619
47,10101010,mol2vec,4121755354
48,10101010,mol2vec,4041573576
49,10101010,mol2vec,3772302167
50,10101010,mol2vec,3777168895
51,10101010,mol2vec,3118255683
52,10101010,mol2vec,1135286194
53,10101010,mol2vec,3315826729
54,10101010,mol2vec,3995043796
55,10101010,mol2vec,4118787735
56,10101010,mol2vec,1486365896
57,10101010,mol2vec,1101907775
58,10101010,mol2vec,3796970912
59,10101010,mol2vec,328936174
60,10101010,mol2vec,2132511834
61,10101010,mol2vec,2296565457
62,10101010,mol2vec,3430642422
63,10101010,mol2vec,2975126068
64,10101010,mol2vec,3657471097
65,10101010,mol2vec,2222715027
66,10101010,mol2vec,2827868305
67,10101010,mol2vec,2308348490
68,10101010,mol2vec,2037096428
69,10101010,mol2vec,2353112200
70,10101010,mol2vec,3189457552
71,10101010,mol2vec,4197146180
72,10101010,mol2vec,368713488
73,10101010,mol2vec,3328145258
74,10101010,mol2vec,847957139
75,10101010,mol2vec,2591432844
76,10101010,mol2vec,422715066
77,10101010,mol2vec,3207567135
78,10101010,mol2vec,1909986973
79,10101010,mol2vec,2251883808
80,10101010,mol2vec,3370781832
81,10101010,mol2vec,222023415
82,10101010,mol2vec,3458774156
83,10101010,mol2vec,4164236649
84,10101010,mol2vec,2435680164
85,10101010,mol2vec,618671879
86,10101010,mol2vec,3818546315
87,10101010,mol2vec,994637429
88,10101010,mol2vec,3726304495
89,10101010,mol2vec,3982076256
90,10101010,mol2vec,2759434019
91,10101010,mol2vec,4277401654
92,10101010,mol2vec,2360741695
93,10101010,mol2vec,3176806076
94,10101010,mol2vec,1449131080
95,10101010,mol2vec,3120642300
96,10101010,mol2vec,2355616982
97,10101010,mol2vec,369500293
98,10101010,mol2vec,2758632892
99,10101010,mol2vec,4036277955
100,10101010,mol2vec,3182824521
101,10101010,mol2vec,540046244
102,10101010,mol2vec,3345225135
103,10101010,mol2vec,2258843522
104,10101010,mol2vec,2245273601
105,10101010,mol2vec,1674219510
106,10101010,mol2vec,864662311
107,10101010,mol2vec,1542633699
108,10101010,mol2vec,4003049590
109,10101010,mol2vec,3462333187
110,10101010,mol2vec,2309124039
111,10101010,mol2vec,4042373501
112,10101010,mol2vec,1868602760
113,10101010,mol2vec,3908647167
114,10101010,mol2vec,1739267982
115,10101010,mol2vec,3143719699
116,10101010,mol2vec,4194776273
117,10101010,mol2vec,3346539298
118,10101010,mol2vec,2407054516
119,10101010,mol2vec,3820826669
120,10101010,mol2vec,717512901
121,10101010,mol2vec,1445852595
122,10101010,mol2vec,1083852209
123,10101010,mol2vec,1632503783
124,10101010,mol2vec,3614376044
125,10101010,mol2vec,2059730245
126,10101010,mol2vec,3537119515
127,10101010,mol2vec,1168541985
128,10101010,mol2vec,3594646603
129,10101010,mol2vec,2447826885
130,10101010,mol2vec,787069595
131,10101010,mol2vec,3624155
132,10101010,mol2vec,3661262542
133,10101010,mol2vec,3460898310
134,10101010,mol2vec,3376021752
135,10101010,mol2vec,2064788354
136,10101010,mol2vec,4194366826
137,10101010,mol2vec,4008337421
138,10101010,mol2vec,2257970297
139,10101010,mol2vec,1308598964
140,10101010,mol2vec,3981762496
141,10101010,mol2vec,2530377886
142,10101010,mol2vec,2089117413
143,10101010,mol2vec,2434373675
144,10101010,mol2vec,2154935424
145,10101010,mol2vec,411967733
146,10101010,mol2vec,1256946769
147,10101010,mol2vec,1473573141
148,10101010,mol2vec,1912836315
149,10101010,mol2vec,571978829
150,10101010,mol2vec,1686095578
151,10101010,mol2vec,2720313463
152,10101010,mol2vec,273092751
153,10101010,mol2vec,1070821685
154,10101010,mol2vec,3105760376
155,10101010,mol2vec,2664622273
156,10101010,mol2vec,1040769162
157,10101010,mol2vec,2222621677
158,10101010,mol2vec,3124581743
159,10101010,mol2vec,3136829774
160,10101010,mol2vec,603510687
161,10101010,mol2vec,2697110228
162,10101010,mol2vec,3222770065
163,10101010,mol2vec,2459741777
164,10101010,mol2vec,2297887526
165,10101010,mol2vec,2753863138
166,10101010,mol2vec,254000342
167,10101010,mol2vec,64070612
168,10101010,mol2vec,104383219
169,10101010,mol2vec,4035178815
170,10101010,mol2vec,1532868555
171,10101010,mol2vec,829754261
172,10101010,mol2vec,992462230
173,10101010,mol2vec,68650007
174,10101010,mol2vec,4212936508
175,10101010,mol2vec,616374597
176,10101010,mol2vec,4196488051
177,10101010,mol2vec,36538691
178,10101010,mol2vec,387677124
179,10101010,mol2vec,729796064
180,10101010,mol2vec,3777243454
181,10101010,mol2vec,3796841743
182,10101010,mol2vec,2369690741
183,10101010,mol2vec,1167322652
184,10101010,mol2vec,1914416804
185,10101010,mol2vec,1534595042
186,10101010,mol2vec,3341916169
187,10101010,mol2vec,4158944142
188,10101010,mol2vec,572760528
189,10101010,mol2vec,1919134267
190,10101010,mol2vec,550081331
191,10101010,mol2vec,3811375594
192,10101010,mol2vec,86544075
193,10101010,mol2vec,1510461303
194,10101010,mol2vec,4089138501
195,10101010,mol2vec,2752034647
196,10101010,mol2vec,1121298566
197,10101010,mol2vec,3980805843
198,10101010,mol2vec,3286720230
199,10101010,mol2vec,4223817698
200,10101010,mol2vec,74537039
201,10101010,mol2vec,1362518133
202,10101010,mol2vec,3975295864
203,10101010,mol2vec,3089236829
204,10101010,mol2vec,4033380444
205,10101010,mol2vec,3044751281
206,10101010,mol2vec,3824063894
207,10101010,mol2vec,1965692378
208,10101010,mol2vec,2506328221
209,10101010,mol2vec,2556855854
210,10101010,mol2vec,1173125914
211,10101010,mol2vec,1583799011
212,10101010,mol2vec,3156812067
213,10101010,mol2vec,3579962709
214,10101010,mol2vec,2165820178
215,10101010,mol2vec,548743766
216,10101010,mol2vec,3491109101
217,10101010,mol2vec,690255344
218,10101010,mol2vec,2984045667
219,10101010,mol2vec,4291484675
220,10101010,mol2vec,2905660137
221,10101010,mol2vec,26234434
222,10101010,mol2vec,1506563592
223,10101010,mol2vec,2745462063
224,10101010,mol2vec,169809287
225,10101010,mol2vec,1602567453
226,10101010,mol2vec,1399127774
227,10101010,mol2vec,781912670
228,10101010,mol2vec,2782530898
229,10101010,mol2vec,3631761933
230,10101010,mol2vec,4210054575
231,10101010,mol2vec,3145023872
232,10101010,mol2vec,3457964313
233,10101010,mol2vec,136366266
234,10101010,mol2vec,2785067925
235,10101010,mol2vec,4200113039
236,10101010,mol2vec,2807475527
237,10101010,mol2vec,3129092788
238,10101010,mol2vec,4222851645
239,10101010,mol2vec,600629739
240,10101010,mol2vec,3288032115
241,10101010,mol2vec,3628883864
242,10101010,mol2vec,3917675302
243,10101010,mol2vec,431202968
244,10101010,mol2vec,486030630
245,10101010,mol2vec,3628319739
246,10101010,mol2vec,3026394695
247,10101010,mol2vec,1619222458
248,10101010,mol2vec,2251845666
249,10101010,mol2vec,785465846
250,10101010,mol2vec,1390475220
251,10101010,mol2vec,2251888095
252,10101010,mol2vec,3534901675
253,10101010,mol2vec,2603276537
254,10101010,mol2vec,3596485316
255,10101010,mol2vec,3537123720
256,10101010,mol2vec,2245277810
257,10101010,mol2vec,3472262170
258,10101010,mol2vec,1362202978
259,10101010,mol2vec,3529214908
260,10101010,mol2vec,4256676941
261,10101010,mol2vec,4023654873
262,10101010,mol2vec,1535166686
263,10101010,mol2vec,4223108416
264,10101010,mol2vec,258745374
265,10101010,mol2vec,3933537673
266,10101010,mol2vec,2306985260
267,10101010,mol2vec,2423543607
268,10101010,mol2vec,1822332700
269,10101010,mol2vec,275463426
270,10101010,mol2vec,584893129
271,10101010,mol2vec,2635303940
272,10101010,mol2vec,2341585586
273,10101010,mol2vec,2431311350
274,10101010,mol2vec,2530048747
275,10101010,mol2vec,994237755
276,10101010,mol2vec,330223697
277,10101010,mol2vec,773709216
278,10101010,mol2vec,458195553
279,10101010,mol2vec,694069322
280,10101010,mol2vec,2835079913
281,10101010,mol2vec,458993620
282,10101010,mol2vec,2542264270
283,10101010,mol2vec,828793177
284,10101010,mol2vec,2687950697
285,10101010,mol2vec,3308404410
286,10101010,mol2vec,1803337813
287,10101010,mol2vec,4282315164
288,10101010,mol2vec,725322217
289,10101010,mol2vec,UNK
290,10101010,mol2vec,4176672235
291,10101010,mol2vec,3304582332
292,10101010,mol2vec,3798139026
293,10101010,mol2vec,1349051879
294,10101010,mol2vec,4003054055
295,10101010,mol2vec,4022712435
296,10101010,mol2vec,4036774035
297,10101010,mol2vec,2637439965
298,10101010,mol2vec,4223976160
299,10101010,mol2vec,4022716898
300,10101010,mol2vec,1506192421
301,10101010,mol2vec,340640331
302,10101010,mol2vec,876651869
303,10101010,mol2vec,773712949
304,10101010,mol2vec,2807496773
305,10101010,mol2vec,3696389118
306,10101010,mol2vec,2410099666
307,10101010,mol2vec,839604161
308,10101010,mol2vec,2327113268
309,10101010,mol2vec,900670219
310,10101010,mol2vec,1796784588
311,10101010,mol2vec,2036328569
312,10101010,mol2vec,3585958780
313,10101010,mol2vec,270833924
314,10101010,mol2vec,1239948680
315,10101010,mol2vec,3999116598
316,10101010,mol2vec,253234136
317,10101010,mol2vec,3662562115
318,10101010,mol2vec,4157438804
319,10101010,mol2vec,1467778651
320,10101010,mol2vec,1626281205
321,10101010,mol2vec,1255626466
322,10101010,mol2vec,1506993418
