,0
id1528,2246728737 422715066 3217380708 4036277955 3218693969 994485099 3217380708 87849052 847957139 1083852209 2092489639 4212936508 3217380708 2295519362 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 2968968094 1276993226 2968968094 2142032900 2968968094 1276993226 2041434490 2435680164
id2690,2246728737 3657471097 2092489639 2975126068 3217380708 2269473515 1026928756 1271691605 2245384272 864365306 3217380708 3777243454 2041434490 3458774156 2041434490 3458774156 3217380708 2010446245 2092489639 662595032 2968968094 2803848648 2968968094 2142032900 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226 2041434490 1101907775 3217380708 3182824521 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3820826669
id3331,3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 2353112200 3217380708 3982076256 3218693969 54936104 3351556771 1792562719 3217380708 2237323775 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 3596485316 847961216 3028039221 2976033787 623728226 2968968094 2117068077 2968968094 2117068077 3217380708 3981762496 3218693969 951226070 3218693969 98513984
id4085,2246728737 422715066 3217380708 4036277955 3218693969 994485099 3217380708 3288032115 2246728737 422715066 2092489639 4212936508 3217380708 2295519362 2041434490 1101907775 3217380708 913310822 2246728737 422715066 2041434490 1101907775 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226 2041434490 2435680164
id4087,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 1101907775 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 3217380708 553412256 2041434490 3458774156 2041434490 136366266 2041434490 222023415 2092489639 4282315164 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4101,3218693969 725322217 2041434490 1100037548 3217380708 2295519362 2092489639 963029399 2968968094 2803848648 2968968094 2142032900 2968968094 2142032900 2968968094 2803848648 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4106,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 1101907775 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 3217380708 553412256 2041434490 3458774156 2041434490 3458774156 3217380708 829754261 2246728737 422715066 2092489639 3046580772 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4107,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 1101907775 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 3217380708 553412256 2041434490 3458774156 2041434490 3457964313 3218693969 540046244 2092489639 3044751281 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4361,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 3458774156 2041434490 3458774156 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1101907775 3217380708 3777243454 2245384272 618671879 2246728737 3542456614 2092489639 3046580772 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4372,2246728737 422715066 3217380708 913310822 2041434490 1101907775 3217380708 2295519362 2092489639 963029399 2968968094 2803848648 2968968094 2142032900 2968968094 2142032900 2968968094 2803848648 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1101907775 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4385,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 3458774156 2041434490 3458774156 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 3218693969 540046244 2092489639 3044751281 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id4387,2246728737 422715066 3217380708 4036277955 3218693969 994485099 3217380708 3288032115 2246728737 422715066 2092489639 4212936508 3217380708 2295519362 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226 2041434490 2435680164
id4388,2246728737 422715066 3217380708 4036277955 3218693969 994485099 3217380708 87849052 847957139 1083852209 2092489639 4212936508 3217380708 2295519362 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226 2041434490 2435680164
id4656,2246728737 2592252298 1026928756 808416955 3217380708 1078276907 3218693969 951226070 3218693969 951226070 3217380708 970433791 2976033787 2617658656 2968968094 517457164 2976033787 4093258568 3217380708 970433791 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2132511834 3510196525 3217380708 3593971783 2041434490 3458774156 2041434490 136366266 2041434490 222023415 2092489639 741451336 3218693969 951226070 3218693969 951226070
id4749,3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 970433791 2976033787 4093258568 2968968094 517457164 2976033787 2617658656 3217380708 837609649 3218693969 951226070 3218693969 98513984 3218693969 203749390 3351556771 1792562719 2092489639 741451336 2041434490 2434373675 3218693969 725322217 2041434490 1100037548 3217380708 3593971783 2132511834 3510196525 3218693969 951226070 3218693969 98513984
id4794,2246728737 422715066 3217380708 829754261 2041434490 3458774156 2041434490 3458774156 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 3218693969 540046244 2092489639 3044751281 2968968094 1824088295 2976033787 1228815484 2246728737 1858577693 2968968094 2117068077 2968968094 1276993226
id4798,2246728737 3542456614 2245384272 618671879 3217380708 3777243454 2041434490 3458774156 2041434490 3458774156 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 3218693969 540046244 2092489639 3044751281 2968968094 1824088295 2976033787 1228815484 2246728737 1858577693 2968968094 2117068077 2968968094 1276993226
id4831,2246728737 3542456614 2245384272 4095742117 1026928756 1271691605 3217380708 2269473515 2041434490 3458774156 2041434490 3458774156 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1101907775 3217380708 829754261 2246728737 422715066 2092489639 3046580772 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id5446,2246728737 422715066 3217380708 913310822 2041434490 1101907775 3217380708 553412256 3217380708 3981762496 3217380708 1842114921 3217380708 1976356906 3351556771 1791271074 3217380708 2237323775 2041434490 1101907775 3217380708 829754261 2246728737 422715066 2092489639 4282315164 2041434490 2435680164 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id5910,2246728737 422715066 3217380708 2718013753 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2295519362 2092489639 963029399 2968968094 2803848648 2968968094 2803848648 2092489639 963029399 3217380708 1187730664 2041434490 1100037548 3218693969 3776905034 3218693969 98513984 3218693969 3776905034 2041434490 1100037548 2968968094 2803848648 2968968094 2803848648 3217380708 3981762496 3217380708 3120642300 2246728737 422715066
id6726,2246728737 3542456614 2245384272 1173125914 2245384272 3624155 3217380708 3777243454 2041434490 3458774156 2041434490 3458774156 3217380708 4280659919 2092489639 2181918679 2132511834 3999097472 3217380708 356132508 2041434490 1101907775 3217380708 3182824521 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3182824521 2041434490 1101907775 3217380708 3222479286 3351556771 1791250428
id7173,2246728737 3542456614 2245384272 592593828 848128881 4118787735 2245384272 592593828 2246728737 3542456614 3217380708 2576005379 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
id7626,2246728737 422715066 3217380708 2718013753 3351556771 1791271074 3217380708 2237323775 2041434490 1100037548 3218693969 725322217 2041434490 1100037548 3217380708 2295519362 2092489639 963029399 2968968094 2803848648 2968968094 2117068077 2976033787 1228815484 2246728737 1858577693 2968968094 2117068077 2968968094 2803848648 3217380708 3981762496 3217380708 3120642300 2246728737 422715066
id7835,2246728737 2592252298 1026928756 808416955 3217380708 2269473515 2041434490 1101907775 3217380708 2237323775 3351556771 1791271074 3217380708 1976356906 3217380708 1842114921 3217380708 3981762496 3217380708 553412256 2041434490 3458774156 2041434490 3458774156 3217380708 829754261 2246728737 422715066 2092489639 3046580772 2968968094 1276993226 2968968094 2142032900 2968968094 2142032900 2968968094 1276993226
