,0
id20107,2245897107 3492293582 2245900962 3295028083 2245277810 3053062263 864662311 1542631284 3217380708 3933537673 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 2076190208 2246728737 3975275337 3218693969 951226070 3218693969 951226070 3217380708 3909974435 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 1857396528 882399112 3337745083
id53217,2245897107 3492293582 2245900962 3633369638 2245384272 3994179159 864674487 2115476908 3217380708 1136130381 3217380708 4239037249 3612926680 3632350815 3218693969 994485099 3217380708 4121755354 2245384272 2849741637 864662311 1535166686 3218693969 994485099 3217380708 1135286194 864674487 2076190208 2246728737 3975275337
id53229,2245897107 3492293582 2245900962 3633369638 2245384272 3994179159 864674487 2115476908 3217380708 1136130381 3217380708 4239037249 3612926680 3632350815 3218693969 994485099 3217380708 2646219661 3612926680 3632350815 3218693969 994485099 3217380708 4089138501 2245384272 2849741637 864662311 1535166686
id53232,2245897107 3492293582 2245900962 3633369638 2245384272 3994179159 864674487 2115476908 3217380708 1136130381 3217380708 4239037249 3612926680 3632350815 3218693969 994485099 3217380708 4121755354 2245384272 2849741637 864662311 1535166686 3218693969 994485099 3217380708 1135286194 864674487 2115476908 2245384272 3994088662 2246728737 3542456614
id55083,2246728737 3537123720 2245277810 1747728807 2246728737 3537123720 864662311 1542631284 2245900962 3294965984 2245900962 3294965984 2245277810 UNK 864662311 1542631284 3217380708 3933537673 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245277810 68675643 882399112 485463469 882399112 485463469 882399112 485463469
id62381,2246728737 3537123720 2245277810 1747728807 2246728737 3537123720 864662311 1542631284 2245900962 3294965984 2245900962 1899422126 3217380708 1915080917 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083
id64416,2245897107 3492293582 2245900962 3633369638 2245384272 3994179159 864674487 2115476908 3217380708 1135286194 3218693969 994485099 3217380708 4239037249 3612926680 3632350815 3217380708 4089138501 2245384272 2849741637 864662311 1535166686 3218693969 994485099 3217380708 1135286194 864674487 2115476908 2245384272 3994088662 2246728737 3542456614
id64431,2245897107 3492293582 2245900962 3633369638 2245384272 3994179159 864674487 2115476908 3217380708 1135286194 3218693969 994485099 3217380708 4239037249 3612926680 3632350815 3217380708 4089138501 2245384272 2849741637 864662311 1535166686 3218693969 994485099 3217380708 1135286194 864674487 2076190208 2246728737 3975275337
id82044,864662311 1535166686 2245384272 4017892867 2245900962 3633569943 2245900962 3294965984 2245277810 3053062263 864662311 1542631284 3217380708 3933537673 3218693969 951226070 3218693969 951226070 3217380708 1637836422 882399112 3337745083 3218693969 951226070 3218693969 951226070 3217380708 3933537673 3218693969 951226070 3218693969 951226070 3217380708 1637836422 882399112 3337745083 3218693969 951226070 3218693969 951226070
id298612,2246728737 3537123720 2245277810 1747728807 2246728737 3537123720 864662311 1542631284 2245900962 3294965984 2245900962 1899422126 3217380708 1915080917 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083 3217380708 1915080917 2245900962 1899422126 2245900962 3294965984 2245277810 1747728807 2246728737 3537123720 2246728737 3537123720 864662311 1542631284 3217380708 1856075173 882399112 3337745083 3217380708 1856075173 882399112 3337745083
