,class_id,model_type,fragment,count,freq
0,10101010,mol2vec,2246997334,21045,0.000306811226727942
1,10101010,mol2vec,3696402029,19098,0.0002784262679045016
2,10101010,mol2vec,2246703798,28179,0.0004108165149901011
3,10101010,mol2vec,535847852,18726,0.0002730029475745993
4,10101010,mol2vec,2245384272,2121169,0.030924136991555336
30,11000011,mol2vec,2245384272,2121169,0.030924136991555336
23,110110,mol2vec,2245384272,2121169,0.030924136991555336
5,10101010,mol2vec,616155759,679,9.899017483880857e-06
6,10101010,mol2vec,3217380708,6319726,0.09213413573981802
2,11000011,mol2vec,3217380708,6319726,0.09213413573981802
8,110110,mol2vec,3217380708,6319726,0.09213413573981802
7,10101010,mol2vec,4086265842,30685,0.00044735103312648617
467,11000011,mol2vec,4086265842,30685,0.00044735103312648617
8,10101010,mol2vec,1136130381,17579,0.00025628104322406714
26,110110,mol2vec,1136130381,17579,0.00025628104322406714
9,10101010,mol2vec,864674487,699134,0.010192547407327775
13,110110,mol2vec,864674487,699134,0.010192547407327775
10,10101010,mol2vec,2077658817,14154,0.0002063485912619288
11,10101010,mol2vec,2246699815,1554812,0.022667321313914232
12,10101010,mol2vec,2664995851,2246,3.2744025432689846e-05
13,10101010,mol2vec,2246728737,2572786,0.03750817908141958
0,11000011,mol2vec,2246728737,2572786,0.03750817908141958
15,110110,mol2vec,2246728737,2572786,0.03750817908141958
14,10101010,mol2vec,3545365497,80475,0.001173230385884112
15,10101010,mol2vec,864942730,2199795,0.03207041114278894
16,10101010,mol2vec,1510328189,1551529,0.022619459054121036
17,10101010,mol2vec,3983062349,110777,0.0016149977316816933
137,11000011,mol2vec,3983062349,110777,0.0016149977316816933
66,110110,mol2vec,3983062349,110777,0.0016149977316816933
18,10101010,mol2vec,3218693969,8074516,0.11771689993796129
4,11000011,mol2vec,3218693969,8074516,0.11771689993796129
10,110110,mol2vec,3218693969,8074516,0.11771689993796129
19,10101010,mol2vec,951226070,4145346,0.06043424525881528
39,11000011,mol2vec,951226070,4145346,0.06043424525881528
11,110110,mol2vec,951226070,4145346,0.06043424525881528
20,10101010,mol2vec,98513984,1753862,0.02556923505495471
40,11000011,mol2vec,98513984,1753862,0.02556923505495471
18,110110,mol2vec,98513984,1753862,0.02556923505495471
21,10101010,mol2vec,3776905034,338597,0.004936344069204133
86,11000011,mol2vec,3776905034,338597,0.004936344069204133
22,10101010,mol2vec,2041434490,1626192,0.023707957349259467
12,11000011,mol2vec,2041434490,1626192,0.023707957349259467
23,10101010,mol2vec,1100037548,373333,0.005442753894417809
13,11000011,mol2vec,1100037548,373333,0.005442753894417809
24,10101010,mol2vec,553412256,33246,0.0004846873862578836
56,11000011,mol2vec,553412256,33246,0.0004846873862578836
25,10101010,mol2vec,2092489639,1101275,0.016055287893315007
9,11000011,mol2vec,2092489639,1101275,0.016055287893315007
26,10101010,mol2vec,3044392905,5691,8.296805375665089e-05
125,11000011,mol2vec,3044392905,5691,8.296805375665089e-05
27,10101010,mol2vec,2473389857,85939,0.001252889047934075
138,11000011,mol2vec,2473389857,85939,0.001252889047934075
28,10101010,mol2vec,2370996728,53097,0.0007740915041850101
29,10101010,mol2vec,10565946,305259,0.004450315431681865
30,10101010,mol2vec,3542456614,335697,0.004894065496739841
54,11000011,mol2vec,3542456614,335697,0.004894065496739841
38,110110,mol2vec,3542456614,335697,0.004894065496739841
31,10101010,mol2vec,592593828,40756,0.0005941743101223096
96,11000011,mol2vec,592593828,40756,0.0005941743101223096
32,10101010,mol2vec,848128881,225379,0.003285759442561979
97,11000011,mol2vec,848128881,225379,0.003285759442561979
33,10101010,mol2vec,3012778962,33762,0.0004922100563929094
34,10101010,mol2vec,1738265797,63500,0.0009257549487870904
35,10101010,mol2vec,2994748777,250296,0.0036490198529387967
36,10101010,mol2vec,994485099,926751,0.013510934244777714
5,11000011,mol2vec,994485099,926751,0.013510934244777714
30,110110,mol2vec,994485099,926751,0.013510934244777714
37,10101010,mol2vec,3994088662,74964,0.0010928865193838653
37,110110,mol2vec,3994088662,74964,0.0010928865193838653
38,10101010,mol2vec,2115476908,137696,0.0020074449358769638
25,110110,mol2vec,2115476908,137696,0.0020074449358769638
39,10101010,mol2vec,3162837314,190084,0.002771200058035359
12,110110,mol2vec,3162837314,190084,0.002771200058035359
40,10101010,mol2vec,1054767590,335264,0.004887752868506379
41,10101010,mol2vec,847961216,1182165,0.01723456848870694
47,11000011,mol2vec,847961216,1182165,0.01723456848870694
42,10101010,mol2vec,1790668568,431334,0.006288339922521746
43,10101010,mol2vec,3918336191,242877,0.003540859601520664
131,11000011,mol2vec,3918336191,242877,0.003540859601520664
44,10101010,mol2vec,2076190208,245210,0.0035748719841272826
14,110110,mol2vec,2076190208,245210,0.0035748719841272826
45,10101010,mol2vec,3975275337,366516,0.005343370091490539
16,110110,mol2vec,3975275337,366516,0.005343370091490539
46,10101010,mol2vec,3992410619,72516,0.001057197572696766
243,11000011,mol2vec,3992410619,72516,0.001057197572696766
47,10101010,mol2vec,4121755354,261433,0.00381138415001977
141,11000011,mol2vec,4121755354,261433,0.00381138415001977
31,110110,mol2vec,4121755354,261433,0.00381138415001977
48,10101010,mol2vec,4041573576,137522,0.0020049082215291064
300,11000011,mol2vec,4041573576,137522,0.0020049082215291064
49,10101010,mol2vec,3772302167,65728,0.0009582365554941398
50,10101010,mol2vec,3777168895,255832,0.0037297281898913217
129,11000011,mol2vec,3777168895,255832,0.0037297281898913217
51,10101010,mol2vec,3118255683,119005,0.0017349522469355544
110,11000011,mol2vec,3118255683,119005,0.0017349522469355544
52,10101010,mol2vec,1135286194,205453,0.0029952619132780174
34,110110,mol2vec,1135286194,205453,0.0029952619132780174
53,10101010,mol2vec,3315826729,253469,0.003695278442741969
54,10101010,mol2vec,3995043796,60866,0.0008873543419350401
55,10101010,mol2vec,4118787735,3681,5.3664629393468976e-05
98,11000011,mol2vec,4118787735,3681,5.3664629393468976e-05
56,10101010,mol2vec,1486365896,323,4.708958243436696e-06
57,10101010,mol2vec,1101907775,354080,0.005162067909709181
37,11000011,mol2vec,1101907775,354080,0.005162067909709181
58,10101010,mol2vec,3796970912,7630,0.00011123638203536221
158,11000011,mol2vec,3796970912,7630,0.00011123638203536221
59,10101010,mol2vec,328936174,30385,0.00044297738769914557
60,10101010,mol2vec,2132511834,244655,0.0035667807400867027
73,11000011,mol2vec,2132511834,244655,0.0035667807400867027
61,10101010,mol2vec,2296565457,68782,0.001002760265944467
118,11000011,mol2vec,2296565457,68782,0.001002760265944467
62,10101010,mol2vec,3430642422,9221,0.00013443128161835845
63,10101010,mol2vec,2975126068,33470,0.0004879530415102979
26,11000011,mol2vec,2975126068,33470,0.0004879530415102979
64,10101010,mol2vec,3657471097,142742,0.0020810096519648324
25,11000011,mol2vec,3657471097,142742,0.0020810096519648324
65,10101010,mol2vec,2222715027,71823,0.0010470944517596095
66,10101010,mol2vec,2827868305,75951,0.0011072758128398159
67,10101010,mol2vec,2308348490,28429,0.00041446121951288495
68,10101010,mol2vec,2037096428,1990,2.9011848001359214e-05
69,10101010,mol2vec,2353112200,130509,0.0019026669702559746
42,11000011,mol2vec,2353112200,130509,0.0019026669702559746
70,10101010,mol2vec,3189457552,505504,0.00736965086034125
71,10101010,mol2vec,4197146180,80683,0.001176262780047068
72,10101010,mol2vec,368713488,29059,0.0004236458749103002
73,10101010,mol2vec,3328145258,15451,0.00022525731832613124
74,10101010,mol2vec,847957139,184705,0.002692780595523142
7,11000011,mol2vec,847957139,184705,0.002692780595523142
75,10101010,mol2vec,2591432844,67686,0.0009867818813165828
76,10101010,mol2vec,422715066,693869,0.010115789930077947
1,11000011,mol2vec,422715066,693869,0.010115789930077947
82,110110,mol2vec,422715066,693869,0.010115789930077947
77,10101010,mol2vec,3207567135,117262,0.0017095413670027055
156,11000011,mol2vec,3207567135,117262,0.0017095413670027055
78,10101010,mol2vec,1909986973,21820,0.00031810981074857186
79,10101010,mol2vec,2251883808,64854,0.0009454946684824876
80,10101010,mol2vec,3370781832,3554,5.1813119495894794e-05
485,11000011,mol2vec,3370781832,3554,5.1813119495894794e-05
81,10101010,mol2vec,222023415,52077,0.0007592211097320521
58,11000011,mol2vec,222023415,52077,0.0007592211097320521
82,10101010,mol2vec,3458774156,223664,0.0032607567695356818
33,11000011,mol2vec,3458774156,223664,0.0032607567695356818
83,10101010,mol2vec,4164236649,33366,0.0004864368444288198
109,11000011,mol2vec,4164236649,33366,0.0004864368444288198
84,10101010,mol2vec,2435680164,130389,0.0019009175120850385
24,11000011,mol2vec,2435680164,130389,0.0019009175120850385
85,10101010,mol2vec,618671879,48744,0.0007106299090342982
55,11000011,mol2vec,618671879,48744,0.0007106299090342982
86,10101010,mol2vec,3818546315,185543,0.0027049976450835137
212,11000011,mol2vec,3818546315,185543,0.0027049976450835137
87,10101010,mol2vec,994637429,19824,0.00028901048983866586
88,10101010,mol2vec,3726304495,1663,2.4244574485557975e-05
